Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,692.567,931.856,1165.94,1344.45,1453.18,1495.73,1452.1,1376.07,1344.21,1312.81,1271.26
2021-10-02,692.306,931.558,1165.47,1343.82,1452.53,1495.15,1451.62,1375.64,1343.8,1312.41,1270.89
2021-10-03,692.049,931.088,1164.73,1342.83,1451.35,1493.81,1450.19,1374.21,1342.39,1311.06,1269.5
2021-10-04,691.882,930.81,1164.33,1342.31,1450.7,1492.98,1449.16,1373.12,1341.24,1309.93,1268.48
2021-10-05,690.917,929.784,1163.11,1340.79,1448.83,1490.95,1446.94,1370.9,1339.06,1307.81,1266.45
2021-10-06,689.624,927.927,1160.83,1338.13,1445.85,1487.9,1443.74,1367.64,1335.75,1304.53,1262.74
2021-10-07,689.476,927.568,1160.15,1337.05,1444.43,1486.31,1441.9,1365.69,1333.66,1302.31,1260.28
2021-10-08,688.83,926.559,1158.85,1335.58,1442.9,1484.88,1440.58,1364.44,1332.32,1300.93,1259.09
2021-10-09,688.77,926.41,1158.65,1335.29,1442.51,1484.37,1439.92,1363.74,1331.67,1300.34,1258.46
2021-10-10,687.873,925.405,1157.49,1334.07,1441.3,1483.21,1438.79,1362.58,1330.49,1299.18,1257.43
2021-10-11,686.8,923.835,1155.65,1332.17,1439.42,1481.49,1437.23,1361.14,1329.08,1297.81,1256.06
2021-10-12,684.827,921.509,1153,1329.2,1436.3,1478.37,1434.1,1358.11,1325.88,1294.46,1252.47
2021-10-13,684.567,921.116,1152.48,1328.55,1435.53,1477.47,1433.07,1357.02,1324.68,1293.22,1251.24
2021-10-14,684.457,920.917,1152.14,1328.23,1435.26,1477.23,1432.79,1356.72,1324.4,1292.98,1251.02
2021-10-15,683.258,919.766,1150.72,1326.31,1432.88,1474.59,1429.9,1353.63,1321.11,1289.62,1247.53
2021-10-16,682.001,918.031,1148.52,1323.95,1430.57,1472.43,1427.79,1351.52,1318.9,1287.39,1245.38
2021-10-17,681.309,916.889,1146.8,1321.79,1428.15,1470.01,1425.44,1349.3,1316.76,1285.3,1243.3
2021-10-18,679.2,914.101,1143.37,1317.9,1423.94,1465.76,1421.24,1345.15,1312.72,1281.41,1239.84
2021-10-19,678.647,913.203,1141.89,1315.82,1421.35,1462.82,1418.01,1341.84,1309.39,1278.12,1236.55
2021-10-20,678.238,912.503,1141,1314.87,1420.34,1461.82,1417,1340.78,1308.22,1276.9,1235.38
2021-10-21,676.991,910.569,1138.47,1311.88,1417.24,1458.88,1414.18,1338.2,1305.71,1274.48,1233.08
2021-10-22,676.186,909.259,1136.7,1309.86,1415.13,1456.8,1412.14,1336.2,1303.62,1272.28,1230.53
2021-10-23,674.791,907.851,1134.94,1307.79,1412.87,1454.36,1409.46,1333.54,1300.99,1269.78,1228.39
2021-10-24,673.202,905.826,1132.06,1304.27,1409.15,1450.79,1405.93,1330.17,1297.63,1266.37,1224.65
2021-10-25,670.286,901.881,1127.21,1298.87,1403.64,1445.56,1400.88,1325.53,1293.1,1261.97,1220.72
2021-10-26,663.998,893.804,1117.16,1287.47,1391.61,1433.75,1389.1,1314.12,1281.8,1250.74,1210.02
2021-10-27,660.208,889.23,1111.81,1281.44,1385.29,1427.56,1383.11,1308.36,1276.07,1245.1,1204.26
2021-10-28,659.234,887.734,1110.16,1279.4,1382.81,1424.72,1379.94,1304.95,1272.34,1241.08,1199.36
2021-10-29,657.18,884.791,1106.28,1274.86,1378.03,1420.04,1375.38,1300.66,1268.14,1236.93,1195.28
2021-10-30,654.699,881.776,1102.45,1270.42,1373.16,1415.05,1370.38,1295.63,1262.71,1231.19,1189.21
2021-10-31,652.167,878.438,1098.45,1266,1368.58,1410.55,1365.97,1291.35,1258.32,1226.77,1184.59
2021-11-01,650.325,876,1095.04,1261.86,1364,1405.79,1361.08,1286.47,1253.09,1221.22,1178.19
2021-11-02,648.141,873.214,1091.63,1257.92,1359.97,1401.87,1357.31,1282.9,1249.64,1217.87,1175.05
2021-11-03,646.154,870.2,1088.09,1253.76,1355.36,1397.05,1352.54,1278.43,1245.3,1213.61,1170.81
2021-11-04,644.853,867.905,1085.18,1250.47,1351.75,1393.27,1348.74,1274.55,1241.43,1209.86,1167.4
2021-11-05,643.774,866.191,1082.91,1247.83,1349.03,1390.57,1346.12,1272.22,1239.27,1207.82,1165.27
2021-11-06,643.288,865.608,1081.94,1246.51,1347.55,1389.01,1344.54,1270.65,1237.69,1206.25,1163.58
2021-11-07,641.422,863.148,1079.02,1243.38,1344.44,1386.06,1341.78,1267.96,1235.02,1203.62,1161.17
2021-11-08,639.904,861.051,1076.58,1240.71,1341.66,1383.29,1339.21,1265.79,1233.04,1201.8,1159.6
2021-11-09,637.152,857.374,1071.88,1235.31,1336.02,1377.73,1333.94,1260.58,1227.7,1196.36,1154.4
2021-11-10,634.751,854.199,1067.65,1229.96,1329.82,1371.03,1326.94,1253.44,1220.48,1189.24,1148.06
2021-11-11,632.119,850.047,1062.51,1224.29,1323.83,1364.92,1320.9,1247.36,1214.23,1182.95,1142.15
2021-11-12,628.105,845.514,1057.06,1217.83,1316.77,1357.7,1313.88,1240.47,1207.35,1176.12,1136
2021-11-13,626.239,842.965,1054.24,1214.83,1313.69,1354.58,1310.8,1237.7,1204.67,1173.41,1133.01
2021-11-14,623.054,838.534,1048.88,1209.06,1307.75,1348.82,1305.42,1232.27,1199.05,1167.64,1127.07
2021-11-15,619.085,833.391,1042.39,1201.28,1298.99,1339.61,1296.21,1223.16,1190.28,1159.34,1120.11
2021-11-16,618.639,832.745,1041.58,1200.33,1297.85,1338.25,1294.67,1221.64,1188.88,1158.09,1118.9
2021-11-17,616.113,828.934,1036.79,1195.16,1292.7,1333.35,1290.1,1217.57,1185.03,1154.4,1115.54
2021-11-18,611.61,822.273,1028.15,1185.46,1282.93,1324.08,1281.68,1209.39,1176.55,1145.55,1106.83
2021-11-19,607.03,816.244,1020.45,1176.41,1272.96,1313.8,1271.49,1199.24,1166.61,1135.91,1098.62
2021-11-20,605.369,814.17,1017.67,1172.79,1268.51,1308.67,1265.96,1193.66,1161.26,1130.86,1093.89
2021-11-21,601.977,809.466,1012.03,1166.4,1261.9,1302.18,1259.82,1188.26,1156.4,1126.42,1090.01
2021-11-22,598.544,804.761,1006.38,1160.05,1255.36,1295.73,1253.72,1182.56,1150.57,1120.42,1084.08
2021-11-23,594.952,799.711,999.899,1152.5,1247.34,1287.7,1245.94,1174.85,1142.87,1112.84,1077.09
2021-11-24,592.299,795.209,993.561,1144.82,1238.96,1279.03,1237.35,1166.51,1134.63,1104.75,1069.88
2021-11-25,588.712,789.902,986.536,1136.39,1229.79,1269.7,1228.24,1157.64,1125.94,1096.29,1062.12
2021-11-26,585.635,785.966,981.469,1130.34,1223.04,1262.5,1220.88,1150.25,1118.5,1088.94,1055.13
2021-11-27,582.066,781.219,975.452,1123.55,1216,1255.65,1214.43,1144.1,1112.43,1082.92,1049.46
2021-11-28,578.934,776.567,969.99,1117.77,1209.99,1249.69,1208.61,1138.39,1106.75,1077.27,1044.48
2021-11-29,576.338,772.554,965.061,1112.07,1203.58,1242.78,1201.48,1131.29,1099.83,1070.61,1038.12
2021-11-30,572.865,768.306,959.669,1106.03,1197.37,1236.65,1195.66,1125.68,1094.08,1064.67,1031.95
2021-12-01,566.936,760.453,950.381,1095.93,1187.13,1226.74,1186.46,1117.06,1085.66,1056.41,1024.33
2021-12-02,562.752,755.503,944.32,1089.09,1179.84,1219.27,1179.14,1110.31,1079.25,1050.19,1018.09
2021-12-03,558.256,749.317,935.972,1079.47,1169.58,1208.89,1169.18,1100.99,1070.15,1041.26,1009.35
2021-12-04,554.591,744.466,929.673,1071.97,1161.36,1200.27,1160.64,1092.93,1062.11,1033.15,1000.68
2021-12-05,550.589,739.343,924.147,1065.87,1155.01,1193.77,1154.21,1087.19,1056.6,1027.87,995.815
2021-12-06,547.447,735.052,918.844,1060.16,1149.37,1188.52,1149.61,1083.36,1053.2,1024.78,993.012
2021-12-07,545.516,732.405,915.241,1055.91,1144.67,1183.54,1144.57,1078.31,1048.09,1019.7,987.843
2021-12-08,540.258,725.955,907.432,1046.86,1134.92,1173.65,1135.03,1069.44,1039.34,1011.06,979.549
2021-12-09,537.19,721.501,901.944,1040.5,1127.8,1165.89,1126.97,1061.27,1030.93,1002.55,970.905
2021-12-10,533.509,716.784,895.979,1033.79,1120.72,1158.66,1119.93,1054.6,1024.39,996.276,964.961
2021-12-11,529.728,710.825,887.664,1024.48,1111.61,1150.3,1112.71,1048.77,1019.12,991.243,960.104
2021-12-12,525.439,704.67,880.047,1015.86,1102.2,1140.63,1103.41,1039.95,1010.56,983.06,952.668
2021-12-13,518.966,696.438,869.854,1004.55,1090.68,1129.53,1093.25,1030.96,1001.9,974.555,944.565
2021-12-14,515.144,691.041,862.834,996.12,1081.12,1119.22,1082.71,1020.76,992.208,965.464,936.693
2021-12-15,509.082,683.817,853.573,985.597,1070.05,1108.19,1072.32,1011.37,983.124,956.569,928.355
2021-12-16,506.843,680.225,848.641,979.614,1063.42,1101.18,1065.11,1004.11,975.709,949.206,921.192
2021-12-17,502.659,675.203,842.193,972.311,1055.62,1093.15,1057.27,996.656,968.508,942.374,915.098
2021-12-18,499.494,671.199,837.113,966.616,1049.79,1087.61,1052.14,991.44,962.84,936.439,909.414
2021-12-19,496.877,667.592,832.285,960.899,1043.63,1081.21,1045.78,985.463,956.934,930.588,903.837
2021-12-20,493.336,662.791,825.747,953.329,1035.54,1072.9,1037.6,977.577,949.094,922.889,896.114
2021-12-21,488.821,657.201,818.768,945.218,1026.67,1063.8,1028.77,969.122,940.827,914.876,888.537
2021-12-22,484.884,651.085,811.203,936.945,1018.11,1055.37,1020.69,961.399,933.142,907.241,880.826
2021-12-23,479.238,642.995,800.603,924.808,1005.24,1042.58,1008.64,950.043,921.978,896.26,870.56
2021-12-24,474.727,637.353,793.413,916.305,995.798,1032.7,998.872,940.66,912.796,887.33,862.276
2021-12-25,471.538,633.394,788.383,910.438,989.272,1025.64,991.604,933.298,905.294,879.896,855.144
2021-12-26,468.297,629.244,782.73,903.81,982.072,1018.26,984.294,926.339,898.654,873.545,849.246
2021-12-27,464.183,624.153,776.631,896.885,974.678,1010.89,977.423,920.17,892.667,867.644,843.591
2021-12-28,461.351,619.49,770.617,890.225,967.83,1004.19,971.169,914.372,887.086,862.265,838.483
2021-12-29,458.523,615.538,765.608,884.948,962.496,998.902,966.153,909.522,881.828,856.69,832.461
2021-12-30,452.805,608.211,756.696,875.378,952.942,989.814,957.724,901.641,873.913,848.681,824.168
2021-12-31,448.017,601.731,748.262,865.739,942.648,979.226,947.3,891.768,864.267,839.299,815.084
2022-01-01,444.213,596.227,740.393,856.523,932.724,969.154,937.717,883.082,856.1,831.579,807.785
2022-01-02,441.024,592.047,735.306,850.14,925.375,961.104,929.403,875.235,848.609,824.409,800.378
2022-01-03,436.493,585.816,727.421,840.493,914.561,949.909,918.6,865.033,838.723,814.81,790.821
2022-01-04,433.521,581.425,721.532,833.584,907.033,942.097,910.844,857.289,831.138,807.468,783.667
2022-01-05,429.703,576.273,714.771,825.255,897.933,933.54,903.519,850.569,824.41,800.561,776.342
2022-01-06,423.186,568.535,705.799,814.726,885.99,920.737,890.505,837.426,811.258,787.593,763.694
2022-01-07,420.471,564.902,701.306,809.106,879.453,913.627,883.27,830.368,804.391,781.05,757.978
2022-01-08,416.788,560.197,695.407,802.662,873.017,907.363,877.345,824.704,798.746,775.486,752.457
2022-01-09,412.4,554.883,688.903,795.224,865.143,899.37,869.7,817.694,791.929,768.791,745.456
2022-01-10,407.985,549.45,682.107,787.076,856.103,889.873,860.304,808.861,783.71,761.137,738.086
2022-01-11,403.478,544.581,676.26,780.439,849.259,883.19,854.141,803.286,778.476,756.147,733.194
2022-01-12,399.288,538.771,669.095,772.215,840.665,874.786,846.409,796.222,771.577,749.328,726.386
2022-01-13,396.982,535.785,665.539,768.041,836.057,869.946,841.699,791.709,767.219,745.221,722.584
2022-01-14,393.926,531.72,660.494,762.476,830.474,864.552,836.671,787.024,762.781,741.068,718.769
2022-01-15,391.91,529.088,656.755,757.692,825.113,858.855,831.014,781.841,757.849,736.323,714.059
2022-01-16,388.714,524.875,651.512,751.394,818.2,851.93,824.516,775.546,751.553,730.079,707.856
2022-01-17,385.257,520.292,646.152,745.291,811.518,844.982,817.595,768.707,744.769,723.476,701.565
2022-01-18,381.42,515.079,639.769,737.582,802.704,835.553,808.267,759.859,736.4,715.567,694.272
2022-01-19,377.779,511.066,635.073,732.353,797.326,830.324,803.482,755.474,731.936,710.977,689.242
2022-01-20,374.119,505.509,627.807,723.226,787.111,819.859,793.366,745.868,722.805,702.311,680.993
2022-01-21,370.968,501.33,622.454,716.981,780.458,813.162,786.857,739.56,716.667,696.43,675.193
2022-01-22,366.315,494.628,613.835,706.506,768.99,801.663,776.12,729.633,707.231,687.336,666.081
2022-01-23,362.651,490.362,608.453,700.242,762.405,795.021,769.66,723.317,700.838,681.011,660.004
2022-01-24,356.735,482.649,599.302,689.846,751.499,784.219,759.51,713.836,691.616,671.999,650.775
2022-01-25,351.486,475.853,591.409,680.939,742.012,774.552,750.169,704.516,682.088,662.456,640.741
2022-01-26,347.634,469.693,583.857,672.161,732.547,765.099,741.248,696.03,673.84,654.413,633.145
2022-01-27,343.999,464.887,577.984,665.204,724.944,757.244,733.608,688.851,666.972,647.865,626.966
2022-01-28,340.158,459.736,571.807,658.281,717.808,750.165,726.969,682.881,661.265,642.301,621.509
2022-01-29,337.021,455.393,566.379,652.068,711.209,743.52,720.415,676.452,654.845,635.9,614.623
2022-01-30,334.362,451.917,562.309,647.421,706.184,738.278,715.111,671.292,649.797,631.099,610.05
2022-01-31,331.315,447.553,556.591,640.683,698.888,730.795,707.952,664.795,643.864,625.698,605.452
