Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999"
2021-10-01,666.551,844.654,990.468,1191.88,1301.41,1310.9,1268.24,1320.08
2021-10-02,666.336,844.363,990.059,1191.3,1300.74,1310.28,1267.64,1319.45
2021-10-03,666.014,843.749,989.195,1190.32,1299.69,1309.19,1266.47,1318.15
2021-10-04,665.829,843.472,988.844,1189.91,1299.17,1308.59,1265.82,1317.43
2021-10-05,665.231,842.667,987.784,1188.42,1297.23,1306.56,1263.76,1315.26
2021-10-06,663.577,840.557,985.411,1185.9,1294.4,1303.59,1260.85,1312.28
2021-10-07,663.371,840.197,984.887,1185.01,1293.09,1302.08,1259.17,1310.44
2021-10-08,662.753,839.263,983.783,1183.77,1291.71,1300.75,1257.9,1309.12
2021-10-09,662.602,839.084,983.594,1183.53,1291.43,1300.41,1257.51,1308.65
2021-10-10,662.008,838.31,982.742,1182.63,1290.41,1299.39,1256.51,1307.63
2021-10-11,660.859,836.837,981.127,1180.95,1288.71,1297.82,1255.12,1306.3
2021-10-12,658.978,834.589,978.691,1178.39,1285.94,1294.93,1252.15,1303.27
2021-10-13,658.768,834.266,978.313,1177.9,1285.27,1294.04,1251.08,1302.1
2021-10-14,658.699,834.16,978.192,1177.78,1285.15,1293.92,1250.94,1301.92
2021-10-15,657.563,832.938,976.664,1175.84,1282.71,1291.18,1247.96,1298.64
2021-10-16,656.559,831.768,975.332,1174.31,1280.97,1289.39,1246.17,1296.73
2021-10-17,655.809,830.634,973.802,1172.3,1278.71,1287.24,1244.14,1294.65
2021-10-18,653.424,827.364,969.913,1167.98,1274.03,1282.64,1239.76,1290.19
2021-10-19,652.73,826.236,968.249,1165.81,1271.57,1280.02,1236.96,1287.24
2021-10-20,652.357,825.672,967.576,1164.97,1270.56,1278.92,1235.79,1285.94
2021-10-21,650.71,823.678,965.322,1162.66,1268.2,1276.6,1233.53,1283.7
2021-10-22,649.873,822.547,963.884,1160.78,1266.2,1274.61,1231.49,1281.56
2021-10-23,649.077,821.656,962.884,1159.43,1264.48,1272.71,1229.41,1279.26
2021-10-24,647.661,819.783,960.526,1156.4,1261.27,1269.63,1226.38,1276.17
2021-10-25,644.787,816.472,956.741,1151.96,1256.37,1264.72,1221.45,1271.06
2021-10-26,638.59,809.01,948.229,1142.18,1245.82,1253.83,1210.06,1259.21
2021-10-27,635.072,804.44,942.97,1136.67,1240.07,1247.99,1204.22,1253.47
2021-10-28,633.622,802.742,941.24,1134.39,1237.31,1244.98,1201.04,1250.17
2021-10-29,631.768,800.082,937.92,1130.21,1232.6,1240.32,1196.44,1245.43
2021-10-30,629.559,797.396,934.746,1126.41,1228.17,1235.7,1191.78,1240.55
2021-10-31,627.396,794.486,931.533,1122.78,1224.21,1231.65,1187.61,1236.13
2021-11-01,625.335,791.928,928.451,1119.18,1220.24,1227.66,1183.59,1231.86
2021-11-02,623.466,789.662,925.83,1116.1,1216.94,1224.38,1180.43,1228.61
2021-11-03,621.573,787.085,922.895,1112.83,1213.3,1220.71,1176.9,1224.89
2021-11-04,620.232,785.079,920.461,1109.95,1210.1,1217.43,1173.76,1221.57
2021-11-05,619.159,783.689,918.82,1108.12,1208.22,1215.56,1171.91,1219.68
2021-11-06,618.762,783.289,918.275,1107.17,1207.08,1214.4,1170.8,1218.43
2021-11-07,617.298,781.349,916.066,1104.53,1204.35,1211.8,1168.37,1215.92
2021-11-08,616.021,779.498,914.156,1102.68,1202.54,1210.06,1166.75,1214.24
2021-11-09,612.962,776.047,910.078,1097.48,1196.82,1204.38,1161.37,1208.64
2021-11-10,610.248,772.933,906.282,1092.58,1191.23,1198.42,1155.19,1201.87
2021-11-11,607.554,769.491,902.325,1087.86,1186.32,1193.48,1150.24,1196.53
2021-11-12,603.553,765.314,897.64,1082.26,1179.99,1186.99,1143.88,1189.58
