Date,"5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999"
2021-10-01,527.724,678.37,788.968,970.018,1072.78,1119.45,1141.97
2021-10-02,527.505,678.187,788.789,969.823,1072.59,1119.26,1141.83
2021-10-03,526.93,677.362,787.849,968.76,1071.4,1118.03,1140.63
2021-10-04,526.382,676.671,787.09,967.873,1070.42,1116.97,1139.55
2021-10-05,525.508,675.957,786.327,966.925,1069.36,1115.8,1138.31
2021-10-06,523.857,673.888,784.037,964.196,1066.26,1112.46,1134.87
2021-10-07,522.084,671.86,781.932,962.047,1064.13,1110.36,1132.9
2021-10-08,521.708,671.361,781.381,961.39,1063.39,1109.48,1131.87
2021-10-09,521.453,670.877,780.753,960.608,1062.53,1108.61,1131.03
2021-10-10,520.679,670.073,779.93,959.722,1061.59,1107.57,1129.9
2021-10-11,520.102,669.315,779.082,958.699,1060.4,1106.23,1128.45
2021-10-12,518.65,667.684,777.331,956.63,1058.16,1103.84,1126.04
2021-10-13,518.21,667.066,776.572,955.663,1057.05,1102.6,1124.73
2021-10-14,518.047,666.821,776.277,955.311,1056.66,1102.22,1124.38
2021-10-15,516.462,664.686,773.942,952.641,1053.9,1099.53,1121.86
2021-10-16,515.41,663.431,772.677,951.262,1052.58,1098.36,1120.9
2021-10-17,514.643,662.501,771.603,949.827,1050.9,1096.6,1119.08
2021-10-18,513.094,660.408,769.23,946.923,1047.58,1093,1115.29
2021-10-19,511.622,658.727,767.381,944.705,1045.07,1090.28,1112.42
2021-10-20,511.246,658.16,766.654,943.74,1043.92,1089.01,1111.1
2021-10-21,510.267,657.024,765.364,942.174,1042.18,1087.16,1109.21
2021-10-22,509.46,655.968,764.171,940.736,1040.55,1085.37,1107.27
2021-10-23,508.761,654.966,762.948,939.178,1038.84,1083.53,1105.34
2021-10-24,507.99,654.039,761.823,937.687,1037.25,1081.94,1103.83
2021-10-25,506.035,651.923,759.542,934.958,1034.33,1079,1100.98
2021-10-26,501.381,646.313,753.362,927.533,1026.36,1070.94,1092.91
2021-10-27,497.968,642.5,749.411,923.133,1021.58,1065.97,1087.98
2021-10-28,495.921,639.926,746.618,919.962,1018.29,1062.44,1084.29
2021-10-29,494.268,637.996,744.41,917.181,1015.19,1059.29,1081.3
2021-10-30,492.294,635.517,741.55,913.69,1011.27,1054.97,1076.68
2021-10-31,490.596,633.426,739.171,910.739,1007.95,1051.44,1073.07
2021-11-01,489.168,631.486,736.813,907.655,1004.33,1047.34,1068.58
2021-11-02,487.861,629.892,735.008,905.397,1001.85,1044.76,1065.97
2021-11-03,486.686,628.332,733.156,902.969,999.139,1041.94,1063.15
2021-11-04,484.928,626.142,730.699,900.122,996.174,1039.04,1060.39
2021-11-05,483.946,624.815,729.171,898.326,994.319,1037.25,1058.73
2021-11-06,483.517,624.202,728.41,897.342,993.245,1036.14,1057.63
2021-11-07,482.629,623.145,727.194,895.756,991.478,1034.34,1055.8
2021-11-08,482.255,622.544,726.416,894.75,990.358,1033.17,1054.63
2021-11-09,479.896,619.891,723.478,891.135,986.241,1028.71,1049.89
2021-11-10,476.339,615.715,718.954,885.857,980.406,1022.56,1043.61
2021-11-11,473.909,612.862,715.73,882.004,976.256,1018.26,1039.19
2021-11-12,471.724,610.049,712.385,877.767,971.546,1013.36,1034.19
2021-11-13,470.631,608.582,710.656,875.759,969.522,1011.38,1032.3
2021-11-14,468.575,606.07,707.793,872.24,965.768,1007.67,1028.73
2021-11-15,464.752,601.437,702.637,866.092,959.23,1001,1022
2021-11-16,464.346,600.807,701.814,864.973,957.949,999.692,1020.71
2021-11-17,462.861,599.167,699.984,862.69,955.442,997.107,1018.06
2021-11-18,458.802,594.763,695.326,857.343,949.812,991.35,1012.23
2021-11-19,454.719,589.947,689.954,850.917,942.655,983.633,1004.05
2021-11-20,451.695,586.235,685.728,845.813,937.104,978.131,998.718
2021-11-21,449.893,584.204,683.429,842.966,933.913,974.695,995.096
2021-11-22,448.001,581.862,680.647,839.51,930.235,970.934,991.285
2021-11-23,444.827,578.131,676.581,834.731,925.185,965.864,986.312
2021-11-24,442.697,575.402,673.257,830.398,920.368,960.791,981.048
2021-11-25,439.839,572.032,669.371,825.481,914.911,955.041,975.072
2021-11-26,436.274,567.684,664.545,819.888,908.863,948.62,968.306
2021-11-27,433.499,564.586,661.058,815.673,904.257,943.889,963.494
2021-11-28,431.178,561.708,657.682,811.478,899.589,939.016,958.435
2021-11-29,428.153,557.803,653.107,805.911,893.529,932.798,952.202
2021-11-30,425.905,554.969,649.767,801.623,888.638,927.539,946.676
2021-12-01,423.147,551.387,645.445,796.031,882.153,920.391,938.866
2021-12-02,420.217,547.735,641.259,790.845,876.512,914.62,933.117
2021-12-03,416.681,543.463,636.326,784.659,869.693,907.567,926.012
2021-12-04,412.89,538.567,630.733,778.036,862.684,900.636,919.345
2021-12-05,410.883,536.095,627.834,774.386,858.649,896.302,914.701
2021-12-06,409.692,534.851,626.449,772.674,856.828,894.491,912.988
2021-12-07,407.613,532.279,623.535,769.106,852.91,890.278,908.572
2021-12-08,404.572,528.832,619.524,764.034,847.346,884.45,902.529
2021-12-09,400.913,524.162,614.042,757.247,839.998,876.89,894.833
2021-12-10,398.61,521.521,611.036,753.467,835.99,872.911,890.98
2021-12-11,396.782,519.181,608.297,749.999,832.136,868.801,886.61
2021-12-12,393.343,514.968,603.499,744.146,825.698,861.999,879.534
2021-12-13,389.723,510.641,598.656,738.167,818.991,854.865,872.026
2021-12-14,386.323,506.149,593.21,731.362,811.652,847.486,864.742
2021-12-15,382.703,501.855,588.373,725.536,805.459,841.191,858.412
2021-12-16,380.006,498.172,583.912,719.928,799.418,835.152,852.538
2021-12-17,376.848,494.176,579.383,714.467,793.355,828.964,846.304
2021-12-18,375.123,491.504,576.092,710.392,788.924,824.43,841.699
2021-12-19,372.881,488.62,572.563,705.835,783.854,819.251,836.589
2021-12-20,370.142,485.246,568.715,701.138,778.74,813.73,830.738
2021-12-21,366.958,481.068,563.828,695.028,772.044,806.926,824.024
2021-12-22,364.081,477.465,559.639,689.952,766.546,801.149,818.064
2021-12-23,359.362,472.028,553.633,682.747,758.717,793.157,810.015
2021-12-24,354.866,466.42,547.274,675.227,750.618,784.906,801.752
2021-12-25,352.165,462.899,543.028,669.866,744.781,778.933,795.712
2021-12-26,348.622,458.625,538.303,664.339,738.723,772.541,789.008
2021-12-27,346.021,455.213,534.441,659.791,733.684,767.147,783.265
2021-12-28,344.159,452.796,531.52,656,729.62,763.08,779.284
2021-12-29,342.537,450.52,528.638,652.204,725.519,758.998,775.368
