Date,"6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999"
2021-10-01,289.17,429.669,559.109,760.577,904.238,921.14,870.376
2021-10-02,289.13,429.615,559.04,760.501,904.161,921.072,870.327
2021-10-03,288.631,428.836,558.044,759.307,902.831,919.685,868.941
2021-10-04,288.402,428.463,557.529,758.593,901.975,918.803,868.144
2021-10-05,287.965,427.965,556.923,757.721,900.88,917.671,867.114
2021-10-06,286.367,426.138,554.818,755.192,898.028,914.774,864.46
2021-10-07,285.565,425.179,553.654,753.746,896.398,913.141,863.018
2021-10-08,285.341,424.829,553.194,753.147,895.71,912.443,862.39
2021-10-09,285.111,424.474,552.746,752.55,894.992,911.691,861.617
2021-10-10,284.992,424.251,552.39,752.035,894.394,911.103,861.137
2021-10-11,284.403,423.485,551.476,750.931,893.162,909.864,859.95
2021-10-12,283.908,422.623,550.387,749.44,891.307,907.914,857.949
2021-10-13,283.254,421.901,549.596,748.52,890.267,906.839,856.935
2021-10-14,283.179,421.792,549.448,748.338,890.061,906.63,856.755
2021-10-15,281.916,420.267,547.619,746.054,887.427,903.922,854.236
2021-10-16,281.727,419.966,547.214,745.51,886.783,903.266,853.628
2021-10-17,281.436,419.493,546.566,744.571,885.628,902.112,852.573
2021-10-18,280.749,418.219,544.837,742.138,882.673,899.072,849.579
2021-10-19,280.046,417.327,543.667,740.443,880.607,896.997,847.698
2021-10-20,279.817,416.981,543.194,739.736,879.71,896.074,846.843
2021-10-21,278.963,415.989,542.066,738.289,877.995,894.314,845.142
2021-10-22,278.779,415.531,541.354,737.228,876.689,892.971,843.874
2021-10-23,278.533,414.96,540.546,736.138,875.401,891.648,842.626
2021-10-24,278.401,414.675,540.135,735.471,874.538,890.778,841.844
2021-10-25,278.308,414.362,539.494,734.2,872.795,889.037,840.408
2021-10-26,276.215,411.394,535.806,729.105,866.64,882.83,834.57
2021-10-27,274.897,409.527,533.366,725.898,862.953,879.164,831.277
2021-10-28,273.673,407.755,531.237,723.348,860.076,876.226,828.504
2021-10-29,273.011,406.885,530.161,721.778,858.109,874.263,826.754
2021-10-30,272.051,405.258,527.995,718.828,854.56,870.616,823.328
2021-10-31,271.448,404.054,526.352,716.558,851.817,867.803,820.704
2021-11-01,270.596,402.694,524.598,714.07,848.698,864.569,817.73
2021-11-02,270.341,402.179,523.745,712.637,846.871,862.738,816.247
2021-11-03,269.794,401.311,522.556,710.89,844.726,860.574,814.357
2021-11-04,268.904,400.018,520.926,708.85,842.41,858.219,812.172
2021-11-05,268.615,399.474,520.144,707.762,841.129,856.92,811.012
2021-11-06,268.407,399.023,519.526,707.005,840.303,856.083,810.197
2021-11-07,268.289,398.603,518.827,705.883,838.902,854.65,808.834
2021-11-08,268.127,398.258,518.327,705.106,837.916,853.641,807.882
2021-11-09,267.074,396.649,516.195,702.042,834.151,849.802,804.294
2021-11-10,265.068,393.941,512.852,697.695,829.07,844.669,799.621
2021-11-11,264.258,392.524,510.845,694.86,825.708,841.274,796.488
2021-11-12,262.483,390.162,508.035,691.352,821.761,837.308,792.726
2021-11-13,261.946,389.302,506.954,689.983,820.202,835.723,791.207
2021-11-14,260.793,387.734,505.018,687.468,817.257,832.714,788.3
2021-11-15,259.497,385.369,501.73,682.841,811.751,827.161,783.279
2021-11-16,259.239,384.901,501.103,682.01,810.792,826.206,782.455
2021-11-17,258.785,384.075,499.949,680.357,808.825,824.254,780.719
2021-11-18,256.877,381.619,496.918,676.308,804.08,819.496,776.348
2021-11-19,255.052,378.544,492.803,670.736,797.531,812.849,770.192
2021-11-20,253.81,376.425,490.046,667.168,793.426,808.683,766.258
2021-11-21,253.288,375.376,488.538,664.892,790.623,805.862,763.748
2021-11-22,252.636,374.195,486.833,662.446,787.73,802.981,761.187
2021-11-23,251.856,372.697,484.658,659.303,783.901,799.068,757.542
2021-11-24,251.327,371.533,482.908,656.633,780.605,795.746,754.638
2021-11-25,250.78,370.142,480.706,653.091,776.153,791.286,750.655
2021-11-26,249.171,367.648,477.35,648.527,770.815,785.887,745.688
2021-11-27,248.038,365.791,474.898,645.259,767.049,782.087,742.169
2021-11-28,247.056,363.809,472.205,641.602,762.707,777.648,737.92
2021-11-29,245.452,361.353,468.992,637.333,757.746,772.615,733.125
2021-11-30,244.558,359.605,466.556,633.86,753.557,768.379,729.243
