Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999"
2021-10-01,1007.38,1289.78,1555.9,1427.13,1075.21,1006.13,967.75,1057.02,1342.25
2021-10-02,1007.04,1289.36,1555.32,1426.5,1074.61,1005.56,967.164,1056.36,1341.39
2021-10-03,1006.53,1288.78,1554.61,1425.74,1073.92,1004.85,966.389,1055.39,1340.06
2021-10-04,1006.17,1288.24,1553.88,1425.06,1073.31,1004.29,965.807,1054.64,1338.84
2021-10-05,1004.66,1286.27,1551.49,1422.71,1071.4,1002.56,964.17,1052.79,1336.34
2021-10-06,1002.86,1283.98,1548.63,1420.15,1069.29,1000.53,962.135,1050.46,1333.21
2021-10-07,1002.43,1283.44,1547.91,1419.39,1068.5,999.671,961.155,1049.27,1331.55
2021-10-08,1001.12,1281.97,1546.2,1417.71,1067.08,998.38,959.826,1047.59,1328.95
2021-10-09,1001.09,1281.87,1545.94,1417.31,1066.6,997.881,959.276,1046.93,1328.37
2021-10-10,999.722,1280.04,1543.97,1415.7,1065.53,996.957,958.435,1045.94,1326.58
2021-10-11,998.301,1278.25,1541.75,1413.78,1064.2,995.722,957.294,1044.63,1325.03
2021-10-12,995.394,1275.07,1538.34,1410.74,1061.84,993.577,955.18,1041.97,1320.53
2021-10-13,994.941,1274.45,1537.49,1409.84,1061.09,992.809,954.462,1041.2,1319.56
2021-10-14,994.604,1273.97,1536.76,1408.95,1060.42,992.224,954.004,1040.74,1318.96
2021-10-15,993.159,1272.05,1534.16,1406.22,1058.15,989.983,951.735,1038.09,1315.05
2021-10-16,991.606,1270.03,1531.6,1403.85,1056.39,988.446,950.348,1036.53,1313.01
2021-10-17,990.687,1268.66,1529.57,1401.91,1054.8,986.929,948.904,1034.85,1310.42
2021-10-18,989.366,1267.07,1527.67,1400.14,1053.17,985.423,947.31,1032.85,1307.31
2021-10-19,988.316,1265.54,1525.61,1397.99,1051.31,983.701,945.632,1030.93,1304.94
2021-10-20,987.567,1264.69,1524.65,1397.12,1050.64,983.122,945.026,1030.07,1303.36
