Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999","13000-13999","14000-14999"
2021-10-01,605.305,682.642,774.106,860.937,912.488,951.432,970.436,965.861,971.947,960.957,952.668,974.088,993.985,1090.42
2021-10-02,604.942,682.271,773.719,860.533,912.083,951.028,970.021,965.439,971.511,960.494,952.175,973.546,993.417,1089.95
2021-10-03,604.59,681.83,773.166,859.88,911.369,950.273,969.254,964.675,970.701,959.521,950.909,972.108,991.833,1088.25
2021-10-04,604.225,681.412,772.699,859.357,910.828,949.706,968.673,964.094,970.119,958.96,950.364,971.538,991.251,1087.62
2021-10-05,603.491,680.47,771.517,857.982,909.377,948.212,967.215,962.686,968.75,957.698,949.241,970.423,990.149,1086.44
2021-10-06,601.59,678.212,768.889,855.063,906.385,945.214,964.267,959.842,966.016,955.218,946.999,968.135,987.803,1083.66
2021-10-07,600.644,677.167,767.692,853.708,904.927,943.691,962.698,958.281,964.445,953.717,945.656,966.81,986.446,1082.21
2021-10-08,600.155,676.593,767.002,852.96,904.166,942.945,961.972,957.546,963.709,952.987,944.867,965.959,985.61,1081.28
2021-10-09,600.112,676.549,766.953,852.9,904.093,942.864,961.888,957.46,963.604,952.82,944.61,965.649,985.265,1080.92
2021-10-10,599.687,676.123,766.501,852.438,903.629,942.411,961.428,956.98,963.128,952.371,944.151,965.165,984.817,1080.39
2021-10-11,599.164,675.545,765.819,851.659,902.789,941.556,960.59,956.175,962.322,951.569,943.318,964.279,983.812,1079.15
2021-10-12,598.21,674.371,764.417,850.022,901.004,939.681,958.781,954.512,960.674,949.929,941.757,962.697,982.211,1077.51
2021-10-13,597.782,673.929,763.95,849.512,900.463,939.109,958.182,953.904,960.029,949.196,940.923,961.795,981.236,1076.53
2021-10-14,597.42,673.655,763.722,849.305,900.257,938.902,957.993,953.738,959.865,949.001,940.678,961.515,980.887,1076.12
2021-10-15,594.815,670.403,759.891,845.19,896.047,934.615,953.746,949.557,955.65,944.846,936.572,957.331,976.526,1071.53
2021-10-16,594.743,670.305,759.766,845.051,895.906,934.475,953.597,949.395,955.464,944.609,936.249,956.945,976.029,1070.95
2021-10-17,594.628,670.151,759.569,844.812,895.638,934.189,953.297,949.084,955.126,944.202,935.749,956.393,975.394,1070.25
2021-10-18,593.593,668.977,758.161,843.177,893.884,932.369,951.492,947.312,953.355,942.453,934.018,954.584,973.708,1068.54
2021-10-19,592.827,668.061,757.09,842.021,892.706,931.208,950.353,946.172,952.221,941.332,932.853,953.374,972.515,1067.3
2021-10-20,592.285,667.495,756.473,841.383,892.082,930.602,949.754,945.558,951.602,940.699,932.158,952.638,971.788,1066.54
