Date,"2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999","13000-13999","14000-14999"
2021-10-01,288.033,312.085,399.506,494.323,549.921,606.227,572.109,558.73,659.596,772.231,803.842,850.965,872.491
2021-10-02,287.774,311.825,399.221,493.988,549.557,605.868,571.764,558.347,659.145,771.715,803.246,850.283,871.688
2021-10-03,287.27,311.301,398.624,493.305,548.864,605.2,571.161,557.729,658.395,770.752,802.069,848.928,870.211
2021-10-04,287.225,311.249,398.534,493.141,548.64,604.957,570.93,557.461,658.04,770.327,801.613,848.439,869.717
2021-10-05,287.182,311.16,398.334,492.783,548.184,604.498,570.511,556.927,657.326,769.49,800.762,847.565,868.896
2021-10-06,286.543,310.492,397.64,492.021,547.366,603.65,569.671,556.007,656.221,768.188,799.32,846.016,867.408
2021-10-07,285.647,309.576,396.506,490.492,545.579,601.768,567.982,554.523,654.761,766.735,797.99,844.63,866.021
2021-10-08,285.551,309.453,396.354,490.216,545.184,601.286,567.438,554.097,654.303,766.201,797.415,844.003,865.363
2021-10-09,285.551,309.452,396.343,490.166,545.104,601.2,567.366,553.991,654.133,765.976,797.137,843.664,864.946
2021-10-10,285.535,309.431,396.316,490.122,545.044,601.128,567.295,553.896,653.987,765.781,796.911,843.407,864.676
2021-10-11,285.373,309.293,396.157,489.929,544.831,600.909,567.061,553.568,653.478,765.135,796.183,842.615,863.841
2021-10-12,284.862,308.706,395.368,488.872,543.645,599.699,565.921,552.382,652.11,763.667,794.726,841.123,862.474
2021-10-13,284.724,308.549,395.109,488.435,543.102,599.154,565.445,551.817,651.337,762.779,793.812,840.165,861.522
2021-10-14,284.625,308.423,394.902,488.078,542.636,598.608,564.92,551.401,650.949,762.411,793.474,839.809,861.154
2021-10-15,284.553,308.208,394.335,486.959,541.143,596.892,563.145,549.357,648.172,758.967,789.69,835.783,857.159
2021-10-16,284.405,308.032,394.113,486.653,540.791,596.511,562.794,549.042,647.852,758.596,789.244,835.271,856.549
2021-10-17,284.14,307.76,393.742,486.169,540.239,595.871,562.111,548.461,647.33,758.06,788.66,834.632,855.828
2021-10-18,283.786,307.386,393.238,485.482,539.447,595.051,561.336,547.608,646.251,756.816,787.385,833.35,854.749
2021-10-19,283.466,307.013,392.8,484.915,538.776,594.374,560.749,546.983,645.498,755.942,786.445,832.356,853.785
2021-10-20,283.135,306.727,392.504,484.561,538.349,593.936,560.361,546.58,645.035,755.412,785.862,831.725,853.151
2021-10-21,282.109,305.739,391.568,483.61,537.388,593.006,559.495,545.599,643.747,753.828,784.055,829.766,851
2021-10-22,281.94,305.544,391.309,483.263,536.982,592.56,559.095,545.234,643.335,753.331,783.498,829.156,850.391
2021-10-23,281.747,305.326,391.011,482.829,536.469,592.025,558.596,544.709,642.671,752.51,782.567,828.141,849.402
2021-10-24,281.678,305.237,390.862,482.578,536.152,591.692,558.294,544.367,642.201,751.94,781.98,827.535,848.868
2021-10-25,281.606,305.126,390.738,482.452,536.041,591.606,558.233,544.307,642.115,751.829,781.873,827.432,848.791
2021-10-26,281.327,304.847,390.414,482.021,535.538,591.123,557.791,543.727,641.204,750.643,780.62,826.149,847.738
2021-10-27,280.634,304.005,389.28,480.497,533.757,589.236,555.964,541.726,638.731,747.778,777.622,823.02,844.689
2021-10-28,279.68,302.887,387.694,478.183,531.044,586.372,553.361,539.129,635.737,744.413,774.132,819.329,840.953
2021-10-29,279.521,302.705,387.404,477.664,530.37,585.684,552.738,538.411,634.815,743.305,772.909,817.998,839.569
2021-10-30,278.753,301.946,386.519,476.593,529.197,584.483,551.552,537.103,633.165,741.236,770.544,815.418,837.064
2021-10-31,277.99,301.045,385.184,474.651,526.888,582.026,549.223,534.441,629.733,737.1,766.1,810.778,832.705
2021-11-01,276.888,299.746,383.45,472.242,524.098,579.15,546.623,531.777,626.399,733.068,761.597,805.778,827.223
2021-11-02,276.324,299.107,382.568,471.082,522.818,577.819,545.518,530.753,625.243,731.724,760.27,804.363,825.666
2021-11-03,275.777,298.462,381.724,470.02,521.642,576.601,544.402,529.601,623.838,730.047,758.548,802.552,823.781
2021-11-04,275.544,298.184,381.282,469.364,520.85,575.747,543.634,528.8,622.862,728.917,757.442,801.409,822.608
2021-11-05,275.089,297.762,380.772,468.743,520.174,575.039,543.007,528.2,622.188,728.143,756.659,800.566,821.701
2021-11-06,274.625,297.321,380.3,468.241,519.666,574.532,542.583,527.836,621.81,727.73,756.27,800.161,821.279
2021-11-07,274.482,297.174,380.123,468.014,519.411,574.26,542.322,527.583,621.472,727.315,755.843,799.706,820.802
2021-11-08,274.442,297.116,379.989,467.768,519.09,573.902,542.007,527.216,620.936,726.642,755.169,798.976,819.978
2021-11-09,273.077,295.809,378.642,466.333,517.59,572.342,540.404,525.337,618.539,723.829,752.223,795.874,816.739
2021-11-10,270.58,293.183,375.311,461.96,512.585,566.864,535.342,520.339,612.813,717.485,746.016,789.197,809.342
2021-11-11,269.698,292.206,374.058,460.336,510.747,564.866,533.581,518.655,610.916,715.26,743.736,786.708,806.589
2021-11-12,268.348,290.721,372.182,458.071,508.314,562.272,531.071,516.099,607.878,711.745,740.114,782.925,802.732
2021-11-13,266.961,289.277,370.427,455.906,505.955,559.768,528.931,514.236,605.935,709.61,738.03,780.669,800.123
2021-11-14,266.2,288.503,369.428,454.626,504.499,558.168,527.383,512.591,603.904,707.188,735.47,777.893,797.062
2021-11-15,265.642,287.853,368.542,453.418,503.091,556.656,525.93,510.907,601.551,704.134,732.095,774.168,792.809
2021-11-16,265.414,287.577,368.05,452.649,502.16,555.62,525.108,510.161,600.635,702.953,730.835,772.713,790.996
2021-11-17,265.066,287.177,367.507,451.944,501.359,554.746,524.342,509.361,599.708,701.889,729.782,771.615,789.825
2021-11-18,264.715,286.788,366.961,451.199,500.47,553.762,523.221,508.018,597.952,699.779,727.603,769.439,787.874
2021-11-19,263.381,285.215,364.675,448.055,496.867,549.921,519.8,504.493,593.487,694.46,722.338,763.962,782.581
2021-11-20,262.848,284.642,363.895,446.987,495.603,548.493,518.427,503.077,591.833,692.597,720.508,762.083,780.663
2021-11-21,262.079,283.819,362.709,445.396,493.808,546.568,516.685,501.452,590.007,690.569,718.588,760.137,778.785
2021-11-22,260.452,282.18,360.718,443.001,491.203,543.877,514.221,498.925,587.1,687.386,715.54,757.034,775.702
2021-11-23,258.975,280.653,358.759,440.521,488.429,540.902,511.529,496.318,584.158,683.945,712.064,753.346,771.829
2021-11-24,258.577,280.138,357.878,439.22,486.904,539.176,510.079,495.08,582.815,682.28,710.311,751.324,769.423
2021-11-25,258.033,279.555,357.076,438.156,485.714,537.934,508.982,493.971,581.461,680.686,708.739,749.675,767.734
2021-11-26,255.896,277.305,354.248,434.621,481.804,533.818,505.175,490.062,576.637,675.036,703.109,743.905,762.244
2021-11-27,254.471,275.752,352.359,432.367,479.413,531.312,502.955,487.986,574.263,672.357,700.55,741.273,759.684
