Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999"
2021-10-01,837.753,1030.17,1178.64,1210.49,1244.9,1290.4,1322.98,1314.05,1312.3
2021-10-02,837.442,1029.76,1178.1,1209.9,1244.34,1289.85,1322.5,1313.68,1311.99
2021-10-03,836.684,1028.88,1177.13,1208.83,1243.16,1288.58,1321.2,1312.44,1310.72
2021-10-04,836.491,1028.57,1176.57,1208.13,1242.47,1287.91,1320.4,1311.5,1309.7
2021-10-05,835.585,1027.33,1174.82,1206.01,1240.22,1285.7,1318.28,1309.59,1307.85
2021-10-06,833.142,1024.83,1172.12,1203.14,1237.24,1282.68,1315.17,1306.28,1304.35
2021-10-07,832.611,1024.01,1170.88,1201.64,1235.58,1280.84,1313.16,1304.13,1302.13
2021-10-08,831.7,1022.96,1169.63,1200.27,1234.22,1279.54,1311.93,1303.02,1301.08
2021-10-09,831.556,1022.77,1169.37,1199.96,1233.88,1279.14,1311.41,1302.37,1300.37
2021-10-10,831.069,1022.2,1168.66,1199.14,1233.02,1278.22,1310.44,1301.39,1299.42
2021-10-11,829.784,1020.78,1167.3,1197.87,1231.85,1277.05,1309.22,1300.14,1298.14
2021-10-12,827.99,1018.81,1164.84,1195.1,1228.99,1274.08,1306.13,1297.04,1295.02
2021-10-13,827.683,1018.44,1164.26,1194.3,1228,1272.88,1304.91,1295.77,1293.7
2021-10-14,827.551,1018.34,1164.14,1194.14,1227.82,1272.7,1304.7,1295.5,1293.39
2021-10-15,825.909,1016.17,1161.5,1191.03,1224.41,1269.3,1301.33,1292.18,1290.02
2021-10-16,824.911,1015.01,1159.95,1189.28,1222.58,1267.46,1299.5,1290.39,1288.24
2021-10-17,823.96,1013.37,1158.12,1187.25,1220.54,1265.44,1297.46,1288.33,1286.03
2021-10-18,820.862,1010.04,1153.74,1182.26,1215.64,1260.85,1293.05,1284.2,1282.1
2021-10-19,819.381,1008.1,1151.42,1179.56,1212.64,1257.76,1289.96,1281.13,1278.97
