Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999"
2021-10-01,488.695,650.784,810.999,920.46,987.902,1010.23,1032.83,1075.23,1174.94,1177.87,1161.54,1114.28,1108.72
2021-10-02,488.301,650.417,810.617,920.054,987.429,1009.73,1032.39,1074.84,1174.53,1177.49,1161.17,1113.92,1108.35
2021-10-03,487.87,649.892,809.98,919.334,986.64,1008.95,1031.56,1073.98,1173.67,1176.59,1160.27,1113.06,1107.54
2021-10-04,487.71,649.591,809.485,918.687,985.844,1008.14,1030.78,1073.22,1172.86,1175.73,1159.4,1112.18,1106.62
2021-10-05,487.211,648.748,808.164,916.996,983.949,1006.16,1028.81,1071.29,1170.84,1173.75,1157.51,1110.32,1104.72
2021-10-06,485.945,647.092,806.194,914.801,981.646,1003.79,1026.37,1068.83,1168.27,1171.19,1154.97,1107.85,1102.25
2021-10-07,485.403,646.275,805.012,913.395,979.96,1002.03,1024.6,1067.09,1166.4,1169.27,1153.09,1106.06,1100.53
2021-10-08,485.133,645.797,804.354,912.614,979.029,1001.02,1023.53,1065.98,1165.26,1168.15,1151.99,1105.03,1099.52
2021-10-09,485.056,645.691,804.172,912.336,978.748,1000.76,1023.24,1065.65,1164.93,1167.81,1151.68,1104.73,1099.22
2021-10-10,485.009,645.589,804.008,912.118,978.351,1000.27,1022.72,1065.12,1164.34,1167.21,1151.07,1104.12,1098.61
2021-10-11,484.829,645.206,803.472,911.445,977.445,999.267,1021.65,1064.05,1163.16,1166.04,1149.97,1103.14,1097.67
2021-10-12,483.706,644.025,802.242,910.127,976.26,998.124,1020.45,1062.78,1161.82,1164.61,1148.56,1101.73,1096.23
2021-10-13,483.387,643.646,801.819,909.658,975.673,997.514,1019.83,1062.16,1161.16,1163.91,1147.82,1100.96,1095.4
2021-10-14,483.028,643.287,801.459,909.274,975.356,997.247,1019.59,1061.92,1160.96,1163.75,1147.69,1100.82,1095.26
2021-10-15,481.808,641.389,798.72,906.005,971.309,992.891,1015.28,1057.83,1156.64,1159.49,1143.54,1097.07,1091.81
2021-10-16,481.761,641.262,798.506,905.717,970.959,992.531,1014.89,1057.42,1156.21,1159.05,1143.13,1096.69,1091.46
2021-10-17,481.567,640.892,797.903,904.877,969.974,991.486,1013.88,1056.42,1155.11,1157.99,1142.2,1095.82,1090.59
2021-10-18,480.517,639.362,795.853,902.41,966.995,988.295,1010.64,1053.22,1151.82,1154.71,1139,1092.69,1087.45
2021-10-19,479.44,637.935,793.848,899.866,963.725,984.786,1007.14,1049.93,1148.53,1151.72,1136.25,1090.05,1084.8
2021-10-20,479.265,637.59,793.282,899.116,962.742,983.747,1006.08,1048.87,1147.41,1150.6,1135.21,1089.08,1083.86
2021-10-21,478.209,636.272,791.592,897.174,960.685,981.678,1003.92,1046.65,1145.21,1148.47,1133.15,1087.04,1081.77
2021-10-22,477.408,635.324,790.428,895.821,959.01,979.819,1002.12,1045.03,1143.47,1146.85,1131.62,1085.64,1080.44
2021-10-23,477.059,634.778,789.655,894.878,957.793,978.543,1000.77,1043.63,1142.04,1145.47,1130.31,1084.43,1079.26
2021-10-24,476.624,633.998,788.528,893.518,956.023,976.589,998.868,1041.85,1140.15,1143.75,1128.74,1083.02,1077.91
2021-10-25,474.945,632.096,786.43,891.087,953.506,974.079,996.209,1039.04,1137.34,1141.06,1126.37,1080.94,1075.92
2021-10-26,472.444,628.371,781.448,885.269,947.065,967.456,989.368,1032.03,1129.96,1133.81,1119.33,1073.92,1068.79
2021-10-27,470.362,625.617,778.057,881.388,942.948,963.164,985.064,1027.75,1125.47,1129.4,1114.99,1069.65,1064.52
2021-10-28,468.376,623.166,775.135,878.247,939.897,960.244,982.105,1024.72,1122.41,1126.34,1111.93,1066.56,1061.37
