Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999","13000-13999"
2021-10-01,1648.29,1611.03,1448.41,1378.75,1302.95,1182.8,1310.58,1470.97,1571.86,1678.15,1755.89,1810.44,1851.91
2021-10-02,1647.59,1610.34,1447.86,1378.23,1302.48,1182.43,1310.19,1470.55,1571.41,1677.65,1755.34,1809.86,1851.31
2021-10-03,1646.92,1609.72,1447.29,1377.64,1301.91,1181.93,1309.72,1470.08,1570.93,1677.15,1754.82,1809.32,1850.76
2021-10-04,1646.61,1609.42,1446.99,1377.34,1301.62,1181.69,1309.47,1469.82,1570.65,1676.84,1754.49,1808.98,1850.4
2021-10-05,1644.35,1607.21,1445.03,1375.45,1299.95,1180.45,1308.13,1468.29,1568.99,1675,1752.53,1806.92,1848.27
2021-10-06,1642.51,1605.38,1443.29,1373.72,1298.39,1179.22,1306.88,1466.95,1567.57,1673.48,1750.93,1805.26,1846.57
2021-10-07,1641.93,1604.8,1442.79,1373.23,1297.93,1178.82,1306.47,1466.53,1567.12,1673,1750.41,1804.72,1846.02
2021-10-08,1640.25,1603.23,1441.21,1371.65,1296.47,1177.69,1305.3,1465.26,1565.77,1671.52,1748.85,1803.09,1844.33
2021-10-09,1640.15,1603.11,1441.03,1371.48,1296.3,1177.52,1305.12,1465.07,1565.58,1671.33,1748.64,1802.87,1844.11
2021-10-10,1638.68,1601.64,1439.77,1370.29,1295.25,1176.72,1304.26,1464.11,1564.54,1670.2,1747.45,1801.64,1842.84
2021-10-11,1636.98,1599.92,1438.13,1368.72,1293.78,1175.49,1302.98,1462.75,1563.12,1668.67,1745.83,1799.95,1841.1
2021-10-12,1634.48,1597.58,1435.89,1366.52,1291.79,1173.92,1301.37,1461.03,1561.31,1666.7,1743.75,1797.78,1838.87
2021-10-13,1634.19,1597.32,1435.64,1366.24,1291.51,1173.68,1301.13,1460.78,1561.05,1666.43,1743.47,1797.5,1838.58
2021-10-14,1633.59,1596.68,1435.03,1365.66,1290.97,1173.21,1300.63,1460.25,1560.48,1665.81,1742.8,1796.8,1837.85
2021-10-15,1628.71,1591.7,1430.41,1361.42,1287.25,1170.34,1297.53,1456.79,1556.78,1661.8,1738.56,1792.39,1833.32
2021-10-16,1626.46,1589.46,1428.31,1359.43,1285.47,1168.99,1296.14,1455.28,1555.17,1660.04,1736.69,1790.43,1831.3
2021-10-17,1624.21,1587.22,1426.21,1357.38,1283.57,1167.36,1294.45,1453.47,1553.27,1658.04,1734.61,1788.3,1829.12
2021-10-18,1622.22,1585.25,1424.27,1355.54,1281.86,1165.92,1292.97,1451.91,1551.65,1656.32,1732.82,1786.45,1827.23
2021-10-19,1620.32,1583.38,1422.55,1353.83,1280.3,1164.7,1291.69,1450.5,1550.13,1654.67,1731.07,1784.63,1825.36
2021-10-20,1618.26,1581.33,1420.54,1351.86,1278.38,1162.9,1289.83,1448.56,1548.13,1652.58,1728.91,1782.42,1823.11
2021-10-21,1613.37,1576.26,1415.99,1347.49,1274.37,1159.41,1285.98,1444.21,1543.42,1647.48,1723.52,1776.82,1817.35
2021-10-22,1609.76,1572.75,1412.65,1344.27,1271.36,1156.87,1283.31,1441.3,1540.32,1644.09,1719.9,1773.03,1813.42
2021-10-23,1603.56,1566.36,1406.81,1338.9,1266.49,1152.6,1278.42,1435.68,1534.26,1637.53,1712.97,1765.82,1806.01
2021-10-24,1598.14,1560.84,1401.21,1333.6,1261.65,1148.65,1274.2,1431.07,1529.37,1632.21,1707.32,1759.93,1799.93
2021-10-25,1591.12,1554.09,1394.89,1327.55,1256.05,1143.8,1268.89,1425.16,1523.06,1625.38,1700.09,1752.39,1792.17
2021-10-26,1584.84,1547.91,1389.01,1321.93,1251.02,1139.73,1264.43,1420.18,1517.74,1619.61,1693.98,1746.03,1785.62
2021-10-27,1579.25,1542.31,1383.78,1317.01,1246.6,1136.14,1260.55,1415.88,1513.15,1614.69,1688.81,1740.68,1780.13
2021-10-28,1576.67,1539.7,1381.5,1314.87,1244.7,1134.59,1258.84,1413.9,1510.96,1612.22,1686.13,1737.84,1777.17
2021-10-29,1570.39,1533.35,1375.5,1309.18,1239.45,1130.16,1254.12,1408.77,1505.55,1606.42,1680.05,1731.54,1770.72
2021-10-30,1564.19,1527.25,1369.95,1303.95,1234.75,1126.4,1250.07,1404.26,1500.72,1601.17,1674.48,1725.74,1764.74
2021-10-31,1557.67,1520.9,1363.94,1298.21,1229.5,1122.15,1245.6,1399.44,1495.63,1595.69,1668.7,1719.73,1758.57
2021-11-01,1552.4,1515.75,1359.25,1293.83,1225.52,1118.97,1242.19,1395.68,1491.59,1591.24,1663.92,1714.72,1753.37
2021-11-02,1547.16,1510.58,1354.77,1289.55,1221.45,1115.23,1238.24,1391.31,1486.89,1586.12,1658.49,1709.06,1747.55
2021-11-03,1541.21,1504.61,1349.47,1284.48,1216.58,1110.69,1233.33,1385.82,1480.96,1579.64,1651.6,1701.87,1740.13
2021-11-04,1537.31,1500.82,1345.81,1280.98,1213.21,1107.62,1230.17,1382.47,1477.45,1575.92,1647.72,1697.87,1736.04
2021-11-05,1533.11,1496.54,1342.05,1277.38,1209.71,1104.26,1226.58,1378.44,1473.07,1571.13,1642.61,1692.54,1730.54
2021-11-06,1532.17,1495.59,1341.14,1276.48,1208.8,1103.37,1225.65,1377.47,1472.03,1570.03,1641.45,1691.35,1729.32
2021-11-07,1529.06,1492.25,1338.18,1273.65,1205.96,1100.5,1222.61,1374.05,1468.3,1565.93,1637.08,1686.78,1724.6
2021-11-08,1523.85,1486.96,1333.53,1269.21,1201.59,1096.24,1218.08,1369.13,1463.06,1560.29,1631.12,1680.61,1718.26
2021-11-09,1515.79,1479.15,1326.38,1262.35,1195.15,1090.58,1212.17,1362.66,1456.13,1552.78,1623.16,1672.33,1709.74
2021-11-10,1509.18,1472.4,1320.15,1256.39,1189.38,1085.14,1206.43,1356.39,1449.45,1545.53,1615.48,1664.33,1701.5
2021-11-11,1500.5,1463.98,1312.61,1249.32,1182.69,1079.13,1200.03,1349.35,1441.93,1537.39,1606.86,1655.35,1692.27
2021-11-12,1493.88,1457.53,1306.9,1243.91,1177.59,1074.5,1195.06,1343.82,1436,1530.93,1600.01,1648.21,1684.92
2021-11-13,1486.81,1450.4,1300.64,1238.05,1171.93,1069.09,1189.25,1337.47,1429.31,1523.76,1592.48,1640.42,1676.94
2021-11-14,1480.12,1443.78,1294.6,1232.34,1166.35,1063.76,1183.57,1331.29,1422.78,1516.74,1585.1,1632.77,1669.1
2021-11-15,1473.39,1437.29,1288.68,1226.63,1160.91,1058.84,1178.46,1325.76,1416.91,1510.44,1578.47,1625.91,1662.06
2021-11-16,1469.38,1433.25,1285.06,1223.18,1157.51,1055.56,1174.94,1321.9,1412.79,1505.99,1573.78,1621.03,1657.04
2021-11-17,1457.69,1421.74,1275.26,1213.89,1148.8,1047.62,1166.45,1312.52,1402.82,1495.24,1562.45,1609.28,1644.99
2021-11-18,1448.7,1413.04,1267.39,1206.36,1141.52,1040.86,1159.3,1304.72,1394.52,1486.3,1553.03,1599.51,1634.96
2021-11-19,1442.08,1406.43,1261.3,1200.53,1136.02,1035.89,1154.12,1299.09,1388.56,1479.9,1546.3,1592.53,1627.81
2021-11-20,1434.97,1399.4,1255.33,1194.89,1130.68,1030.92,1148.78,1293.23,1382.3,1473.13,1539.14,1585.09,1620.15
2021-11-21,1426.95,1391.61,1248.58,1188.42,1124.49,1025.25,1142.74,1286.51,1375.03,1465.17,1530.67,1576.25,1611.04
2021-11-22,1416.62,1381.61,1239.83,1180.09,1116.5,1017.82,1134.91,1277.97,1365.96,1455.43,1520.43,1565.65,1600.16
2021-11-23,1408.15,1373.46,1232.71,1173.24,1109.94,1011.86,1128.68,1271.27,1358.87,1447.84,1512.45,1557.4,1591.7
2021-11-24,1399.1,1364.9,1225.47,1166.26,1103.35,1005.98,1122.49,1264.47,1351.59,1439.97,1504.14,1548.76,1582.82
2021-11-25,1391.16,1357.25,1218.53,1159.46,1096.74,999.961,1116.12,1257.47,1344.12,1431.89,1495.59,1539.88,1573.69
2021-11-26,1387.59,1353.84,1215.44,1156.31,1093.66,997.181,1113.3,1254.48,1340.94,1428.5,1492.03,1536.2,1569.92
2021-11-27,1384.3,1350.6,1212.31,1153.2,1090.58,994.232,1110.27,1251.28,1337.61,1425,1488.41,1532.49,1566.14
2021-11-28,1377.45,1343.9,1206.36,1147.48,1085.02,988.891,1104.66,1245.22,1331.18,1418.12,1481.18,1525.01,1558.47
2021-11-29,1371.57,1338.13,1201.41,1142.75,1080.52,984.742,1100.22,1240.3,1325.94,1412.42,1475.15,1518.73,1552.01
2021-11-30,1361.05,1327.83,1192.74,1134.51,1072.65,977.276,1092.23,1231.57,1316.65,1402.4,1464.56,1507.72,1540.69
2021-12-01,1349.32,1316.03,1181.69,1123.96,1062.5,967.754,1082.18,1220.69,1305.18,1390.12,1451.68,1494.4,1527.05
2021-12-02,1339.43,1306.23,1173.16,1116.05,1055.09,960.926,1074.61,1212.21,1296.18,1380.62,1441.82,1484.29,1516.75
2021-12-03,1326.68,1293.94,1162.08,1105.66,1045.4,952.148,1065.05,1201.68,1285.1,1368.95,1429.74,1471.92,1504.17
2021-12-04,1318.63,1286.02,1154.9,1098.82,1039.03,946.548,1058.97,1194.91,1277.88,1361.26,1421.7,1463.64,1495.71
2021-12-05,1312.53,1279.83,1149.48,1093.68,1034.27,942.249,1054.24,1189.53,1272.08,1355.02,1415.15,1456.86,1488.77
2021-12-06,1305.46,1273.01,1143.55,1088.03,1028.96,937.491,1049.04,1183.72,1265.86,1348.38,1408.2,1449.7,1481.43
2021-12-07,1296.21,1263.65,1135.44,1080.53,1022,931.126,1042,1175.78,1257.34,1339.26,1398.64,1439.83,1471.34
2021-12-08,1283.85,1251.22,1124.42,1070.32,1012.53,922.506,1032.44,1165.02,1245.87,1327.06,1385.92,1426.74,1457.98
2021-12-09,1271.7,1239.25,1113.81,1060.5,1003.4,914.214,1023.31,1154.81,1235.02,1315.57,1373.98,1414.48,1445.49
2021-12-10,1260.48,1228.03,1104.02,1051.45,995.015,906.609,1014.84,1145.17,1224.65,1304.49,1362.39,1402.54,1433.3
2021-12-11,1246.12,1214.08,1091.85,1039.99,984.359,897.244,1004.59,1133.68,1212.38,1291.4,1348.71,1388.45,1418.89
2021-12-12,1236.62,1204.54,1083.05,1031.63,976.421,889.878,996.665,1125.04,1203.32,1281.88,1338.86,1378.36,1408.63
2021-12-13,1223.64,1192.02,1072.02,1021.36,966.999,881.621,987.78,1115.36,1193.19,1271.27,1327.91,1367.17,1397.27
2021-12-14,1214.61,1182.95,1064.26,1014.09,960.084,875.047,980.531,1107.16,1184.34,1261.78,1317.94,1356.88,1386.73
2021-12-15,1199.25,1168.16,1051.24,1001.74,948.669,864.897,969.444,1094.83,1171.25,1247.9,1303.5,1342.04,1371.6
2021-12-16,1188.08,1157.03,1041.08,992.239,939.612,856.479,960.281,1084.77,1160.67,1236.78,1292,1330.26,1359.62
