Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,1671.25,1501.73,724.131,540.488,541.432,758.059,955.496,959.301,1220.81,2243.76
2021-10-02,1670.5,1501.05,723.775,540.161,541.081,757.643,954.96,958.767,1220.1,2242.29
2021-10-03,1669.64,1500.23,723.119,539.575,540.472,756.87,954.009,957.764,1218.91,2240.31
2021-10-04,1669.23,1499.87,722.887,539.298,540.177,756.433,953.37,957.086,1218.03,2238.69
2021-10-05,1666.55,1497.53,721.925,538.504,539.321,755.24,951.77,955.511,1215.98,2234.56
2021-10-06,1664.16,1495.22,720.049,536.988,537.737,753.283,949.465,953.227,1213.21,2229.62
2021-10-07,1663.5,1494.61,719.608,536.551,537.261,752.641,948.543,952.257,1212.07,2227.94
2021-10-08,1661.21,1492.55,718.468,535.692,536.361,751.359,946.817,950.434,1209.6,2222.7
2021-10-09,1661.11,1492.46,718.418,535.452,536.06,750.938,946.16,949.568,1208.75,2222.25
2021-10-10,1659.26,1490.84,717.701,535.016,535.674,750.273,945.259,948.803,1207.52,2218.7
2021-10-11,1657.28,1488.97,716.402,534.161,534.75,749.021,943.63,947.171,1205.61,2215.66
2021-10-12,1653.99,1485.92,714.328,532.512,533.021,746.598,940.524,944.115,1201.34,2205.9
2021-10-13,1653.57,1485.52,714,531.977,532.477,745.943,939.672,943.12,1200.25,2204.67
2021-10-14,1653.03,1485.01,713.65,531.682,532.157,745.512,939.133,942.583,1199.56,2203.27
2021-10-15,1647.99,1480.56,711.855,530.617,531.131,744.026,937.371,941.104,1197.1,2196.17
2021-10-16,1645.12,1478,710.607,529.69,530.224,742.882,936.04,939.925,1195.44,2192.19
2021-10-17,1642.38,1475.53,709.241,528.619,529.166,741.547,934.429,938.263,1193.15,2187.24
2021-10-18,1639.89,1473.28,708.01,527.582,528.077,740.065,932.488,936.181,1190.59,2182.72
2021-10-19,1637.63,1471.17,706.688,526.533,526.996,738.687,930.843,934.552,1188.6,2179.03
2021-10-20,1635.49,1469.26,705.697,525.609,526.103,737.489,929.269,932.943,1186.63,2175.56
2021-10-21,1630.38,1464.76,703.691,523.963,524.576,735.486,926.828,930.558,1183.53,2169.14
2021-10-22,1626.02,1460.92,701.919,522.776,523.513,733.885,924.762,928.811,1180.94,2162.55
2021-10-23,1620.54,1456.1,700.123,521.721,522.595,732.4,922.891,927.29,1178.3,2154.55
2021-10-24,1614.31,1450.41,696.992,519.298,520.163,729.207,918.967,923.333,1172.92,2142.64
2021-10-25,1607.06,1443.93,693.725,516.929,517.814,726.064,915.114,919.629,1168.04,2132.22
2021-10-26,1599.18,1436.75,689.502,513.714,514.293,721.356,909.577,914.267,1160.66,2115.03
2021-10-27,1593.33,1431.57,687.106,511.7,512.242,718.379,905.637,910.447,1155.24,2102.44
2021-10-28,1590.91,1429.42,686.035,510.618,511.199,716.994,903.681,908.238,1152.58,2098.17
2021-10-29,1583.51,1422.84,683.08,508.364,509.114,714.14,900.141,904.901,1147.55,2085.19
2021-10-30,1576.56,1416.74,680.523,506.216,507.068,711.183,896.212,900.899,1141.97,2072.8
2021-10-31,1569.14,1410.16,677.442,503.708,504.768,708.21,892.344,897.011,1136.78,2061.88
2021-11-01,1563.57,1405.26,675.476,502.25,503.393,706.275,889.873,894.737,1133.26,2052.77
2021-11-02,1557.92,1400.28,673.183,500.499,501.777,703.878,886.751,891.789,1129.4,2044.86
2021-11-03,1551.99,1394.95,670.698,498.737,500.185,701.549,883.796,889.085,1125.61,2036.2
2021-11-04,1547.63,1391.04,668.598,496.962,498.498,699.37,881.054,886.303,1122.24,2030.5
2021-11-05,1543.63,1387.47,666.883,495.549,497.144,697.456,878.56,883.762,1118.99,2024.41
2021-11-06,1542.58,1386.53,666.377,495.129,496.709,696.813,877.692,882.82,1117.83,2022.52
2021-11-07,1539.73,1383.98,665.119,494.099,495.699,695.381,875.854,881.033,1115.66,2018.87
2021-11-08,1534.89,1379.76,663.206,492.256,493.964,693.029,872.734,877.688,1111.59,2012.38
2021-11-09,1526.78,1372.32,658.665,488.882,490.747,688.938,867.92,873.265,1105.81,2000.1
2021-11-10,1519.97,1366.1,655.013,486.071,487.975,685.192,863.414,869.005,1100.37,1989.41
2021-11-11,1510.6,1357.75,650.913,483.285,485.335,681.431,858.783,864.632,1094.34,1975.92
2021-11-12,1503.76,1351.71,648.174,481.173,483.277,678.372,854.875,860.862,1089.2,1964.68
2021-11-13,1497.22,1346.01,645.943,479.469,481.687,675.972,851.814,857.977,1085.32,1956.46
2021-11-14,1490.51,1340.11,643.44,477.828,480.238,673.688,848.891,855.438,1081.49,1946.75
2021-11-15,1482.8,1333.22,639.78,474.859,477.393,669.898,844.148,850.428,1075.24,1935.61
2021-11-16,1478.98,1329.88,638.473,473.897,476.545,668.639,842.553,848.98,1073.28,1931.44
2021-11-17,1467.18,1319.37,633.34,470.314,473.161,663.95,836.96,843.984,1066.56,1916.29
2021-11-18,1457.43,1310.76,629.292,467.3,470.362,659.855,831.772,839.096,1059.96,1901.87
2021-11-19,1450.1,1304.08,625.321,464.196,467.211,655.587,826.578,833.816,1053.4,1889.93
2021-11-20,1443.51,1298.29,622.952,462.292,465.404,653.143,823.629,830.975,1049.9,1883.68
2021-11-21,1435.03,1290.78,619.33,459.77,463.024,649.62,819.052,826.497,1044.08,1872.01
2021-11-22,1424.81,1281.85,615.603,456.958,460.459,645.784,814.168,821.901,1037.8,1858.04
2021-11-23,1415.22,1273.41,611.722,453.93,457.708,641.849,809.103,816.918,1031.28,1845.05
2021-11-24,1405.32,1264.66,607.527,450.618,454.508,637.435,803.632,811.572,1024.2,1830.33
2021-11-25,1396.41,1256.65,603.281,447.445,451.469,633.153,798.241,806.516,1017.41,1815.65
2021-11-26,1392.18,1252.79,600.733,444.903,448.857,629.747,793.861,801.781,1011.93,1807.79
2021-11-27,1388.63,1249.45,598.189,442.54,446.372,626.419,789.458,796.912,1006.62,1801.38
2021-11-28,1381.36,1243,594.623,439.856,443.856,623.134,785.564,793.301,1002.01,1792.25
2021-11-29,1375.3,1237.59,591.756,437.338,441.4,619.872,781.396,788.975,996.909,1784.35
2021-11-30,1364.89,1228.43,587.649,434.518,438.762,616.074,776.797,784.862,991.204,1771.22
2021-12-01,1352.88,1217.63,582.293,430.588,435.134,611.147,771.061,779.775,984.309,1755.63
2021-12-02,1344,1209.61,578.753,428.128,432.907,607.776,766.694,775.699,978.39,1741.99
2021-12-03,1331.14,1198.09,573.827,424.811,429.866,602.973,760.22,769.312,969.379,1722.33
2021-12-04,1322.34,1190.03,569.587,421.467,426.693,598.688,754.676,763.683,961.814,1707.31
2021-12-05,1316.15,1184.25,566.194,419.21,424.44,595.538,750.845,760.156,957.322,1698.6
2021-12-06,1308.89,1177.78,563.498,417.476,422.867,593.108,747.674,757.274,953.131,1688.82
2021-12-07,1300.42,1170.15,560.113,415.113,420.705,589.934,743.419,753.101,947.531,1677.68
2021-12-08,1288.54,1159.47,555.215,411.744,417.447,585.095,736.994,746.608,939.069,1661.81
2021-12-09,1277.12,1149.37,551.109,408.917,414.839,581.309,732.287,742.053,932.93,1649.41
2021-12-10,1266.44,1139.86,547.271,406.343,412.574,577.837,727.65,737.437,926.486,1635.76
2021-12-11,1251.34,1126.46,541.979,403.105,409.762,573.388,721.872,732.245,918.47,1615.42
2021-12-12,1241.92,1117.74,536.644,399.176,406.014,568.5,715.815,726.225,910.607,1600.14
2021-12-13,1228.06,1105.36,531.406,395.633,402.609,563.346,709.197,719.938,901.94,1581.52
2021-12-14,1219.37,1097.52,527.544,392.636,399.662,559.113,703.295,713.683,894.067,1568.28
