Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,415.363,549.381,634.006,721.633,816.995,897.594,986.118,1024.97,1027.78,1058.02
2021-10-02,415.033,549.009,633.64,721.234,816.538,897.086,985.557,1024.38,1027.21,1057.41
2021-10-03,414.621,548.489,633.13,720.729,816.017,896.539,984.95,1023.76,1026.55,1056.77
2021-10-04,414.467,548.233,632.809,720.362,815.617,896.122,984.522,1023.33,1026.14,1056.37
2021-10-05,413.985,547.513,631.973,719.432,814.583,895.01,983.313,1022.06,1024.88,1055.05
2021-10-06,413.346,546.688,631.08,718.472,813.547,893.883,982.116,1020.79,1023.5,1053.63
2021-10-07,412.432,545.305,629.429,716.543,811.309,891.4,979.367,1017.98,1020.81,1050.88
2021-10-08,412.161,545.038,629.156,716.244,810.983,891.052,979,1017.57,1020.33,1050.42
2021-10-09,412.128,544.955,629.04,716.079,810.761,890.788,978.662,1017.25,1020.11,1050.2
2021-10-10,412.058,544.882,628.96,715.987,810.65,890.66,978.501,1017.08,1019.95,1050.04
2021-10-11,411.872,544.641,628.713,715.729,810.367,890.337,978.136,1016.68,1019.47,1049.58
2021-10-12,410.927,543.406,627.372,714.25,808.728,888.557,976.206,1014.68,1017.47,1047.57
2021-10-13,410.469,542.744,626.583,713.33,807.674,887.392,974.94,1013.39,1016.21,1046.28
2021-10-14,410.248,542.408,626.19,712.854,807.108,886.77,974.256,1012.71,1015.62,1045.66
2021-10-15,409.194,540.803,624.338,710.697,804.604,884,971.173,1009.49,1012.4,1042.41
2021-10-16,409.045,540.58,624.06,710.373,804.232,883.599,970.734,1009.07,1012.08,1042.08
2021-10-17,408.563,540.111,623.596,709.911,803.77,883.129,970.236,1008.6,1011.64,1041.64
2021-10-18,407.913,539.241,622.628,708.818,802.535,881.774,968.734,1007.04,1010.11,1040.09
2021-10-19,407.432,538.582,621.869,707.93,801.508,880.642,967.486,1005.77,1008.94,1038.88
2021-10-20,407.179,538.212,621.42,707.415,800.936,880.027,966.833,1005.09,1008.28,1038.21
2021-10-21,406.746,537.628,620.737,706.657,800.093,879.09,965.784,1004.02,1007.16,1037.07
2021-10-22,406.55,537.34,620.396,706.268,799.648,878.594,965.224,1003.44,1006.61,1036.5
2021-10-23,406.135,536.813,619.801,705.608,798.926,877.824,964.38,1002.61,1005.83,1035.72
2021-10-24,405.912,536.423,619.341,705.077,798.329,877.186,963.699,1001.93,1005.17,1035.07
2021-10-25,405.834,536.326,619.239,704.975,798.229,877.081,963.595,1001.82,1005.04,1034.93
2021-10-26,405.351,535.685,618.532,704.188,797.36,876.144,962.567,1000.75,1003.91,1033.83
2021-10-27,403.545,533.67,616.407,701.925,794.938,873.591,959.829,997.938,1001.11,1031.05
2021-10-28,401.832,531.185,613.575,698.714,791.297,869.585,955.464,993.41,996.56,1026.34
2021-10-29,401.305,530.333,612.542,697.545,790.008,868.191,953.973,991.906,995.098,1024.82
2021-10-30,400.346,529.171,611.355,696.281,788.632,866.718,952.361,990.218,993.343,1023.09
2021-10-31,398.258,526.455,608.371,692.952,784.906,862.649,947.916,985.614,988.75,1018.4
2021-11-01,396.351,523.722,605.186,689.318,780.797,858.155,943.046,980.647,984.022,1013.55
2021-11-02,395.464,522.381,603.519,687.343,778.489,855.566,940.152,977.629,981.069,1010.41
2021-11-03,394.359,520.964,601.957,685.619,776.574,853.484,937.893,975.269,978.679,1007.95
2021-11-04,393.671,520.041,600.865,684.358,775.118,851.849,936.049,973.342,976.787,1005.97
2021-11-05,392.998,519.215,599.955,683.367,774.019,850.633,934.729,971.938,975.328,1004.43
2021-11-06,392.671,518.858,599.525,682.858,773.414,849.945,933.959,971.118,974.537,1003.57
2021-11-07,392.465,518.602,599.207,682.495,773.011,849.502,933.482,970.628,974.043,1003.06
2021-11-08,392.264,518.227,598.717,681.875,772.241,848.618,932.46,969.524,972.937,1001.92
2021-11-09,390.721,516.528,597.028,680.141,770.452,846.787,930.554,967.509,970.706,999.753
2021-11-10,387.66,512.111,591.527,673.6,762.841,838.346,921.182,957.888,961.351,990.073
2021-11-11,386.347,510.329,589.402,671.114,759.929,835.056,917.433,953.963,957.479,986.046
2021-11-12,383.491,507.419,586.507,668.163,756.882,831.92,914.158,950.607,954,982.598
2021-11-13,381.761,505.36,584.144,665.477,753.822,828.537,910.36,946.738,950.324,978.754
2021-11-14,380.592,503.653,582.213,663.375,751.534,826.049,907.679,943.898,947.316,975.669
2021-11-15,379.309,502.056,580.465,661.389,749.252,823.509,904.809,940.87,944.226,972.517
2021-11-16,378.973,501.288,579.397,660.013,747.519,821.484,902.413,938.354,941.842,969.978
2021-11-17,378.248,500.331,578.337,658.828,746.172,819.999,900.748,936.61,940.123,968.185
2021-11-18,377.167,499.089,577.092,657.535,744.828,818.604,899.289,935.074,938.417,966.525
2021-11-19,375.062,495.578,572.701,652.342,738.76,811.793,891.601,927.034,930.371,958.275
2021-11-20,373.991,494.233,571.205,650.603,736.726,809.514,888.99,924.317,927.754,955.565
2021-11-21,372.747,492.436,569.04,648.1,733.866,806.369,885.475,920.726,924.311,952.022
2021-11-22,370.076,489.293,565.57,644.322,729.751,801.969,880.799,915.885,919.443,946.989
2021-11-23,368.301,486.509,562.186,640.398,725.261,797.026,875.399,910.268,913.908,941.184
2021-11-24,367.734,485.268,560.47,638.231,722.61,793.984,871.923,906.662,910.486,937.558
2021-11-25,366.782,483.954,558.97,636.546,720.71,791.89,869.615,904.24,908.026,934.991
2021-11-26,363.848,480.033,554.339,631.334,714.91,785.561,862.686,897.069,900.744,927.612
2021-11-27,362.3,477.897,551.943,628.607,711.777,782.078,858.765,892.948,896.615,923.346
2021-11-28,359.91,474.597,548.068,624.264,706.964,776.862,853.055,887.159,891.058,917.611
2021-11-29,357.476,471.151,544.079,619.689,701.736,771.074,846.629,880.45,884.426,910.723
2021-11-30,355.268,468.609,541.354,616.736,698.517,767.623,842.915,876.605,880.529,906.743
2021-12-01,352.085,464.436,536.746,611.751,693.131,761.906,836.794,870.309,874.211,900.333
2021-12-02,350.737,462.169,533.9,608.41,689.238,757.516,831.837,865.153,869.126,895.033
2021-12-03,349.686,460.676,532.171,606.532,687.193,755.323,829.511,862.757,866.686,892.56
2021-12-04,347.528,457.722,528.553,602.367,682.479,750.124,823.814,856.851,860.648,886.4
2021-12-05,346.567,456.174,526.422,599.611,679.033,746.115,819.108,852.008,856.093,881.604
2021-12-06,345.406,454.529,524.471,597.346,676.388,743.13,815.739,848.501,852.722,878.029
2021-12-07,343.964,452.696,522.323,594.867,673.533,739.951,812.164,844.812,849.16,874.333
2021-12-08,341.886,449.851,518.986,591.064,669.214,735.189,806.915,839.372,843.755,868.714
2021-12-09,338.959,446.117,514.663,586.229,663.833,729.346,800.609,832.855,837.23,862.011
2021-12-10,338.017,444.755,513.081,584.499,661.93,727.273,798.407,830.527,834.774,859.461
2021-12-11,336.127,442.151,510.146,581.288,658.361,723.355,794.109,825.956,829.988,854.492
2021-12-12,333.965,439.393,506.916,577.609,654.185,718.731,788.962,820.622,824.68,849.039
2021-12-13,331.146,435.466,502.269,572.314,648.15,712.019,781.523,812.862,816.903,840.973
2021-12-14,328.314,431.289,497.291,566.681,641.829,705.068,773.939,804.946,808.835,832.655
2021-12-15,326.37,428.707,494.318,563.347,638.097,700.963,769.497,800.261,803.993,827.659
2021-12-16,324.285,426.276,491.653,560.441,634.89,697.472,765.649,796.191,799.787,823.365
2021-12-17,321.621,422.654,487.518,555.831,629.719,691.8,759.429,789.712,793.321,816.688
2021-12-18,320.069,420.358,484.693,552.602,626.069,687.789,755.001,785.203,789.012,812.234
2021-12-19,318.3,417.675,481.459,548.858,621.763,683.015,749.696,779.658,783.559,806.587
2021-12-20,315.208,413.396,476.467,543.254,615.517,676.242,742.34,771.984,775.736,798.65
2021-12-21,312.465,409.929,472.476,538.73,610.4,670.633,736.203,765.555,769.287,791.998
2021-12-22,310.818,407.787,470.045,536.043,607.421,667.372,732.629,761.835,765.496,788.127
2021-12-23,308.063,404.306,466.114,531.617,602.407,661.85,726.541,755.466,759.067,781.491
2021-12-24,304.729,399.536,460.343,524.909,594.645,653.161,716.834,745.318,749.02,770.99
2021-12-25,301.052,394.456,454.201,517.871,586.648,644.401,707.168,735.345,739.234,760.969
2021-12-26,297.599,390.019,449.233,512.383,580.544,637.74,699.795,727.615,731.31,752.93
2021-12-27,294.733,386.072,444.468,506.942,574.373,630.93,692.318,719.802,723.419,744.754
2021-12-28,293.328,383.964,442.055,504.248,571.354,627.598,688.67,715.943,719.422,740.613
2021-12-29,291.597,381.486,438.994,500.69,567.245,623.028,683.56,710.69,714.403,735.347
2021-12-30,289.044,378.557,435.858,497.307,563.543,619.03,679.166,706.098,709.684,730.575
2021-12-31,285.795,374.025,430.556,491.333,556.838,611.677,671.086,697.668,701.132,721.794
