Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999","13000-13999"
2021-10-01,1782.13,1730.72,1512.5,1461.68,1491.89,1399.87,1294.43,1467.7,1731.75,1796.32,1866.75,1914.6,1897.03
2021-10-02,1781.37,1729.98,1511.91,1461.14,1491.39,1399.46,1294.09,1467.26,1731.17,1795.72,1866.12,1913.95,1896.39
2021-10-03,1780.77,1729.4,1511.36,1460.59,1490.83,1398.89,1293.53,1466.72,1730.64,1795.17,1865.55,1913.37,1895.82
2021-10-04,1780.45,1729.09,1511.08,1460.32,1490.57,1398.63,1293.28,1466.43,1730.31,1794.82,1865.18,1912.99,1895.44
2021-10-05,1778.25,1726.81,1509.08,1458.43,1488.74,1397.01,1291.8,1464.68,1728.18,1792.64,1862.93,1910.69,1893.19
2021-10-06,1776.61,1725.12,1507.57,1456.98,1487.29,1395.65,1290.54,1463.27,1726.55,1790.95,1861.19,1908.91,1891.43
2021-10-07,1776.03,1724.55,1507.06,1456.49,1486.8,1395.2,1290.12,1462.8,1726.01,1790.4,1860.61,1908.31,1890.84
2021-10-08,1774.55,1723.14,1505.8,1455.3,1485.66,1394.11,1289,1461.45,1724.38,1788.71,1858.86,1906.52,1889.07
2021-10-09,1774.42,1723.03,1505.68,1455.18,1485.54,1393.99,1288.85,1461.28,1724.18,1788.5,1858.64,1906.28,1888.84
2021-10-10,1772.77,1721.32,1504.18,1453.78,1484.18,1392.81,1287.87,1460.15,1722.86,1787.18,1857.3,1904.93,1887.51
2021-10-11,1771,1719.58,1502.59,1452.24,1482.62,1391.33,1286.52,1458.66,1721.16,1785.43,1855.48,1903.07,1885.68
2021-10-12,1768.77,1717.47,1500.76,1450.47,1480.87,1389.67,1284.92,1456.81,1718.98,1783.18,1853.16,1900.7,1883.34
2021-10-13,1768.52,1717.22,1500.52,1450.23,1480.64,1389.45,1284.69,1456.55,1718.7,1782.9,1852.87,1900.4,1883.05
2021-10-14,1767.8,1716.51,1499.83,1449.57,1479.99,1388.87,1284.17,1455.96,1718.01,1782.18,1852.12,1899.62,1882.28
2021-10-15,1762.57,1711.59,1495.67,1445.71,1476.29,1385.63,1281.2,1452.31,1713.51,1777.58,1847.39,1894.8,1877.52
2021-10-16,1760.67,1709.66,1493.96,1444.11,1474.77,1384.27,1279.9,1450.71,1711.55,1775.55,1845.28,1892.64,1875.4
2021-10-17,1758.3,1707.32,1491.83,1442.07,1472.76,1382.44,1278.19,1448.84,1709.42,1773.38,1843.06,1890.38,1873.16
2021-10-18,1756.44,1705.5,1490.15,1440.47,1471.19,1380.94,1276.72,1447.19,1707.54,1771.47,1841.1,1888.38,1871.18
2021-10-19,1754.78,1703.75,1488.53,1438.94,1469.73,1379.6,1275.42,1445.68,1705.78,1769.64,1839.19,1886.42,1869.25
