Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999"
2021-10-01,1582.49,1711.9,1809.94,1819.47,1849.29
2021-10-02,1582,1711.25,1809.25,1818.69,1848.36
2021-10-03,1581.38,1710.54,1808.57,1817.98,1847.62
2021-10-04,1581.08,1710.2,1808.25,1817.66,1847.29
2021-10-05,1579.21,1707.92,1805.67,1814.89,1844.5
2021-10-06,1577.43,1706.01,1803.75,1812.87,1842.37
2021-10-07,1576.89,1705.41,1803.1,1812.17,1841.65
2021-10-08,1575.27,1703.56,1801.37,1810.43,1839.81
2021-10-09,1575.18,1703.46,1801.26,1810.32,1839.69
2021-10-10,1573.87,1701.88,1799.63,1808.61,1837.98
2021-10-11,1572.12,1700.03,1797.73,1806.65,1835.99
2021-10-12,1569.65,1697.31,1795.07,1803.93,1833.17
2021-10-13,1569.37,1696.99,1794.74,1803.59,1832.83
2021-10-14,1568.77,1696.38,1794.07,1802.9,1832.17
2021-10-15,1564.42,1691.41,1788.64,1797.19,1826.24
2021-10-16,1562.49,1689.14,1786.34,1794.77,1823.54
2021-10-17,1560.7,1686.89,1783.98,1792.21,1820.82
2021-10-18,1558.87,1684.77,1781.8,1789.97,1818.46
2021-10-19,1557.4,1682.96,1779.99,1788.02,1816.22
2021-10-20,1555.47,1680.86,1777.67,1785.64,1813.89
2021-10-21,1551.35,1676.15,1772.67,1780.38,1808.38
2021-10-22,1548.04,1672.4,1768.88,1776.44,1804.17
2021-10-23,1543.14,1666.75,1762.75,1769.95,1797.3
2021-10-24,1538.1,1661.22,1757.03,1764,1791.12
2021-10-25,1531.54,1654.11,1749.63,1756.4,1783.41
2021-10-26,1525.69,1647.74,1743.44,1750.05,1776.6
2021-10-27,1520.09,1641.7,1736.93,1743.39,1770.02
2021-10-28,1517.6,1639.01,1734.05,1740.51,1767.24
2021-10-29,1511.81,1632.41,1726.92,1732.99,1759.7
2021-10-30,1506.05,1625.88,1720.05,1725.8,1752.44
2021-10-31,1499.52,1618.7,1712.37,1717.85,1744.65
2021-11-01,1494.54,1613.2,1706.44,1711.7,1738.35
2021-11-02,1489.8,1607.68,1700.41,1705.45,1732.16
2021-11-03,1484.92,1601.93,1694.32,1699.2,1725.59
2021-11-04,1480.79,1597.56,1689.72,1694.64,1721.23
2021-11-05,1477.51,1593.72,1685.63,1690.36,1716.63
2021-11-06,1476.6,1592.73,1684.58,1689.29,1715.57
2021-11-07,1474.38,1590.06,1681.72,1686.19,1712.18
2021-11-08,1469.56,1584.78,1675.97,1680.41,1706.54
2021-11-09,1461.69,1576.29,1666.91,1671.36,1697.65
2021-11-10,1455.44,1569.66,1660.01,1664.37,1690.61
2021-11-11,1447.13,1560.61,1650.62,1654.85,1680.97
2021-11-12,1440.83,1553.69,1643.29,1647.46,1673.65
2021-11-13,1434.75,1546.75,1635.73,1639.69,1665.82
2021-11-14,1428.23,1539.68,1628.04,1631.93,1658.31
2021-11-15,1422.06,1532.67,1620.79,1624.56,1650.8
2021-11-16,1418.53,1528.68,1616.41,1620.05,1646.31
2021-11-17,1408.19,1517.1,1604.19,1607.48,1633.48
2021-11-18,1399.56,1507.65,1594.29,1597.44,1623.48
2021-11-19,1393.79,1501.21,1587.81,1590.79,1616.41
2021-11-20,1387.35,1494.11,1580.02,1582.78,1608.42
2021-11-21,1379.82,1485.85,1571.24,1573.82,1599.51
2021-11-22,1370.51,1475.57,1560.56,1563.04,1588.49
2021-11-23,1362.34,1466.65,1551.25,1553.52,1578.96
2021-11-24,1353.65,1457.08,1541.22,1543.42,1568.97
2021-11-25,1346.01,1448.83,1532.83,1534.95,1560.41
2021-11-26,1342.67,1445.11,1529.05,1531.06,1556.41
2021-11-27,1339.39,1441.64,1525.46,1527.44,1552.89
2021-11-28,1332.59,1434.37,1517.78,1519.74,1545.46
2021-11-29,1327.19,1428.48,1511.69,1513.54,1539.19
2021-11-30,1317.32,1417.7,1500.09,1501.72,1527.7
2021-12-01,1306.29,1405.69,1487.5,1488.88,1514.81
2021-12-02,1296.6,1395.34,1476.15,1477.65,1503.77
2021-12-03,1284.25,1381.9,1461.95,1463.47,1489.42
2021-12-04,1276.43,1373.32,1452.78,1454.15,1480
2021-12-05,1271.11,1367.47,1446.64,1447.82,1473.38
2021-12-06,1264.59,1360.31,1439.11,1440.14,1465.42
2021-12-07,1255.98,1351.01,1428.93,1429.84,1455.02
2021-12-08,1244.24,1338.36,1415.15,1415.94,1441.14
2021-12-09,1232.69,1325.86,1401.53,1402.21,1427.37
2021-12-10,1222.8,1314.94,1389.77,1390.15,1414.85
2021-12-11,1209.74,1300.42,1374.41,1374.37,1398.36
2021-12-12,1200.66,1290.75,1364.15,1364.11,1388.01
2021-12-13,1187.42,1276.6,1349.2,1349.06,1372.79
2021-12-14,1179.46,1268.01,1340.21,1339.95,1363.32
2021-12-15,1164.3,1251.75,1323.03,1322.68,1345.93
2021-12-16,1153.48,1240.13,1310.31,1309.8,1333.06
2021-12-17,1142.53,1228.78,1298.39,1298.01,1321.58
2021-12-18,1134.03,1219.68,1288.84,1288.46,1311.81
2021-12-19,1129.37,1214.66,1283.56,1283.15,1306.46
2021-12-20,1119.95,1204.52,1272.86,1272.41,1295.63
2021-12-21,1110.82,1194.68,1262.22,1261.69,1284.89
2021-12-22,1100.3,1183.42,1250.16,1249.52,1272.73
2021-12-23,1090.56,1172.8,1239.12,1238.37,1261.2
2021-12-24,1084.82,1166.65,1232.77,1231.98,1254.67
2021-12-25,1078.12,1159.29,1225.05,1224.25,1246.77
2021-12-26,1073.71,1154.7,1220.5,1219.68,1242.07
2021-12-27,1068,1148.4,1213.78,1212.86,1235.09
2021-12-28,1059.21,1138.95,1203.61,1202.62,1224.67
2021-12-29,1049.72,1128.78,1192.68,1191.66,1213.84
2021-12-30,1038.54,1116.81,1179.94,1178.91,1201.09
2021-12-31,1029.63,1107.07,1169.57,1168.33,1190.16
2022-01-01,1017.51,1093.61,1155.33,1153.64,1174.73
2022-01-02,1007.06,1082.41,1143.52,1141.99,1163.08
2022-01-03,998.133,1072.98,1133.66,1132.2,1153.11
2022-01-04,992.387,1066.85,1127.13,1125.7,1146.49
2022-01-05,980.32,1054.24,1113.78,1112.37,1132.94
2022-01-06,972.087,1045.37,1104.48,1102.9,1123.03
2022-01-07,967.13,1040.05,1098.85,1097.17,1116.95
2022-01-08,958.224,1030.92,1089.23,1087.59,1107.34
2022-01-09,948.389,1020.2,1078.12,1076.35,1095.38
2022-01-10,935.157,1006.37,1063.7,1061.77,1080.31
2022-01-11,926.701,997.003,1053.98,1051.64,1069.09
2022-01-12,917.273,987.022,1043.35,1041.07,1058.45
2022-01-13,911.299,980.821,1036.69,1034.39,1051.66
2022-01-14,900.439,969.341,1024.52,1022.15,1039.03
2022-01-15,892.506,960.808,1015.49,1013.01,1029.61
2022-01-16,885.049,952.78,1007.2,1004.51,1020.59
2022-01-17,876.215,943.496,997.331,994.573,1010.52
2022-01-18,867.572,934.447,987.902,985.117,1000.84
2022-01-19,859.45,925.611,978.442,975.455,990.743
2022-01-20,849.234,914.777,967.127,964.095,979.087
2022-01-21,838.195,903.235,954.55,951.575,966.688
2022-01-22,828.737,893.26,944.252,941.2,955.986
2022-01-23,821.452,885.44,936.069,932.906,947.398
2022-01-24,810.295,873.642,923.692,920.541,934.743
2022-01-25,800.102,863.188,912.596,909.599,923.933
2022-01-26,792.746,855.58,904.413,901.456,915.902
2022-01-27,781.061,843.433,891.56,888.758,903.295
2022-01-28,772.323,834.204,881.946,879.123,893.286
2022-01-29,765.198,826.685,874.011,871.192,885.206
2022-01-30,759.875,820.92,867.9,864.827,878.338
2022-01-31,752.635,813.433,860.056,856.99,870.449
2022-02-01,748.406,808.79,855.165,852.012,865.147
2022-02-02,742.138,802.15,848.124,845.023,858.138
2022-02-03,734.994,794.673,840.387,837.257,850.238
2022-02-04,726.505,785.811,831.298,828.226,841.146
2022-02-05,719.897,778.597,823.544,820.479,833.267
2022-02-06,713,771.339,815.604,812.727,825.719
2022-02-07,704.7,762.493,805.695,802.93,816.237
2022-02-08,691.418,748.381,790.679,787.971,801.354
2022-02-09,680.308,736.555,777.882,775.37,789.015
2022-02-10,671.298,726.987,767.745,765.181,778.689
2022-02-11,662.895,718.126,758.363,755.985,769.531
2022-02-12,654.322,709.147,748.825,746.61,760.239
2022-02-13,646.109,700.375,739.33,737.16,750.701
2022-02-14,633.289,686.735,724.807,722.718,736.245
2022-02-15,620.591,673.191,710.736,708.856,722.195
2022-02-16,611.134,662.886,699.764,697.858,711.041
2022-02-17,597.139,647.672,683.397,681.498,694.543
2022-02-18,584.794,634.329,669.258,667.288,680.041
2022-02-19,570.767,619.495,653.4,651.422,663.987
2022-02-20,559.508,607.382,640.537,638.669,651.193
2022-02-21,548.638,595.796,628.19,626.479,638.979
2022-02-22,539.324,585.649,617.362,615.64,627.905
2022-02-23,532.353,578.44,609.563,607.955,620.415
2022-02-24,526.139,571.729,602.703,601.169,613.453
2022-02-25,520.005,565.309,595.846,594.428,606.724
2022-02-26,513.19,558.078,587.971,586.693,599.085
2022-02-27,505.942,550.374,579.67,578.342,590.695
2022-02-28,493.432,537.271,565.357,564.159,576.986
2022-03-01,484.001,527.138,554.535,553.269,565.821
2022-03-02,474.947,517.478,544.208,543.058,555.575
2022-03-03,463.346,504.924,530.75,529.369,541.458
2022-03-04,451.093,491.568,516.519,514.995,526.67
2022-03-05,444.115,484.034,508.708,507.128,518.402
2022-03-06,434.832,474.211,498.452,497.03,508.086
2022-03-07,422.792,461.318,484.651,483.221,494.312
2022-03-08,415.316,453.06,475.981,474.39,484.971
2022-03-09,408.883,446.141,468.753,467.17,477.507
2022-03-10,401.565,438.286,460.427,458.771,468.901
2022-03-11,392.322,428.091,449.758,447.919,457.576
2022-03-12,384.945,420.122,441.454,439.609,449.029
2022-03-13,379.29,413.879,434.723,432.889,442.141
2022-03-14,368.479,402.227,422.333,420.524,429.564
2022-03-15,356.945,389.93,409.08,407.295,416.117
2022-03-16,347.527,379.844,398.454,396.759,405.402
2022-03-17,337.89,369.466,387.549,385.895,394.214
2022-03-18,329.616,360.514,378.421,376.703,384.525
2022-03-19,324.795,355.418,372.993,371.299,379.188
2022-03-20,321.586,351.829,369.236,367.439,375.002
2022-03-21,315.354,345.216,362.339,360.574,368.212
2022-03-22,309.191,338.577,355.306,353.599,361.194
2022-03-23,300.543,329.21,345.19,343.334,350.436
2022-03-24,292.472,320.47,335.987,334.284,341.228
2022-03-25,281.175,308.957,323.635,322.298,329.813
2022-03-26,273.358,300.745,315.106,313.906,321.39
2022-03-27,267.667,294.737,308.87,307.696,315.227
2022-03-28,261.051,287.757,301.462,300.434,308.088
2022-03-29,254.995,281.22,294.658,293.512,301.013
2022-03-30,249.817,275.563,288.686,287.489,294.819
2022-03-31,245.527,270.733,283.597,282.264,289.365
2022-04-01,239.783,264.355,277.002,275.55,282.328
2022-04-02,235.167,259.26,271.744,270.146,276.599
2022-04-03,230.987,254.469,266.704,265.11,271.346
2022-04-04,225.413,248.215,260.196,258.552,264.53
2022-04-05,222.955,245.344,257.222,255.433,261.147
2022-04-06,219.81,241.805,253.513,251.624,257.163
2022-04-07,214.394,236.021,247.429,245.588,251.051
2022-04-08,207.179,228.243,239.367,237.466,242.716
2022-04-09,202.146,222.766,233.627,231.767,236.939
2022-04-10,198.623,218.881,229.702,227.849,232.865
2022-04-11,195.088,214.982,225.626,223.815,228.746
2022-04-12,191.504,210.991,221.439,219.541,224.218
2022-04-13,184.691,203.795,213.628,211.699,216.387
2022-04-14,176.98,195.322,204.626,202.758,207.244
2022-04-15,172.204,190.289,199.289,197.575,202.195
2022-04-16,170.083,188.015,196.989,195.236,199.712
2022-04-17,165.683,183.059,191.957,190.096,194.31
2022-04-18,160.506,177.483,186.148,184.309,188.516
2022-04-19,156.54,173.203,181.634,179.816,184.001
2022-04-20,151.976,168.108,176.318,174.396,178.29
2022-04-21,147.74,163.592,171.568,169.63,173.5
2022-04-22,142.89,158.306,166.144,164.242,167.917
2022-04-23,139.856,154.952,162.618,160.605,164.053
2022-04-24,136.025,150.726,158.176,156.061,159.349
2022-04-25,131.47,145.871,153.179,151.124,154.473
2022-04-26,129.051,143.287,150.549,148.535,151.89
2022-04-27,126.503,140.561,147.753,145.746,149.009
2022-04-28,125.334,139.264,146.399,144.371,147.621
2022-04-29,122.401,136.024,143,140.979,144.125
2022-04-30,119.151,132.41,139.189,137.15,140.228
2022-05-01,116.211,129.074,135.639,133.503,136.297
2022-05-02,113.645,126.378,132.792,130.839,133.828
2022-05-03,111.045,123.365,129.657,127.675,130.504
2022-05-04,107.099,118.888,124.792,122.936,125.891
2022-05-05,104.881,116.308,122.19,120.381,123.181
2022-05-06,101.56,112.713,118.367,116.619,119.521
2022-05-07,99.4927,110.34,115.85,114.13,116.956
2022-05-08,97.5843,108.223,113.579,111.896,114.769
2022-05-09,95.9162,106.323,111.627,109.95,112.761
2022-05-10,92.9982,103.134,108.403,106.787,109.476
2022-05-11,91.3489,101.316,106.626,105.046,107.649
2022-05-12,90.2606,100.055,105.332,103.791,106.317
2022-05-13,89.1309,98.7493,103.939,102.453,104.982
2022-05-14,87.5252,96.9314,102.175,100.806,103.298
2022-05-15,86.3083,95.5789,100.696,99.3764,101.855
2022-05-16,84.9429,94.0275,99.0251,97.7281,100.177
2022-05-17,80.4203,88.8688,93.8373,92.5915,94.6817
2022-05-18,75.147,82.7707,87.2755,86.1715,88.1691
2022-05-19,70.5694,77.6582,81.9004,80.8641,82.7633
2022-05-20,66.8243,73.5708,77.9163,76.9508,78.5732
2022-05-21,63.6311,70.0035,74.0672,73.145,74.7695
2022-05-22,60.4851,66.5864,70.334,69.6295,71.4602
2022-05-23,58.2214,64.0767,67.7592,67.0892,68.7783
2022-05-24,55.1172,60.5439,64.0344,63.4457,64.8133
2022-05-25,54.4641,59.7281,63.2156,62.5737,63.8325
2022-05-26,52.8607,57.9428,61.3746,60.753,61.9597
2022-05-27,49.3486,54.1053,57.4259,56.872,57.9376
2022-05-28,46.6172,50.9992,54.2035,53.7003,54.6216
2022-05-29,43.6823,47.7292,50.7428,50.3277,51.2465
2022-05-30,40.8532,44.6544,47.4392,47.1005,48.1977
2022-05-31,39.9684,43.6731,46.3442,46.0132,47.1296
2022-06-01,36.6808,40.0841,42.7189,42.5449,43.5653
2022-06-02,34.2735,37.4936,39.9525,39.904,41.0189
2022-06-03,32.9336,36.0181,38.432,38.4267,39.501
2022-06-04,32.1842,35.1903,37.5613,37.585,38.6758
2022-06-05,29.4947,32.2833,34.4524,34.6135,35.7769
2022-06-06,27.1615,29.5164,31.5558,31.7549,32.7504
2022-06-07,25.2246,27.3408,29.2863,29.5215,30.4269
2022-06-08,24.2371,26.2072,28.0919,28.2781,29.0555
2022-06-09,23.1999,25.1809,27.0059,27.2349,28.103
2022-06-10,22.2797,24.1616,26.0089,26.2644,27.1173
2022-06-11,21.6613,23.6075,25.4846,25.7631,26.6386
2022-06-12,20.8827,22.8007,24.6531,24.913,25.8324
2022-06-13,20.5015,22.3778,24.2327,24.4586,25.3358
2022-06-14,19.8881,21.6957,23.559,23.7371,24.5369
2022-06-15,19.0736,20.8177,22.5863,22.7646,23.6171
2022-06-16,17.809,19.4501,21.0949,21.3006,22.2423
2022-06-17,17.2082,18.771,20.488,20.6892,21.4447
2022-06-18,16.2817,17.7129,19.4762,19.7286,20.3914
2022-06-19,14.2196,15.4507,17.0226,17.3077,17.945
2022-06-20,13.8541,14.9769,16.4683,16.7317,17.3451
2022-06-21,13.718,14.8132,16.2673,16.5148,17.1013
2022-06-22,13.6991,14.7867,16.2476,16.4895,17.0662
2022-06-23,13.6795,14.767,16.2172,16.4516,17.0355
2022-06-24,13.6154,14.6403,16.0744,16.2696,16.8012
2022-06-25,13.3474,14.3356,15.7291,15.8993,16.3735
2022-06-26,12.5765,13.495,14.8428,15.0155,15.4415
