Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999","13000-13999"
2021-10-01,428.351,570.707,703.404,854.203,938.203,981.946,998.188,976.526,996.449,1030.92,1039.29,1016.97,999.664,936.935
2021-10-02,427.961,570.283,702.95,853.721,937.701,981.449,997.716,976.088,996.014,1030.47,1038.8,1016.41,999.086,936.375
2021-10-03,427.744,569.923,702.461,853.079,936.976,980.71,997.029,975.44,995.325,1029.72,1037.91,1015.32,997.842,935.073
2021-10-04,427.532,569.618,702.113,852.655,936.466,980.143,996.422,974.821,994.643,1028.99,1037.16,1014.57,997.103,934.372
2021-10-05,426.961,568.861,701.147,851.408,935.032,978.605,994.875,973.335,993.138,1027.43,1035.6,1013.11,995.716,933.123
2021-10-06,425.593,567.134,699.07,848.822,932.155,975.612,991.961,970.459,990.232,1024.46,1032.59,1010.16,992.874,930.526
2021-10-07,424.943,566.193,697.955,847.491,930.697,974.141,990.539,969.093,988.795,1022.94,1031.04,1008.71,991.511,929.365
2021-10-08,424.708,565.69,697.216,846.516,929.628,973.048,989.511,968.12,987.775,1021.85,1029.83,1007.36,990.083,928.012
2021-10-09,424.626,565.635,697.164,846.458,929.564,972.977,989.44,968.038,987.676,1021.73,1029.68,1007.18,989.873,927.782
2021-10-10,424.399,565.35,696.753,845.906,928.917,972.296,988.78,967.374,987.003,1021.03,1028.93,1006.35,989.011,926.954
2021-10-11,424.265,565.098,696.362,845.235,928.038,971.351,987.844,966.486,986.1,1020.1,1027.96,1005.37,988.012,925.933
2021-10-12,423.636,564.493,695.684,844.309,926.921,970.188,986.714,965.312,984.848,1018.75,1026.49,1003.77,986.381,924.387
2021-10-13,423.206,564.071,695.231,843.767,926.319,969.568,986.099,964.698,984.186,1018.02,1025.71,1002.93,985.497,923.489
2021-10-14,423.099,563.975,695.153,843.708,926.268,969.52,986.058,964.655,984.136,1017.96,1025.63,1002.81,985.351,923.309
2021-10-15,421.813,561.812,692.061,839.701,922.016,965.24,982.066,960.869,980.403,1014.21,1022.02,999.207,981.665,919.59
2021-10-16,421.763,561.733,691.96,839.571,921.864,965.076,981.893,960.688,980.203,1013.99,1021.79,998.969,981.403,919.291
2021-10-17,421.692,561.593,691.754,839.287,921.559,964.719,981.515,960.314,979.797,1013.56,1021.33,998.512,980.928,918.768
2021-10-18,421.086,560.663,690.488,837.488,919.425,962.408,979.182,958.104,977.505,1011.1,1018.63,995.754,978.195,916.304
2021-10-19,420.625,559.871,689.324,835.819,917.467,960.247,976.969,956.116,975.611,1009.23,1016.79,994.11,976.659,914.955
2021-10-20,420.359,559.46,688.743,835.038,916.576,959.356,976.164,955.386,974.866,1008.45,1015.94,993.276,975.859,914.243
2021-10-21,419.544,558.424,687.538,833.605,914.978,957.628,974.378,953.575,973.036,1006.59,1014.03,991.409,974.087,912.677
2021-10-22,419.116,557.773,686.661,832.373,913.494,956.042,972.807,952.079,971.559,1005.11,1012.54,989.922,972.606,911.331
2021-10-23,418.338,556.888,685.687,831.246,912.262,954.801,971.61,950.923,970.364,1003.85,1011.13,988.288,970.867,909.617
2021-10-24,418.005,556.372,684.96,830.172,911.016,953.472,970.311,949.741,969.236,1002.72,1009.99,987.193,969.782,908.573
2021-10-25,417.654,555.74,684.118,829.1,909.801,952.218,969.068,948.648,968.124,1001.55,1008.79,986.192,968.887,907.803
