Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999"
2021-10-01,543.449,722.729,939.126,1049.09,1111.31,1181.77,1274.06,1339.52,1393.4,1379.93,1335.42,1282.19
2021-10-02,543.239,722.485,938.818,1048.72,1110.92,1181.39,1273.67,1339.17,1393.1,1379.69,1335.24,1282.03
2021-10-03,542.823,721.901,938.046,1047.86,1109.99,1180.33,1272.48,1337.95,1391.87,1378.42,1333.94,1280.74
2021-10-04,542.589,721.672,937.666,1047.27,1109.26,1179.6,1271.72,1337.1,1390.89,1377.34,1332.77,1279.57
2021-10-05,542.062,720.951,936.437,1045.64,1107.4,1177.63,1269.74,1335.17,1389.1,1375.68,1331.21,1278.08
2021-10-06,540.82,718.777,933.908,1043.03,1104.75,1174.88,1266.82,1332.11,1385.84,1372.28,1327.71,1274.55
2021-10-07,540.308,718.095,932.783,1041.64,1103.21,1173.19,1264.98,1330.21,1383.87,1370.26,1325.7,1272.57
2021-10-08,539.873,717.374,931.792,1040.47,1101.98,1171.99,1263.86,1329.16,1382.9,1369.29,1324.72,1271.54
2021-10-09,539.762,717.282,931.626,1040.22,1101.65,1171.59,1263.4,1328.63,1382.22,1368.49,1323.78,1270.57
2021-10-10,539.637,717.108,931.359,1039.87,1101.19,1170.98,1262.63,1327.79,1381.33,1367.47,1322.6,1269.31
2021-10-11,538.84,716.163,930.375,1038.89,1100.17,1169.92,1261.47,1326.53,1379.94,1365.92,1320.87,1267.56
2021-10-12,537.604,714.73,928.668,1036.88,1097.87,1167.42,1258.79,1323.82,1377.24,1363.15,1317.99,1264.66
2021-10-13,537.005,714.379,928.367,1036.52,1097.42,1166.78,1257.9,1322.8,1376.13,1361.95,1316.68,1263.29
2021-10-14,536.688,714.162,928.227,1036.37,1097.24,1166.61,1257.72,1322.6,1375.89,1361.69,1316.39,1262.98
2021-10-15,535.44,712.642,926.132,1033.74,1094.25,1163.43,1254.47,1319.43,1372.77,1358.76,1313.63,1260.3
2021-10-16,535.242,712.253,925.427,1032.67,1092.89,1161.97,1252.97,1318.06,1371.52,1357.68,1312.73,1259.44
2021-10-17,535.008,711.555,923.975,1030.83,1091.01,1160,1250.87,1315.86,1369.17,1355.26,1310.28,1257.04
2021-10-18,533.436,709.477,921.303,1027.35,1086.72,1155.48,1246.39,1311.43,1364.73,1350.85,1305.89,1252.68
2021-10-19,532.936,708.664,919.877,1025.37,1084.29,1152.62,1243.27,1308.24,1361.46,1347.5,1302.45,1249.27
2021-10-20,532.723,708.337,919.41,1024.66,1083.32,1151.45,1241.94,1306.78,1359.89,1345.84,1300.65,1247.44
2021-10-21,532.091,707.353,917.933,1022.93,1081.36,1149.4,1239.77,1304.47,1357.48,1343.43,1298.2,1245.02
2021-10-22,531.378,706.139,916.38,1021.17,1079.47,1147.39,1237.73,1302.51,1355.51,1341.35,1295.94,1242.69
2021-10-23,530.635,705.424,915.535,1019.98,1077.86,1145.5,1235.64,1300.33,1353.31,1339.15,1293.69,1240.4
2021-10-24,529.773,704.169,913.758,1017.99,1075.76,1143.22,1233.1,1297.83,1350.92,1336.88,1291.54,1238.3
2021-10-25,527.675,701.364,910.301,1013.9,1070.97,1138.29,1228.26,1293.24,1346.67,1333.05,1288,1234.86
2021-10-26,523.761,696.353,903.578,1005.82,1061.92,1128.2,1217.38,1282.24,1335.85,1322.76,1278.14,1225.23
2021-10-27,521.225,692.965,899.482,1001.3,1057.14,1123.16,1212.14,1277.04,1330.68,1317.65,1273.05,1220.13
2021-10-28,519.21,690.639,896.736,998.416,1054.1,1119.91,1208.7,1273.45,1327,1313.86,1269.11,1216.12
2021-10-29,518.02,688.694,894.045,994.938,1050.01,1115.56,1204.26,1269.08,1322.61,1309.56,1264.95,1212.1
2021-10-30,516.125,686.253,891.144,991.686,1046.45,1111.61,1199.96,1264.59,1317.94,1304.63,1259.7,1206.75
2021-10-31,514.131,683.906,888.483,988.52,1042.66,1107.45,1195.63,1260.2,1313.57,1300.41,1255.56,1202.67
2021-11-01,512.262,681.865,885.771,985.326,1039.17,1103.71,1191.51,1255.81,1309.04,1295.74,1250.66,1197.73
2021-11-02,510.857,680.239,883.721,982.947,1036.61,1100.98,1188.5,1252.59,1305.72,1292.51,1247.53,1194.68
2021-11-03,510.17,678.902,881.651,980.38,1033.73,1097.98,1185.19,1249.12,1302.23,1289.13,1244.26,1191.5
2021-11-04,509.209,677.537,879.699,978.181,1031.43,1095.45,1182.32,1246,1298.95,1285.87,1241.02,1188.26
2021-11-05,508.174,676.22,878.207,976.518,1029.64,1093.62,1180.4,1243.99,1296.87,1283.88,1239.15,1186.45
2021-11-06,508.069,676.059,877.865,976.019,1029.02,1092.84,1179.4,1242.87,1295.67,1282.65,1237.89,1185.22
2021-11-07,507.696,675.222,876.377,974.104,1026.89,1090.62,1177.1,1240.54,1293.3,1280.33,1235.66,1183.03
2021-11-08,507.302,674.334,875.193,972.809,1025.56,1089.28,1175.79,1239.22,1291.97,1278.99,1234.34,1181.74
2021-11-09,505.394,670.975,870.551,967.469,1019.96,1083.68,1170.17,1233.56,1286.13,1273.1,1228.51,1176.04
2021-11-10,502.821,667.222,865.758,962.143,1014.37,1077.86,1163.97,1227.03,1279.27,1265.98,1221.16,1168.7
2021-11-11,501.056,664.726,862.487,958.47,1010.37,1073.47,1159.03,1221.8,1273.86,1260.5,1215.72,1163.36
2021-11-12,497.801,660.921,858.6,954.254,1005.52,1068.13,1153.18,1215.67,1267.73,1254.61,1210.05,1157.76
2021-11-13,496.128,659.571,856.844,952.326,1003.65,1066.17,1151.01,1213.41,1265.47,1252.42,1207.94,1155.69
2021-11-14,493.648,656.361,852.979,948.117,999.244,1061.51,1145.89,1208.06,1260.13,1247.56,1203.78,1151.88
2021-11-15,490.531,652.305,847.258,941.092,991.607,1053.41,1137.33,1199.24,1251.33,1239.19,1195.92,1144.33
2021-11-16,490.086,651.904,846.738,940.521,991.004,1052.73,1136.42,1198.09,1249.95,1237.74,1194.41,1142.81
2021-11-17,488.79,650.065,844.355,937.973,988.353,1049.95,1133.38,1194.87,1246.6,1234.32,1191.01,1139.52
2021-11-18,485.415,644.881,837.385,929.868,979.802,1041.32,1124.88,1186.54,1238.5,1226.76,1184.09,1132.97
2021-11-19,481.663,640.352,831.618,923.186,972.693,1033.88,1116.88,1178.09,1229.77,1217.67,1174.76,1123.72
2021-11-20,480.023,638.162,828.493,919.498,968.732,1029.46,1111.76,1172.41,1223.6,1211.44,1168.57,1117.59
2021-11-21,477.296,635.077,825.155,915.943,964.968,1025.56,1107.66,1168.2,1219.32,1207.04,1164.11,1113.29
2021-11-22,474.942,632.002,821.301,911.767,960.769,1021.25,1103.05,1163.43,1214.51,1202.28,1159.48,1108.8
2021-11-23,472.799,628.742,816.7,906.471,955.194,1015.45,1097,1157.23,1208.32,1196.26,1153.7,1103.24
2021-11-24,470.915,626.063,813.352,902.65,950.965,1010.67,1091.23,1150.76,1201.64,1189.75,1147.45,1097.2
2021-11-25,467.923,622.016,808.318,896.759,944.485,1003.81,1083.94,1143.18,1193.8,1182.01,1140.03,1090.09
2021-11-26,465.143,618.585,803.582,891.247,938.691,997.638,1077.26,1136.21,1186.7,1174.8,1132.63,1082.67
2021-11-27,463.072,615.549,799.635,886.666,933.777,992.481,1071.67,1130.23,1180.55,1168.79,1126.73,1076.85
2021-11-28,459.785,611.726,795.392,882.197,929.075,987.645,1066.34,1124.39,1174.44,1162.75,1120.76,1071
