Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999"
2021-10-01,508.535,689.957,896.175,969.558,1017.03,1086.96,1137.41,1225.82,1246.11,1218.83,1124.37,1015.18,980.063
2021-10-02,508.267,689.676,895.879,969.223,1016.63,1086.57,1137.06,1225.51,1245.83,1218.56,1124.09,1014.84,979.694
2021-10-03,507.805,689.103,895.192,968.47,1015.83,1085.7,1136.14,1224.54,1244.77,1217.41,1122.95,1013.78,978.681
2021-10-04,507.673,688.889,894.794,967.88,1015.09,1084.95,1135.36,1223.73,1243.89,1216.46,1122.01,1012.89,977.817
2021-10-05,507.329,688.202,893.47,966.06,1013.04,1082.8,1133.22,1221.64,1241.93,1214.61,1120.26,1011.19,976.13
2021-10-06,505.926,686.196,891.111,963.563,1010.49,1080.2,1130.67,1219.11,1239.34,1211.91,1117.66,1008.81,973.823
2021-10-07,505.519,685.612,890.078,962.155,1008.75,1078.35,1128.81,1217.26,1237.46,1209.99,1115.84,1007.19,972.304
2021-10-08,505.142,685.028,889.311,961.322,1007.95,1077.53,1128.02,1216.44,1236.6,1209.14,1114.97,1006.23,971.296
2021-10-09,505.082,684.928,889.066,960.906,1007.42,1076.92,1127.42,1215.84,1236.01,1208.52,1114.39,1005.77,970.861
2021-10-10,505.023,684.805,888.894,960.683,1007.13,1076.58,1127.03,1215.4,1235.47,1207.89,1113.76,1005.15,970.223
2021-10-11,504.5,684.064,888.12,959.844,1006.08,1075.37,1125.81,1214.11,1234.12,1206.45,1112.43,1004.05,969.15
2021-10-12,503.427,682.752,886.542,958.1,1004.22,1073.35,1123.76,1212.04,1232.08,1204.38,1110.56,1002.47,967.592
2021-10-13,503.097,682.453,886.235,957.731,1003.79,1072.87,1123.22,1211.44,1231.35,1203.52,1109.63,1001.45,966.532
2021-10-14,502.74,682.126,885.874,957.314,1003.32,1072.5,1122.88,1211.15,1231.12,1203.3,1109.41,1001.24,966.331
