Date,"2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999"
2021-10-01,1105.98,1272.89,1465.04,1567.52,1606.05,1670.63,1470.14
2021-10-02,1105.69,1272.49,1464.47,1566.86,1605.33,1669.81,1469.46
2021-10-03,1104.98,1271.74,1463.62,1565.92,1604.33,1668.77,1468.53
2021-10-04,1104.7,1271.45,1463.28,1565.54,1603.92,1668.32,1468.08
2021-10-05,1103.03,1269.52,1460.95,1562.97,1601.08,1665.05,1465.46
2021-10-06,1101.58,1267.97,1459.21,1561.05,1598.99,1662.79,1463.37
2021-10-07,1101.06,1267.43,1458.58,1560.29,1598.1,1661.76,1462.46
2021-10-08,1100.17,1266.42,1457.35,1558.91,1596.61,1660.1,1460.84
2021-10-09,1100.03,1266.26,1457.13,1558.65,1596.31,1659.77,1460.49
2021-10-10,1099.07,1265.07,1455.64,1557,1594.56,1657.86,1459.15
2021-10-11,1097.53,1263.4,1453.74,1554.94,1592.4,1655.58,1457.36
2021-10-12,1095.85,1261.41,1451.3,1552.19,1589.31,1651.98,1454.04
2021-10-13,1095.62,1261.14,1450.92,1551.72,1588.75,1651.27,1453.27
2021-10-14,1094.82,1260.39,1450.17,1550.91,1587.85,1650.3,1452.27
2021-10-15,1091.75,1256.48,1445.24,1545.46,1581.89,1643.41,1446.13
2021-10-16,1090.75,1255.27,1443.72,1543.76,1580.12,1641.59,1444.58
2021-10-17,1089.35,1253.5,1441.49,1541.3,1577.49,1638.63,1442.01
2021-10-18,1088.02,1252.03,1439.75,1539.38,1575.39,1636.29,1439.88
2021-10-19,1087.18,1251.05,1438.46,1537.89,1573.81,1634.68,1438.21
2021-10-20,1085.17,1248.93,1436.1,1535.33,1571,1631.49,1435.01
2021-10-21,1082.07,1245.08,1431.21,1529.94,1565.31,1625.34,1429.71
2021-10-22,1079.9,1242.55,1428.2,1526.67,1561.88,1621.66,1426.37
2021-10-23,1075.96,1237.75,1422.18,1520,1554.8,1613.99,1419.84
2021-10-24,1072.15,1233.38,1416.92,1514.12,1548.32,1606.59,1413.08
2021-10-25,1066.21,1227.08,1410.02,1506.8,1540.6,1598.28,1405.65
2021-10-26,1062.19,1222.42,1404.46,1500.73,1534.15,1591.26,1399.16
2021-10-27,1058.59,1217.9,1398.61,1494.21,1527.13,1583.47,1392.74
2021-10-28,1057.08,1216,1396.14,1491.42,1524.05,1579.89,1389.74
2021-10-29,1052.56,1210.38,1389.08,1483.66,1515.68,1570.41,1381.82
2021-10-30,1048.06,1204.81,1382.12,1475.96,1507.39,1561.12,1374.24
2021-10-31,1043.28,1199.01,1374.9,1468.02,1498.94,1551.9,1366.79
