Date,"5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,648.015,881.394,1130.56,1177.38,1089.11,1185.48
2021-10-02,647.594,880.992,1130.13,1176.93,1088.6,1184.96
2021-10-03,646.847,879.99,1128.84,1175.63,1087.54,1183.82
2021-10-04,645.893,878.92,1127.6,1174.41,1086.64,1182.9
2021-10-05,644.664,877.387,1125.73,1172.67,1085.26,1181.39
2021-10-06,643.107,875.263,1122.98,1170.06,1083.37,1179.29
2021-10-07,641.682,873.666,1121.13,1168.07,1081.44,1177.14
2021-10-08,640.931,872.846,1120.1,1166.99,1080.45,1176.06
2021-10-09,640.584,872.284,1119.37,1166.23,1079.78,1175.26
2021-10-10,639.933,871.557,1118.53,1165.39,1079.01,1174.44
2021-10-11,639.563,870.795,1117.42,1164.34,1078.29,1173.55
2021-10-12,638.7,869.404,1115.38,1162.41,1077.06,1172.2
2021-10-13,638.083,868.551,1114.37,1161.41,1076.35,1171.48
2021-10-14,637.986,868.395,1114.13,1161.14,1076.06,1171.11
2021-10-15,636.137,866.126,1111.43,1158.33,1073.18,1167.79
2021-10-16,635.036,864.844,1109.77,1156.87,1072.44,1167.05
2021-10-17,633.985,863.308,1107.87,1155.12,1071.23,1165.75
2021-10-18,631.685,860.465,1104.44,1151.7,1068.17,1162.44
2021-10-19,630.203,858.326,1101.66,1149.02,1066.32,1160.44
2021-10-20,629.858,857.757,1100.91,1148.3,1065.83,1159.92
2021-10-21,628.068,855.708,1098.36,1145.69,1063.38,1157.21
2021-10-22,627.079,854.437,1096.71,1144.13,1062.33,1156.11
2021-10-23,626.437,853.136,1094.83,1142.36,1061.28,1154.92
2021-10-24,624.915,851.021,1092.04,1139.8,1059.57,1153
2021-10-25,622.681,848.027,1088.3,1136.35,1057.17,1150.46
2021-10-26,615.853,839.828,1078.6,1127.12,1049.85,1142.7
2021-10-27,612.221,835.587,1073.78,1122.55,1045.98,1138.55
2021-10-28,610.918,833.704,1071.36,1120.02,1043.6,1135.76
2021-10-29,608.233,830.471,1067.48,1116.33,1040.66,1132.7
2021-10-30,606.005,827.415,1063.66,1112.57,1037.43,1129.08
2021-10-31,603.829,824.705,1060.2,1109.16,1034.61,1125.96
2021-11-01,601.598,821.599,1056.33,1105.55,1032.06,1123.19
2021-11-02,600.108,819.328,1053.31,1102.61,1029.85,1120.9
2021-11-03,597.949,816.176,1049.35,1098.76,1026.78,1117.57
2021-11-04,596.426,813.869,1046.29,1095.5,1023.62,1114.03
2021-11-05,595.31,812.343,1044.24,1093.36,1021.57,1111.79
2021-11-06,594.814,811.431,1042.94,1092.13,1020.86,1110.97
2021-11-07,593.81,810.041,1041.09,1090.21,1019.08,1108.97
2021-11-08,593.204,808.827,1039.21,1088.39,1017.88,1107.61
2021-11-09,590.888,805.744,1035.29,1084.31,1013.75,1102.9
2021-11-10,588.163,801.805,1030.09,1079.23,1009.82,1098.77
2021-11-11,585.744,798.407,1025.64,1074.6,1005.3,1093.57
2021-11-12,582.229,793.815,1020.13,1069.05,1000.19,1088.09
2021-11-13,581.54,792.242,1017.71,1066.53,998.092,1085.69
2021-11-14,578.817,788.812,1013.61,1062.4,994.376,1081.68
2021-11-15,574.527,782.895,1006.35,1055.22,988.141,1074.91
2021-11-16,574.163,781.939,1004.9,1053.68,986.696,1073.22
2021-11-17,572.293,779.342,1001.46,1050.06,983.031,1069.07
2021-11-18,567.799,773.907,995.086,1043.69,977.16,1062.88
2021-11-19,563.037,767.58,987.236,1035.71,969.848,1055
2021-11-20,560.692,764.007,982.587,1030.83,965.281,1049.81
2021-11-21,558.611,760.719,978.058,1026.19,961.012,1044.96
2021-11-22,556.272,757.386,973.604,1021.72,957.307,1040.99
2021-11-23,552.506,752.551,967.689,1015.94,952.353,1035.66
2021-11-24,549.153,747.481,960.988,1009.38,947.053,1029.88
2021-11-25,544.259,741.163,953.39,1001.64,939.763,1021.95
2021-11-26,540.675,736.276,947.498,995.468,933.489,1015.02
2021-11-27,536.985,731.74,941.999,989.642,927.535,1008.54
2021-11-28,534.667,728.363,937.668,985.105,922.955,1003.43
2021-11-29,531.608,723.858,931.728,978.906,917.248,997.124
2021-11-30,529,720.556,927.334,974.153,912.303,991.509
2021-12-01,525.161,715.235,920.442,967.143,906.011,984.561
2021-12-02,521.644,710.271,914.055,960.435,899.748,977.833
