Date,"7000-7999","8000-8999","9000-9999","10000-10999","11000-11999"
2021-10-01,664.245,858.886,1057.39,1100.75,1045.43
2021-10-02,664.129,858.769,1057.25,1100.61,1045.3
2021-10-03,663.037,857.649,1056.07,1099.4,1044.09
2021-10-04,662.248,856.758,1055.04,1098.33,1043.07
2021-10-05,661.532,855.825,1053.85,1097.09,1041.89
2021-10-06,658.833,852.83,1050.52,1093.67,1038.53
2021-10-07,657.244,851.109,1048.61,1091.68,1036.6
2021-10-08,656.599,850.371,1047.77,1090.82,1035.74
2021-10-09,656.003,849.635,1046.9,1089.92,1034.89
2021-10-10,655.324,848.837,1045.95,1088.93,1033.97
2021-10-11,654.283,847.611,1044.49,1087.45,1032.62
2021-10-12,653.026,845.968,1042.37,1085.23,1030.59
2021-10-13,652.086,844.898,1041.17,1083.98,1029.35
2021-10-14,651.843,844.644,1040.9,1083.69,1029.08
2021-10-15,649.532,842.092,1038.11,1080.82,1026.2
2021-10-16,648.833,841.366,1037.31,1079.99,1025.39
2021-10-17,647.887,840.059,1035.58,1078.21,1023.83
2021-10-18,645.586,837.272,1032.18,1074.69,1020.56
2021-10-19,643.803,835.055,1029.44,1071.85,1017.91
2021-10-20,643.201,834.185,1028.23,1070.59,1016.84
2021-10-21,641.986,832.659,1026.31,1068.62,1015.06
2021-10-22,640.863,831.276,1024.6,1066.86,1013.45
2021-10-23,639.806,829.951,1022.94,1065.14,1011.89
2021-10-24,639.284,829.088,1021.63,1063.77,1010.75
2021-10-25,637.841,827.109,1018.99,1061,1008.25
2021-10-26,632.764,820.75,1011.15,1052.88,1000.68
2021-10-27,629.003,816.62,1006.49,1048.06,996.017
2021-10-28,626.502,813.829,1003.28,1044.74,992.859
2021-10-29,625.192,811.909,1000.56,1041.9,990.437
2021-10-30,622.376,808.49,996.363,1037.56,986.428
2021-10-31,620.184,805.761,993.022,1034.1,983.176
2021-11-01,617.873,802.702,989.104,1030,979.35
2021-11-02,616.577,800.873,986.703,1027.45,976.924
2021-11-03,614.911,798.743,984.046,1024.63,974.208
2021-11-04,612.882,796.405,981.34,1021.84,971.558
2021-11-05,611.817,795.098,979.763,1020.2,969.967
2021-11-06,610.994,794.157,978.684,1019.12,968.986
2021-11-07,609.991,792.797,976.969,1017.34,967.329
2021-11-08,609.398,791.992,975.914,1016.22,966.272
2021-11-09,606.745,788.461,971.434,1011.51,961.835
2021-11-10,602.662,783.453,965.341,1005.12,955.702
2021-11-11,599.967,780.079,961.205,1000.81,951.654
2021-11-12,596.852,776.302,956.706,996.126,947.167
2021-11-13,595.609,774.827,954.955,994.302,945.414
2021-11-14,593.43,772.198,951.824,991.026,942.227
2021-11-15,588.981,766.748,945.333,984.284,935.682
2021-11-16,588.207,765.718,944.038,982.936,934.423
2021-11-17,586.635,763.67,941.471,980.269,931.945
2021-11-18,582.921,759.125,935.999,974.558,926.425
2021-11-19,577.674,752.722,928.374,966.635,918.82
2021-11-20,574.383,748.665,923.479,961.603,914.164
2021-11-21,572.412,745.983,920.04,958.005,910.793
2021-11-22,570.11,743.023,916.376,954.182,907.181
2021-11-23,567.28,739.383,911.858,949.443,902.672
2021-11-24,564.957,736.104,907.47,944.827,898.427
2021-11-25,561.94,731.898,901.973,939.055,893.039
2021-11-26,557.371,726.437,895.598,932.423,886.584
2021-11-27,554.493,722.794,891.106,927.778,882.303
2021-11-28,551.482,718.94,886.321,922.761,877.541
2021-11-29,547.711,714.208,880.538,916.766,871.921
2021-11-30,544.763,710.254,875.53,911.508,866.948
2021-12-01,540.417,704.501,868.317,904.047,860.037
2021-12-02,537.166,700.086,862.748,898.224,854.518
2021-12-03,532.848,694.485,855.877,891.052,847.578
2021-12-04,528.48,689.215,849.631,884.568,841.36
2021-12-05,526.045,685.894,845.438,880.185,837.171
2021-12-06,525.189,684.749,843.936,878.599,835.697
2021-12-07,522.639,681.507,839.936,874.444,831.76
2021-12-08,519.626,677.129,834.184,868.403,826.103
2021-12-09,515.457,671.549,827.187,861.11,819.173
2021-12-10,513.969,669.198,823.864,857.588,815.991
2021-12-11,512.218,666.341,819.884,853.354,812.079
2021-12-12,507.851,660.785,813.068,846.263,805.34
2021-12-13,503.504,655.108,806.06,838.946,798.287
2021-12-14,499.194,649.531,799.127,831.688,791.349
2021-12-15,495.284,644.481,792.901,825.208,785.155
2021-12-16,491.986,640.043,787.245,819.351,779.771
2021-12-17,487.911,634.843,780.869,812.729,773.494
2021-12-18,484.682,631.067,776.573,808.292,769.104
2021-12-19,481.511,626.992,771.6,803.114,764.154
2021-12-20,478.199,622.592,766.131,797.386,758.645
2021-12-21,474.38,617.38,759.524,790.482,752.141
2021-12-22,471.051,613.015,754.049,784.77,746.747
2021-12-23,466.605,606.949,746.286,776.666,739.196
2021-12-24,461.155,600.468,738.703,768.752,731.417
2021-12-25,457.541,595.854,732.999,762.784,725.716
2021-12-26,453.311,590.383,726.315,755.853,719.129
2021-12-27,449.641,585.73,720.65,749.964,713.508
2021-12-28,447.997,583.006,716.837,745.938,709.796
2021-12-29,445.917,580.259,713.342,742.246,706.249
2021-12-30,442.042,574.962,706.629,735.221,699.603
2021-12-31,437.012,568.267,698.283,726.487,691.214
2022-01-01,433.412,563.162,691.747,719.643,684.709
2022-01-02,429.788,558.521,686.217,713.91,679.162
2022-01-03,424.674,551.675,677.837,705.206,670.722
2022-01-04,420.095,545.9,670.838,697.983,663.857
2022-01-05,416.91,541.44,665.212,692.146,658.388
2022-01-06,408.935,531.884,654.218,680.817,647.325
2022-01-07,405.135,526.956,648.311,674.71,641.415
2022-01-08,402.487,523.41,643.854,670.095,637.109
2022-01-09,398.942,518.653,638.002,663.983,631.231
2022-01-10,394.398,513,631.284,657.104,624.69
2022-01-11,391.522,509.265,626.678,652.331,620.167
2022-01-12,387.211,503.998,620.496,645.988,614.09
2022-01-13,385.147,501.306,617.182,642.557,610.88
2022-01-14,383.083,498.415,613.473,638.699,607.238
2022-01-15,380.54,495.039,609.329,634.392,603.08
2022-01-16,377.988,491.579,604.961,629.827,598.747
2022-01-17,374.717,487.506,600.048,624.72,593.815
2022-01-18,370.608,481.922,593.114,617.534,586.983
2022-01-19,368.964,479.403,589.699,613.957,583.736
2022-01-20,363.859,472.973,581.935,605.89,575.989
2022-01-21,360.345,468.546,576.617,600.38,570.681
2022-01-22,355.167,462.044,568.804,592.216,562.694
2022-01-23,351.922,458.05,564.014,587.242,557.931
2022-01-24,346.881,451.623,556.232,579.161,550.202
2022-01-25,342.609,445.578,548.523,571.049,542.417
2022-01-26,338.238,439.77,541.327,563.568,535.289
2022-01-27,334.85,435.54,536.216,558.232,530.136
2022-01-28,332.294,431.706,531.118,552.89,525.17
2022-01-29,327.467,425.93,524.48,546.035,518.426
2022-01-30,324.898,422.777,520.762,542.148,514.607
2022-01-31,323.446,420.627,517.887,539.146,511.852
2022-02-01,320.108,416.545,513.066,534.21,507.176
2022-02-02,318.776,414.915,511.086,532.157,505.23
2022-02-03,317.649,413.248,508.841,529.812,503.074
2022-02-04,313.455,408.119,502.72,523.457,496.968
2022-02-05,310.06,404.063,497.973,518.516,492.13
2022-02-06,307.612,400.887,494.039,514.444,488.314
2022-02-07,306.16,398.691,491.076,511.339,485.454
2022-02-08,302.837,394.324,485.501,505.579,480.184
2022-02-09,296.397,386.587,476.279,496.097,471.24
2022-02-10,291.266,380.146,468.335,487.937,463.676
2022-02-11,287.428,375.134,462.046,481.436,457.639
2022-02-12,283.462,369.922,455.508,474.67,451.3
2022-02-13,280.887,366.253,450.662,469.594,446.538
2022-02-14,277.157,361.67,445.145,463.879,441.086
2022-02-15,271.089,354.124,436.042,454.358,431.824
2022-02-16,266.859,348.696,429.281,447.316,425.19
2022-02-17,260.988,341.713,421.117,438.785,416.818
2022-02-18,254.344,334.166,412.48,429.757,407.828
2022-02-19,247.418,325.923,402.836,419.792,398.122
2022-02-20,240.876,318.935,395.267,412.03,390.439
2022-02-21,236.02,313.053,388.149,404.658,383.488
2022-02-22,231.667,307.702,381.605,397.879,377.104
2022-02-23,227.333,302.28,375.044,391.11,370.699
2022-02-24,223.825,297.637,369.182,385.013,364.948
2022-02-25,220.67,293.612,364.204,379.881,360.165
2022-02-26,217.325,289.234,358.882,374.379,354.891
2022-02-27,213.501,284.459,353.144,368.449,349.226
2022-02-28,209.871,279.748,347.182,362.219,343.372
2022-03-01,205.663,274.468,340.763,355.572,336.99
2022-03-02,202.346,270.015,335.341,349.967,331.736
2022-03-03,197.723,263.663,327.526,341.832,323.997
2022-03-04,193.192,257.135,319.286,333.235,315.894
2022-03-05,188.776,251.138,311.93,325.603,308.674
2022-03-06,185.149,246.136,305.755,319.192,302.636
2022-03-07,180.92,240.57,299.015,312.234,296.075
2022-03-08,176.778,235.088,292.315,305.269,289.525
2022-03-09,173.856,230.775,286.912,299.615,284.202
2022-03-10,172.12,228.179,283.552,296.09,280.959
2022-03-11,169.074,224.372,279.133,291.529,276.533
2022-03-12,165.441,219.809,273.751,285.896,271.041
2022-03-13,163.558,217.253,270.593,282.589,267.916
2022-03-14,161.464,214.446,267.065,278.922,264.539
2022-03-15,158.659,210.322,261.8,273.341,259.212
2022-03-16,156.213,206.428,256.598,267.85,254.098
2022-03-17,153.785,202.875,251.999,263.041,249.653
2022-03-18,150.208,198.036,246.053,256.852,243.786
2022-03-19,148.21,195.284,242.665,253.331,240.424
2022-03-20,145.672,191.776,238.341,248.814,236.144
2022-03-21,143.771,188.878,234.487,244.813,232.509
2022-03-22,140.593,184.589,229.206,239.368,227.47
2022-03-23,137.63,180.641,224.311,234.309,222.753
2022-03-24,133.439,175.424,218.156,227.929,216.584
2022-03-25,130.188,170.633,212.081,221.513,210.436
2022-03-26,126.597,165.658,205.839,214.99,204.322
2022-03-27,123.75,161.651,200.772,209.699,199.393
2022-03-28,121.289,158.076,196.227,204.895,194.87
2022-03-29,118.886,154.577,191.725,200.205,190.579
2022-03-30,116.37,151.084,187.448,195.724,186.247
2022-03-31,115.038,149.07,184.841,193.008,183.767
2022-04-01,112.938,146.083,181.075,189.1,180.155
2022-04-02,109.889,142.237,176.387,184.156,175.336
2022-04-03,108.258,139.938,173.458,181.053,172.338
