Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999"
2021-10-01,927.235,1111.86,1416.14,1630.97,1708.38,1770.38,1768.29,1703.94,1681.84
2021-10-02,926.91,1111.48,1415.62,1630.29,1707.6,1769.46,1767.38,1703.15,1681.27
2021-10-03,926.627,1111.02,1414.79,1629.05,1706.13,1767.71,1765.52,1701.34,1679.43
2021-10-04,926.149,1110.58,1414.16,1628.1,1704.99,1766.45,1764.11,1699.84,1677.71
2021-10-05,925.276,1109.29,1412.33,1625.91,1702.73,1764.08,1761.61,1697.29,1675.11
2021-10-06,923.608,1107.28,1409.84,1623.26,1699.93,1761.08,1758.31,1693.73,1671.25
2021-10-07,923.23,1106.69,1408.93,1622.15,1698.72,1759.72,1756.66,1691.73,1668.8
2021-10-08,922.169,1105.43,1407.39,1620.42,1696.87,1757.73,1754.61,1689.77,1666.99
2021-10-09,922.015,1105.34,1407.26,1620.14,1696.4,1756.91,1753.43,1688.62,1665.87
2021-10-10,920.976,1103.93,1405.55,1618.43,1694.79,1755.51,1752.34,1687.62,1664.87
2021-10-11,919.653,1102.38,1403.75,1616.57,1692.91,1753.52,1750.24,1685.61,1662.86
2021-10-12,917.097,1099.49,1400.4,1612.78,1689.07,1749.75,1746.5,1681.92,1659.21
2021-10-13,916.494,1098.83,1399.54,1611.78,1688.07,1748.72,1745.43,1680.73,1657.77
2021-10-14,915.818,1098.25,1398.8,1611,1687.44,1748.26,1745.12,1680.43,1657.39
2021-10-15,914.386,1096.52,1396.47,1608.1,1684.26,1744.86,1741.67,1677.05,1654.01
2021-10-16,912.954,1094.56,1393.91,1605.25,1681.3,1741.81,1738.64,1674.17,1651.24
2021-10-17,911.832,1093.27,1392.25,1603.24,1678.95,1739.18,1735.8,1671.31,1648.41
2021-10-18,910.22,1091.23,1389.61,1600.06,1675.59,1735.57,1732,1667.23,1644.04
2021-10-19,909.46,1090.14,1387.89,1597.87,1673.15,1732.81,1728.85,1663.73,1639.89
2021-10-20,908.596,1089.29,1386.89,1596.74,1672.02,1731.67,1727.67,1662.52,1638.63
2021-10-21,907.181,1087.29,1384.04,1593.39,1668.51,1727.93,1723.79,1658.8,1635.07
2021-10-22,905.643,1085.41,1381.49,1590.41,1665.51,1724.97,1720.9,1656,1632.24
2021-10-23,903.899,1083.4,1378.93,1587.41,1662.28,1721.47,1717.23,1652.41,1628.71
2021-10-24,901.849,1080.82,1375.15,1582.81,1657.47,1716.52,1712.36,1647.78,1624.18
2021-10-25,896.934,1074.93,1367.86,1574.95,1649.74,1709.15,1705.49,1641.35,1618.16
2021-10-26,889.078,1065.96,1357.21,1562.91,1636.94,1695.69,1691.5,1627.42,1604.53
2021-10-27,885.098,1061.02,1350.82,1555.76,1629.62,1688.21,1684.13,1620.52,1598.17
2021-10-28,883.613,1059.59,1349.04,1553.54,1627.29,1685.76,1681.46,1617.57,1594.74
2021-10-29,880.372,1055.64,1344.12,1548.03,1621.55,1679.85,1675.44,1611.64,1588.98
2021-10-30,878,1052.54,1339.69,1542.59,1615.78,1673.78,1669.26,1605.67,1583.2
2021-10-31,874.437,1048.73,1334.83,1536.91,1610,1668.02,1663.63,1600.25,1577.81
2021-11-01,871.597,1045.63,1330.69,1531.85,1604.61,1662.41,1657.9,1594.47,1571.87
2021-11-02,868.734,1042.46,1326.85,1527.52,1600.13,1657.75,1653.13,1589.79,1567.14
2021-11-03,866.353,1039.11,1322.3,1522.25,1594.56,1651.63,1646.68,1583.64,1561.21
2021-11-04,864.164,1036.37,1318.73,1518.08,1590.33,1647.39,1642.62,1579.72,1556.98
2021-11-05,862.376,1033.94,1315.6,1514.54,1586.6,1643.5,1638.88,1576.35,1553.91
2021-11-06,861.589,1033.01,1314.35,1513.01,1584.91,1641.51,1636.69,1574.27,1551.7
2021-11-07,859.396,1030.51,1311.35,1509.89,1581.83,1638.32,1633.53,1571.36,1549
2021-11-08,857.016,1027.82,1307.9,1505.96,1577.74,1633.91,1629.13,1567.35,1545.29
2021-11-09,853.06,1022.93,1301.31,1498.19,1569.8,1626.07,1622.02,1561.12,1539.45
