Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-01-01,568.056,90.444,331.392,52.763,1045.933,166.531,628.071,TNL
2024-01-01,248.33,84.031,131.052,44.346,525.435,177.798,295.524,SDT
2024-01-01,374.772,99.221,257.412,68.15,604.845,160.133,377.714,MSS
2024-01-01,862.597,87.398,672.157,68.103,1375.661,139.381,986.976,PSH
2024-01-01,1504.236,87.171,1084.191,62.829,2804.254,162.507,1725.619,SIS
2024-01-01,2073.141,86.426,1302.375,54.294,4027.211,167.889,2398.738,SBB
2024-01-01,1302.973,78.233,637.652,38.286,3155.01,189.433,1665.5,FTO
2024-01-01,811.078,83.342,364.662,37.471,1851.682,190.269,973.19,YRS
2024-01-01,1099.156,89.882,560.174,45.808,2496.403,204.141,1222.881,AMF
2024-01-01,81.911,63.815,35.384,27.567,327.238,254.943,128.357,CSN
2024-01-01,376.203,80.85,195.672,42.052,877.638,188.614,465.31,MKM
2024-01-01,563.234,81.373,284.433,41.093,1356.06,195.915,692.167,SNS
2024-01-01,998.751,82.115,485.421,39.91,2243.046,184.418,1216.286,TLG
2024-01-01,509.676,80.974,213.695,33.951,1180.94,187.621,629.429,MRC
2024-01-01,878.038,70.908,452.572,36.548,2068.001,167.005,1238.286,SJF
2024-01-01,886.778,72.47,442.419,36.156,2011.608,164.395,1223.643,KGF
2024-01-01,204.018,72.249,94.463,33.452,528.512,187.163,282.381,KWT
2024-01-01,44.561,74.092,15.038,25.004,134.787,224.112,60.143,SCC
2024-01-01,260.087,57.192,121.786,26.78,814.858,179.183,454.762,KRI
2024-01-01,218.489,86.449,86.656,34.287,388.938,153.89,252.738,TRF
2024-01-01,43.692,80.839,20.937,38.738,100.938,186.758,54.048,WFC
2024-01-01,127.307,67.794,70.754,37.678,310.58,165.391,187.786,EFC
2024-01-01,115.449,71.995,62.391,38.907,219.588,136.937,160.357,WWR
2024-01-01,29.01,46.504,10.002,16.034,103.135,165.331,62.381,EWR
2024-01-08,602.077,95.861,397.914,63.355,1058.347,168.507,628.071,TNL
2024-01-08,248.217,83.992,145.913,49.375,529.362,179.127,295.524,SDT
2024-01-08,400.026,105.907,277.731,73.529,773.01,204.655,377.714,MSS
2024-01-08,981.65,99.46,719.063,72.855,1530.192,155.038,986.976,PSH
2024-01-08,1580.946,91.616,1198.979,69.481,2897.24,167.896,1725.619,SIS
2024-01-08,2142.315,89.31,1633.922,68.116,4176.8,174.125,2398.738,SBB
2024-01-08,1529.082,91.809,855.983,51.395,3513.799,210.976,1665.5,FTO
2024-01-08,1130.124,116.126,645.915,66.371,2136.151,219.5,973.19,YRS
2024-01-08,1553.688,127.051,877.683,71.772,2886.166,236.014,1222.881,AMF
2024-01-08,121.518,94.672,47.952,37.358,334.259,260.413,128.357,CSN
2024-01-08,456.258,98.055,280.051,60.186,889.649,191.195,465.31,MKM
2024-01-08,665.945,96.212,382.509,55.263,1396.061,201.694,692.167,SNS
2024-01-08,1276.719,104.969,717.402,58.983,2249.025,184.909,1216.286,TLG
2024-01-08,599.313,95.215,271.367,43.113,1194.25,189.736,629.429,MRC
2024-01-08,1055.08,85.205,535.362,43.234,1989.549,160.67,1238.286,SJF
2024-01-08,985.514,80.539,488.436,39.917,1940.579,158.59,1223.643,KGF
2024-01-08,220.145,77.96,98.802,34.989,548.038,194.078,282.381,KWT
2024-01-08,45.011,74.841,18.418,30.624,136.081,226.264,60.143,SCC
2024-01-08,316.68,69.637,146.886,32.299,831.129,182.761,454.762,KRI
2024-01-08,220.831,87.375,132.413,52.391,469.515,185.771,252.738,TRF
2024-01-08,47.864,88.558,30.066,55.628,121.372,224.565,54.048,WFC
2024-01-08,156.777,83.487,79.704,42.444,323.232,172.128,187.786,EFC
2024-01-08,128.968,80.425,68.355,42.627,272.444,169.898,160.357,WWR
2024-01-08,37.009,59.328,10.66,17.088,113.477,181.909,62.381,EWR
2024-01-15,525.671,83.696,279.766,44.544,1034.277,164.675,628.071,TNL
2024-01-15,239.463,81.03,127.854,43.263,517.671,175.171,295.524,SDT
2024-01-15,324.271,85.851,236.762,62.683,534.205,141.431,377.714,MSS
2024-01-15,804.841,81.546,612.426,62.051,1301.337,131.851,986.976,PSH
2024-01-15,1367.501,79.247,822.95,47.69,2544.36,147.446,1725.619,SIS
2024-01-15,1906.447,79.477,1142.835,47.643,3744.155,156.089,2398.738,SBB
2024-01-15,1294.729,77.738,650.424,39.053,3045.487,182.857,1665.5,FTO
2024-01-15,788.088,80.98,377.491,38.789,1777.044,182.6,973.19,YRS
