Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-01-01,446.695,71.129,265.624,42.297,833.959,132.795,628.003,TNL
2024-01-01,176.559,59.767,115.952,39.251,438.071,148.291,295.413,SDT
2024-01-01,420.761,111.391,329.937,87.346,719.178,190.393,377.734,MSS
2024-01-01,858.607,86.982,695.763,70.485,1383.985,140.206,987.109,PSH
2024-01-01,1152.08,66.766,862.287,49.972,1901.527,110.199,1725.54,SIS
2024-01-01,2049.961,85.464,1306.484,54.468,3847.028,160.385,2398.615,SBB
2024-01-01,1454.903,87.357,817.789,49.102,3153.162,189.325,1665.475,FTO
2024-01-01,710.74,73.027,375.495,38.582,1672.913,171.889,973.251,YRS
2024-01-01,953.332,77.964,425.751,34.818,2249.351,183.954,1222.78,AMF
2024-01-01,74.451,58.008,29.635,23.09,273.258,212.905,128.347,CSN
2024-01-01,348.109,74.817,197.129,42.368,668.612,143.7,465.282,MKM
2024-01-01,459.847,66.442,237.924,34.377,946.634,136.777,692.103,SNS
2024-01-01,701.57,57.679,429.043,35.273,1491.017,122.582,1216.343,TLG
2024-01-01,331.672,52.702,200.838,31.913,772.789,122.794,629.337,MRC
2024-01-01,725.359,58.575,455.597,36.791,1536.708,124.093,1238.349,SJF
2024-01-01,692.917,56.626,415.152,33.926,1432.06,117.029,1223.681,KGF
2024-01-01,162.341,57.5,93.955,33.278,351.068,124.345,282.333,KWT
2024-01-01,35.306,58.593,10.597,17.586,107.051,177.661,60.256,SCC
2024-01-01,273.063,60.056,173.77,38.218,548.737,120.685,454.684,KRI
2024-01-01,184.233,72.859,87.687,34.678,423.135,167.339,252.861,TRF
2024-01-01,39.338,72.856,25.938,48.038,71.983,133.315,53.995,WFC
2024-01-01,125.685,66.933,80.694,42.974,249.281,132.755,187.776,EFC
2024-01-01,110.06,68.697,71.126,44.395,186.176,116.207,160.211,WWR
2024-01-01,33.978,54.503,14.103,22.622,95.654,153.439,62.34,EWR
2024-01-08,475.081,75.649,295.452,47.046,843.578,134.327,628.003,TNL
2024-01-08,182.347,61.726,122.985,41.631,393.648,133.253,295.413,SDT
2024-01-08,463.433,122.688,340.582,90.165,768.221,203.376,377.734,MSS
2024-01-08,970.768,98.345,732.033,74.159,1533.967,155.4,987.109,PSH
2024-01-08,1194.024,69.197,966.693,56.023,2014.707,116.758,1725.54,SIS
2024-01-08,2261.698,94.292,1526.613,63.646,4046.053,168.683,2398.615,SBB
2024-01-08,1777.765,106.742,1043.527,62.656,3574.769,214.64,1665.475,FTO
2024-01-08,926.647,95.212,505.392,51.928,1888.105,194.0,973.251,YRS
2024-01-08,1189.919,97.313,657.073,53.736,2431.494,198.85,1222.78,AMF
2024-01-08,94.363,73.522,40.661,31.68,288.163,224.518,128.347,CSN
2024-01-08,411.296,88.397,258.523,55.563,756.618,162.615,465.282,MKM
2024-01-08,548.719,79.283,280.257,40.494,1081.467,156.258,692.103,SNS
2024-01-08,843.354,69.335,506.833,41.669,1680.851,138.189,1216.343,TLG
2024-01-08,414.236,65.821,243.847,38.747,832.58,132.295,629.337,MRC
