Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,655.475,145.261,145.261,145.261,451.238
2023-05-16,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,844.984,184.561,184.561,184.561,457.833
2023-06-16,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,477.751,194.773,194.773,194.773,245.286
2023-07-16,326.691,325.167,325.363,325.716,324.990,327.070,326.983,327.080,327.283,327.680,326.175,328.249,326.175,330.589,325.510,326.652,325.167,328.056,326.555,326.438,327.747,325.294,325.637,328.662,327.283,326.194,327.206,327.515,327.264,327.080,325.745,326.983,325.608,327.089,326.808,328.075,326.107,325.696,327.060,327.786,326.341,326.642,328.056,326.808,325.363,478.748,476.926,474.817,68.524
2023-08-16,47.984,46.920,45.661,46.241,45.499,46.295,46.625,46.004,44.962,46.570,46.625,46.791,47.664,47.683,45.841,46.168,46.442,46.809,46.533,46.680,45.141,46.241,46.222,45.968,48.572,46.077,46.041,46.368,46.077,45.337,46.497,45.427,45.553,46.241,46.004,47.571,47.198,46.204,45.859,46.350,46.222,46.259,47.571,46.241,45.499,292.527,284.350,279.787,16.262
2023-09-16,26.004,26.011,26.011,26.009,26.003,26.010,26.011,26.010,26.013,26.016,26.007,26.013,26.003,26.759,26.010,26.015,26.010,26.014,26.011,26.012,26.012,26.007,26.011,26.015,26.007,26.014,26.017,26.017,26.014,26.016,26.013,26.016,26.012,26.011,26.013,26.007,26.000,26.013,26.015,26.017,26.011,26.015,26.016,26.012,26.007,211.759,211.725,211.686,12.286
2023-10-16,50.344,48.513,49.147,106.026,50.761,49.743,49.867,50.033,45.965,45.609,50.719,45.909,50.344,50.178,49.209,45.721,49.024,45.825,49.455,49.147,49.311,50.136,45.984,45.731,49.455,104.467,45.571,45.533,47.915,45.731,109.495,169.778,50.157,49.065,49.250,49.578,50.219,138.436,45.750,45.486,49.434,45.712,104.467,49.311,45.712,388.283,183.280,169.903,26.905
2023-11-16,143.543,85.681,651.493,291.596,683.019,170.953,143.428,85.991,85.716,99.435,152.624,85.655,99.435,85.999,85.884,135.140,85.664,145.106,85.950,85.860,85.931,132.404,123.692,143.810,85.824,150.939,85.556,85.610,85.770,134.471,144.573,329.301,85.911,85.946,85.716,85.927,89.000,318.535,154.228,85.745,85.716,85.628,291.596,89.000,85.664,342.383,104.501,100.583,85.167
2023-12-16,152.019,96.132,1116.387,876.340,941.455,550.534,190.460,98.196,146.004,154.664,173.177,95.175,126.329,152.008,100.697,212.319,146.287,715.233,152.012,176.766,113.238,146.459,187.223,169.689,146.742,157.819,214.780,98.733,121.980,135.005,146.237,648.809,97.974,603.076,95.366,198.922,152.005,870.335,200.997,146.311,150.405,95.813,715.233,152.012,97.974,326.377,69.366,44.708,219.143
2023-07-31,326.691,325.167,325.363,325.716,324.990,327.070,326.983,327.080,327.283,327.680,326.175,328.249,326.175,330.589,325.510,326.652,325.167,328.056,326.555,326.438,327.747,325.294,325.637,328.662,327.283,326.194,327.206,327.515,327.264,327.080,325.745,326.983,325.608,327.089,326.808,328.075,326.107,325.696,327.060,327.786,326.341,326.642,2306.266,2305.018,2303.573,188.593,188.491,188.373,1222.881
