Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,117.105,177.945,177.945,177.945,65.810
2023-05-16,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,81.248,193.777,193.777,193.777,41.929
2023-06-16,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,29.815,185.516,185.516,185.516,16.071
2023-07-16,7.341,7.341,7.341,7.341,7.341,7.525,7.341,7.525,7.341,7.161,7.341,7.341,7.341,8.000,7.341,7.161,7.341,7.161,7.341,7.161,7.341,7.341,7.341,7.341,7.341,7.341,7.161,7.161,7.341,7.161,7.341,7.161,7.341,7.341,7.161,7.525,7.525,7.341,7.161,7.161,7.161,7.341,7.525,7.341,7.161,165.473,161.422,157.470,4.548
2023-08-16,3.001,3.000,3.001,3.000,3.001,3.001,3.001,3.001,3.001,3.000,3.001,3.001,3.001,3.001,3.001,3.000,3.000,3.000,3.001,3.000,3.001,3.001,3.001,3.000,3.001,3.001,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.001,3.000,3.001,3.001,3.001,3.000,3.000,3.000,3.000,3.001,3.001,3.000,157.532,157.527,157.517,1.905
2023-09-16,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,2.001,161.638,161.625,161.617,1.238
2023-10-16,3.001,3.001,3.001,3.660,3.001,3.001,3.001,3.001,3.001,3.001,3.001,3.001,3.000,3.001,3.001,3.001,3.001,3.001,3.001,3.000,3.001,3.001,3.001,3.001,3.001,3.000,3.001,3.001,3.001,3.001,3.000,12.103,3.001,3.001,3.001,3.001,3.001,9.474,3.001,3.001,3.001,3.001,3.001,3.001,3.001,150.058,150.057,150.037,2.000
2023-11-16,5.003,5.001,43.770,45.087,85.177,21.663,5.000,5.002,5.001,5.002,5.003,5.001,5.002,5.002,5.001,5.000,5.000,5.404,5.002,5.001,5.002,5.002,5.002,5.001,5.001,5.004,5.001,5.001,5.001,5.002,5.002,11.710,5.001,5.002,5.001,5.002,5.002,22.365,11.073,5.002,5.000,5.001,21.663,5.002,5.001,248.594,57.398,57.386,8.714
2023-12-16,14.071,5.000,98.542,144.827,193.138,21.115,18.929,5.000,5.157,5.882,14.002,5.000,5.447,17.076,5.279,19.975,5.927,141.671,14.085,8.811,5.197,7.590,21.233,18.348,14.080,18.706,39.590,5.076,5.000,5.076,5.927,93.865,5.000,71.392,5.001,19.060,17.115,88.258,10.028,6.068,8.576,5.000,93.865,14.002,5.000,308.234,45.979,16.421,30.452
2023-07-31,7.341,7.341,7.341,7.341,7.341,7.525,7.341,7.525,7.341,7.161,7.341,7.341,7.341,8.000,7.341,7.161,7.341,7.161,7.341,7.161,7.341,7.341,7.341,7.341,7.341,7.341,7.161,7.161,7.341,7.161,7.341,7.161,7.341,7.341,7.161,7.525,7.525,7.341,7.161,7.161,7.161,7.341,235.693,235.509,235.329,183.623,183.479,183.339,128.357
