Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,102.916,270.154,270.154,270.154,38.095
2023-05-16,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,202.813,290.722,290.722,290.722,69.762
2023-06-16,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,161.675,286.634,286.634,286.634,56.405
2023-07-16,49.153,49.125,49.090,49.118,49.097,49.223,49.139,49.160,49.132,49.104,49.104,49.510,49.153,49.284,49.104,49.090,49.132,49.257,49.132,49.125,49.132,49.083,49.167,49.146,49.139,49.111,49.111,49.139,49.139,49.216,49.111,49.118,49.111,49.111,49.418,49.271,49.237,49.090,49.111,49.153,49.125,49.118,49.257,49.132,49.097,209.393,208.862,208.711,23.524
2023-08-16,16.922,16.319,16.131,16.335,16.460,17.028,16.413,16.568,16.210,16.115,16.210,17.746,16.799,16.891,16.319,16.068,16.335,16.676,16.475,16.475,16.241,16.210,16.397,16.163,16.676,16.131,16.052,16.210,16.115,16.491,16.163,16.319,16.335,16.099,16.413,17.598,16.769,16.099,16.147,16.413,16.366,16.304,16.891,16.335,16.115,190.707,184.428,181.947,8.857
2023-09-16,9.457,8.962,7.703,9.061,12.740,9.618,9.708,9.169,7.987,8.162,9.025,9.959,9.762,9.618,8.341,7.592,8.462,9.277,9.187,9.205,9.007,9.007,8.341,7.987,9.797,7.987,7.703,8.401,7.759,8.584,8.462,7.987,8.646,9.025,9.061,12.001,9.169,7.592,8.834,8.834,8.771,8.584,9.762,8.962,7.759,177.484,162.946,141.067,5.500
2023-10-16,7.003,7.000,6.000,12.438,11.025,7.003,11.057,7.009,6.000,6.000,8.539,7.008,7.008,7.005,6.000,6.000,6.000,7.003,7.003,9.000,7.003,7.000,6.000,6.000,7.009,6.000,6.000,6.000,6.000,6.000,8.012,11.453,7.002,7.001,6.722,8.069,7.002,11.051,7.007,6.000,6.000,6.000,11.025,7.002,6.000,203.991,129.556,111.015,5.405
2023-11-16,6.037,5.000,16.183,29.511,16.140,9.015,9.674,6.034,4.002,4.001,9.106,5.002,6.036,6.003,5.000,6.033,4.000,6.002,5.003,7.001,5.003,5.764,4.002,6.002,5.002,6.004,4.002,4.474,4.000,6.036,9.016,16.584,6.034,5.000,5.000,6.027,6.003,22.902,9.169,4.002,4.002,4.002,16.140,6.003,4.002,255.811,95.140,63.424,6.310
2023-12-16,8.006,5.000,34.837,20.001,28.414,12.811,9.000,5.014,5.001,4.005,11.597,5.002,8.759,5.157,4.000,6.004,4.004,17.965,5.000,9.000,5.222,5.001,5.000,6.002,5.002,11.020,8.291,5.001,4.001,8.480,7.001,23.322,5.222,14.947,4.006,5.173,8.320,30.266,19.243,4.005,4.006,4.003,20.001,6.002,4.005,236.629,71.013,47.383,8.452
2023-07-31,49.153,49.125,49.090,49.118,49.097,49.223,49.139,49.160,49.132,49.104,49.104,49.510,49.153,49.284,49.104,49.090,49.132,49.257,49.132,49.125,49.132,49.083,49.167,49.146,49.139,49.111,49.111,49.139,49.139,49.216,49.111,49.118,49.111,49.111,49.418,49.271,49.237,49.090,49.111,49.153,49.125,49.118,516.661,516.536,516.501,275.133,275.067,275.048,187.786
