Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,41.012,514.180,514.180,514.180,7.976
2023-05-16,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,68.135,428.394,428.394,428.394,15.905
2023-06-16,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,77.165,332.063,332.063,332.063,23.238
2023-07-16,48.385,48.363,48.300,48.397,48.272,48.917,48.758,48.531,48.526,48.526,48.357,49.673,48.368,49.052,48.340,48.447,48.458,49.245,48.526,48.554,48.637,48.334,48.559,48.703,48.548,48.430,48.520,48.692,48.615,48.570,48.481,48.542,48.391,48.509,48.503,49.266,48.419,48.334,48.520,48.791,48.486,48.481,48.917,48.520,48.340,320.516,317.916,316.737,15.262
2023-08-16,13.475,13.375,13.243,13.482,13.629,13.798,13.678,13.436,13.186,13.320,13.382,14.094,13.375,13.769,13.429,13.143,13.355,13.757,13.553,13.534,13.313,13.368,13.553,13.272,13.610,13.257,13.135,13.449,13.172,13.243,13.229,13.179,13.449,13.361,13.157,14.270,13.691,13.257,13.243,13.489,13.515,13.272,13.757,13.382,13.179,207.837,202.172,199.107,6.619
2023-09-16,9.031,9.031,9.007,9.028,9.489,9.015,9.013,9.026,9.011,9.028,9.029,9.010,9.031,9.007,9.020,8.849,9.021,9.024,9.030,9.031,9.031,9.028,9.026,9.025,9.009,9.028,9.014,9.025,9.031,9.007,9.026,9.011,9.028,9.003,9.018,9.431,9.030,9.002,9.028,9.025,9.026,9.014,9.031,9.026,9.007,202.831,202.720,202.286,4.452
2023-10-16,7.001,7.005,7.001,8.656,9.346,7.007,10.698,7.007,7.001,7.001,8.736,7.008,7.000,7.009,7.001,7.001,7.001,7.003,7.000,8.458,7.005,7.009,7.001,7.001,7.008,7.001,7.001,7.001,7.006,7.001,7.000,7.000,7.007,7.008,7.001,8.264,7.000,7.001,7.009,7.001,7.001,7.001,8.458,7.001,7.000,173.289,143.441,143.421,4.881
2023-11-16,6.000,7.004,7.004,16.617,10.395,7.818,13.300,7.004,6.000,6.000,9.884,6.315,6.000,7.002,6.000,7.003,5.000,6.000,6.000,9.739,6.000,7.004,6.000,6.001,6.000,6.914,5.000,6.000,7.215,6.001,7.003,16.190,7.081,6.000,6.000,7.351,7.004,9.755,7.003,6.000,6.000,5.000,9.884,6.914,6.000,185.321,129.629,112.500,5.333
2023-12-16,6.001,6.000,13.005,19.402,12.059,7.080,12.201,6.004,6.001,4.000,8.963,6.004,6.002,6.001,4.100,7.001,4.000,13.005,6.004,8.651,6.000,6.000,6.003,6.002,6.004,6.684,5.000,6.001,7.001,6.004,7.001,16.143,6.790,6.684,6.003,7.001,6.790,20.048,7.246,6.000,4.001,4.000,13.005,6.004,4.100,226.637,104.635,71.445,5.738
2023-07-31,48.385,48.363,48.300,48.397,48.272,48.917,48.758,48.531,48.526,48.526,48.357,49.673,48.368,49.052,48.340,48.447,48.458,49.245,48.526,48.554,48.637,48.334,48.559,48.703,48.548,48.430,48.520,48.692,48.615,48.570,48.481,48.542,48.391,48.509,48.503,49.266,48.419,48.334,48.520,48.791,48.486,48.481,235.229,234.832,234.652,377.084,376.448,376.160,62.381
