Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,1237.840,188.606,188.606,188.606,656.310
2023-05-16,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,1273.371,224.779,224.779,224.779,566.500
2023-06-16,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,530.626,177.934,177.934,177.934,298.214
2023-07-16,352.456,352.408,352.398,352.389,352.384,352.485,352.403,352.398,352.428,352.369,352.389,352.447,352.614,352.442,352.418,352.379,352.557,352.505,352.398,352.403,352.471,352.394,352.476,352.350,352.384,352.394,352.374,352.350,352.369,352.350,352.389,352.384,352.394,352.389,352.374,352.389,352.817,352.408,352.350,352.360,352.374,352.384,352.485,352.394,352.360,243.975,243.911,243.888,144.476
2023-08-16,127.621,127.587,127.606,127.587,127.608,127.625,127.610,127.619,127.657,127.589,127.610,127.571,127.736,127.596,127.623,127.555,127.636,127.629,127.596,127.596,127.604,127.590,127.610,127.543,127.573,127.575,127.539,127.541,127.571,127.557,127.596,127.559,127.585,127.596,127.577,127.633,127.683,127.587,127.561,127.537,127.561,127.575,127.633,127.596,127.555,131.806,131.769,131.726,96.833
2023-09-16,110.902,110.691,111.205,110.743,110.981,110.954,111.567,116.275,112.384,110.585,112.475,110.717,114.221,110.849,111.115,110.375,110.954,118.749,110.796,110.770,110.902,110.717,110.875,110.269,110.480,110.559,110.138,110.217,110.559,110.454,110.770,110.401,110.664,110.585,111.657,111.657,112.202,110.664,110.375,110.059,110.875,110.506,112.384,110.770,110.375,130.715,128.838,128.378,85.976
2023-10-16,147.981,126.022,130.886,138.814,129.410,129.364,130.129,154.459,129.287,124.000,151.747,127.077,129.823,129.071,129.256,127.077,127.785,130.961,130.037,129.379,129.348,129.086,128.496,123.740,124.000,129.900,123.708,123.708,129.364,129.425,130.478,151.344,129.885,124.629,129.210,129.225,129.456,148.226,124.976,123.773,129.410,123.902,147.981,129.364,123.902,149.836,130.985,125.456,98.762
2023-11-16,328.510,129.458,1434.325,338.837,700.291,364.200,144.024,189.131,131.996,254.968,330.423,129.698,139.177,139.811,138.180,138.305,129.218,166.185,191.030,152.070,144.024,138.162,151.812,153.620,129.458,156.928,132.841,131.510,138.305,191.532,144.008,329.044,138.431,144.009,130.662,138.198,133.128,332.615,245.445,130.541,130.964,130.059,332.615,144.009,130.059,181.309,78.499,70.895,183.452
2023-12-16,354.277,201.798,1578.898,841.649,1403.927,589.943,351.902,154.127,363.867,353.957,231.156,114.224,120.094,229.165,161.541,272.233,195.909,1334.185,380.991,612.827,154.499,120.100,389.886,625.450,230.627,225.068,631.392,154.420,120.059,144.161,123.005,786.312,120.068,1389.482,113.694,632.934,159.121,1371.196,260.782,123.008,230.949,114.401,1334.185,231.156,120.068,345.197,59.807,31.065,386.500
2023-07-31,352.456,352.408,352.398,352.389,352.384,352.485,352.403,352.398,352.428,352.369,352.389,352.447,352.614,352.442,352.418,352.379,352.557,352.505,352.398,352.403,352.471,352.394,352.476,352.350,352.384,352.394,352.374,352.350,352.369,352.350,352.389,352.384,352.394,352.389,352.374,352.389,352.817,352.408,352.350,352.360,352.374,352.384,3394.322,3394.231,3394.197,203.802,203.796,203.794,1665.500
