Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,422.716,177.239,177.239,177.239,238.500
2023-05-16,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,951.911,220.959,220.959,220.959,430.810
2023-06-16,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,997.593,262.475,262.475,262.475,380.071
2023-07-16,736.644,741.719,722.622,736.868,709.257,776.405,766.297,744.334,722.999,759.922,746.109,769.596,730.521,766.870,713.912,753.672,732.310,770.645,740.531,763.445,742.656,734.925,716.806,779.718,790.805,752.093,791.406,805.065,775.132,767.947,778.082,770.910,720.133,754.176,768.366,783.730,707.886,730.046,773.371,806.533,745.354,746.039,783.730,753.672,720.133,449.743,432.494,413.248,174.262
2023-08-16,126.612,129.218,129.288,128.283,131.616,128.664,124.805,128.776,130.146,127.659,128.917,127.791,129.674,131.144,130.668,130.359,130.986,129.338,129.149,129.872,128.355,130.665,131.314,126.854,128.436,128.365,128.776,127.375,129.295,128.172,128.447,127.686,130.133,129.344,128.542,128.710,128.661,130.285,129.644,128.106,126.715,128.862,130.668,128.862,127.375,242.192,238.843,236.087,53.952
2023-09-16,44.965,44.786,47.325,47.759,47.284,50.800,46.381,45.968,46.574,46.548,44.901,44.848,46.973,47.899,47.321,44.102,46.646,45.086,47.020,46.613,58.379,45.476,47.247,43.753,46.281,45.618,41.820,45.141,44.093,46.273,44.102,44.746,48.666,45.343,46.676,44.191,59.201,45.823,44.188,41.852,47.660,46.513,47.899,46.281,44.102,181.401,175.274,167.021,26.405
2023-10-16,42.548,40.092,40.575,126.643,44.013,42.586,41.203,40.786,40.436,40.411,43.131,40.366,40.917,43.571,40.888,43.785,39.786,38.536,41.018,41.348,43.090,39.517,39.979,38.462,40.300,39.760,36.915,39.718,37.631,40.005,41.013,39.739,42.629,38.835,39.602,39.023,44.970,39.538,37.905,37.083,41.376,39.166,43.571,40.411,38.462,179.938,166.890,158.841,24.214
2023-11-16,57.541,45.092,53.923,144.189,79.309,52.670,58.414,59.132,52.104,45.096,75.684,45.092,45.058,76.183,45.094,113.375,45.025,54.134,45.039,50.687,47.240,45.018,45.095,103.468,45.092,54.612,37.430,45.078,37.793,45.004,93.462,75.389,68.540,45.001,45.049,45.049,67.290,46.724,37.845,45.046,45.093,37.983,79.309,46.724,45.001,255.836,150.722,145.164,31.000
2023-12-16,57.166,43.828,79.712,222.400,177.000,57.852,69.921,54.907,67.378,42.174,68.350,40.889,54.399,69.083,41.963,87.691,39.008,214.775,54.833,54.960,54.143,54.764,54.918,161.501,42.641,67.230,40.370,39.004,39.007,55.889,94.640,173.481,57.244,57.189,39.009,47.061,57.260,85.656,39.042,54.082,40.889,37.462,161.501,54.960,39.009,343.270,116.817,82.914,47.048
2023-07-31,736.644,741.719,722.622,736.868,709.257,776.405,766.297,744.334,722.999,759.922,746.109,769.596,730.521,766.870,713.912,753.672,732.310,770.645,740.531,763.445,742.656,734.925,716.806,779.718,790.805,752.093,791.406,805.065,775.132,767.947,778.082,770.910,720.133,754.176,768.366,783.730,707.886,730.046,773.371,806.533,745.354,746.039,3155.950,3125.892,3092.353,257.914,255.458,252.717,1223.643
