Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.457,311.309,311.309,311.309,100.048
2023-05-16,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,539.365,353.572,353.572,353.572,152.548
2023-06-16,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,428.457,324.882,324.882,324.882,131.881
2023-07-16,231.685,232.366,230.971,231.277,228.734,240.323,236.817,233.107,230.162,234.188,232.742,237.902,231.481,227.308,228.011,233.552,228.950,232.833,233.087,236.057,235.014,232.803,230.449,238.982,239.357,235.315,240.117,238.675,238.616,237.255,238.289,237.693,229.290,235.526,235.987,239.071,227.339,232.041,237.773,241.794,233.704,235.406,239.071,234.188,228.950,340.142,333.195,325.742,70.286
2023-08-16,68.797,70.474,70.367,70.295,70.915,70.845,67.529,70.210,70.461,70.114,70.332,69.532,70.490,70.667,70.659,70.424,70.492,70.598,70.059,70.363,70.151,70.470,70.699,68.515,70.222,70.096,70.019,69.379,69.574,70.340,69.747,69.775,70.618,70.251,70.380,70.075,70.451,70.525,70.138,69.560,70.138,70.080,70.659,70.295,69.532,228.634,227.456,224.988,30.905
2023-09-16,37.027,37.025,37.035,37.004,37.125,39.080,37.003,37.033,37.035,37.047,37.026,37.019,37.035,37.110,37.021,36.922,37.022,37.034,37.002,37.030,37.114,37.020,37.030,36.626,37.033,37.008,36.256,37.034,36.670,37.034,36.461,36.491,37.000,36.767,37.034,36.981,37.114,37.003,36.498,35.981,37.033,37.013,37.110,37.025,36.498,200.851,200.395,197.542,18.476
2023-10-16,34.311,32.066,32.096,47.036,39.445,42.269,32.799,32.380,32.185,33.204,32.006,32.066,32.200,33.727,32.425,31.309,32.770,32.140,32.919,32.964,33.638,32.081,31.485,30.273,32.770,31.441,30.188,32.320,30.273,32.111,30.960,29.935,33.548,30.188,32.185,31.485,34.879,30.830,30.061,29.600,32.170,30.830,34.311,32.170,30.188,191.885,179.915,168.829,17.881
2023-11-16,28.223,25.001,25.001,66.511,40.453,33.319,25.925,25.644,25.000,26.497,25.001,25.001,25.420,27.979,25.365,25.002,25.700,56.588,26.324,26.153,27.140,25.034,25.001,108.131,25.869,25.365,25.003,25.199,25.003,25.532,26.096,25.003,27.377,25.003,25.000,25.002,29.034,25.003,25.003,25.003,25.000,25.003,33.319,25.365,25.001,164.830,125.479,123.678,20.214
2023-12-16,31.169,29.993,29.973,74.823,77.525,33.595,33.169,30.278,30.481,30.665,29.896,29.935,30.155,31.117,30.135,29.761,30.135,109.593,32.427,30.420,30.624,30.012,31.476,65.309,30.380,31.553,29.587,30.074,29.645,30.216,32.551,118.454,30.849,29.606,30.012,30.563,33.571,33.556,29.509,29.857,29.915,29.606,65.309,30.420,29.645,251.879,117.323,114.332,25.929
2023-07-31,231.685,232.366,230.971,231.277,228.734,240.323,236.817,233.107,230.162,234.188,232.742,237.902,231.481,227.308,228.011,233.552,228.950,232.833,233.087,236.057,235.014,232.803,230.449,238.982,239.357,235.315,240.117,238.675,238.616,237.255,238.289,237.693,229.290,235.526,235.987,239.071,227.339,232.041,237.773,241.794,233.704,235.406,1518.350,1513.467,1508.229,333.878,332.804,331.652,454.762
