Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,159.001,229.802,229.802,229.802,69.190
2023-05-16,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.679,247.208,247.208,247.208,100.190
2023-06-16,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,221.444,279.803,279.803,279.803,79.143
2023-07-16,166.356,166.267,163.225,164.155,161.774,173.684,171.536,167.293,164.399,168.725,166.690,172.733,164.732,170.612,161.959,168.478,165.376,170.432,168.120,169.577,170.274,166.668,163.712,174.388,175.757,168.277,174.887,176.899,172.937,174.501,172.597,172.349,162.849,169.645,170.792,174.524,169.129,166.690,171.716,174.933,167.516,169.173,174.524,169.173,163.712,515.471,499.668,483.537,33.857
2023-08-16,23.532,23.344,23.404,23.207,23.654,23.298,23.586,23.414,23.409,23.464,23.449,23.656,23.250,23.224,23.142,23.485,23.188,23.433,23.273,23.452,23.369,23.354,23.180,23.733,23.186,23.526,23.681,23.490,23.622,23.543,23.632,23.629,23.067,23.551,23.422,23.586,23.554,23.455,23.563,23.673,23.401,23.590,23.654,23.455,23.188,240.554,238.527,235.806,9.833
2023-09-16,9.304,9.289,9.622,11.797,12.295,11.085,9.868,10.213,9.698,10.550,9.961,8.775,9.652,11.150,9.915,8.718,9.455,9.334,9.714,10.087,10.893,9.245,9.185,8.405,10.356,8.862,8.349,9.334,8.790,8.993,8.490,8.617,10.811,8.718,9.319,8.632,11.320,8.660,8.646,8.224,9.141,8.790,11.085,9.334,8.617,221.703,186.683,172.350,5.000
2023-10-16,8.741,8.434,8.466,40.136,12.351,9.162,9.024,12.188,8.466,8.688,10.520,8.273,8.477,8.959,8.540,13.452,8.316,8.348,8.803,9.024,8.741,8.969,8.176,8.035,8.741,8.751,8.187,8.455,8.327,8.208,19.128,8.316,15.609,8.089,8.359,8.198,9.024,8.111,8.165,8.741,8.198,8.024,12.351,8.540,8.165,206.665,142.907,136.629,5.976
2023-11-16,11.539,10.008,11.410,54.168,36.634,11.807,11.297,11.635,11.606,11.003,11.576,10.007,11.017,30.750,10.007,12.672,10.002,40.090,11.297,11.216,11.003,11.855,11.155,74.998,11.004,12.518,10.005,10.008,10.008,11.099,33.877,11.003,14.539,10.004,10.008,10.007,11.514,11.083,10.007,11.004,10.003,10.007,33.877,11.155,10.007,346.193,113.989,102.258,9.786
2023-12-16,15.027,11.248,15.882,81.893,62.219,24.370,26.200,15.024,15.506,14.441,15.000,10.002,14.064,19.767,13.083,15.448,10.007,93.942,23.718,15.007,13.000,15.001,23.517,31.493,15.001,18.050,13.000,10.438,13.801,14.938,23.990,69.344,15.006,15.001,10.341,15.024,23.203,24.807,12.883,15.104,13.297,9.001,31.493,15.024,10.438,193.663,92.385,64.184,16.262
2023-07-31,166.356,166.267,163.225,164.155,161.774,173.684,171.536,167.293,164.399,168.725,166.690,172.733,164.732,170.612,161.959,168.478,165.376,170.432,168.120,169.577,170.274,166.668,163.712,174.388,175.757,168.277,174.887,176.899,172.937,174.501,172.597,172.349,162.849,169.645,170.792,174.524,169.129,166.690,171.716,174.933,167.516,169.173,802.648,797.297,791.836,284.243,282.348,280.414,282.381
