Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,206.283,153.126,153.126,153.126,134.714
2023-05-16,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,353.534,193.996,193.996,193.996,182.238
2023-06-16,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,297.252,257.946,257.946,257.946,115.238
2023-07-16,69.571,69.565,69.563,69.563,69.565,69.584,69.560,69.573,69.563,69.558,69.560,69.580,69.571,69.683,69.567,69.554,69.569,69.560,69.563,69.560,69.567,69.560,69.565,69.558,69.556,69.560,69.554,69.558,69.567,69.558,69.556,69.554,69.567,69.556,69.558,69.592,69.598,69.565,69.556,69.554,69.560,69.556,69.580,69.563,69.556,210.089,210.038,210.018,33.119
2023-08-16,17.010,17.012,17.012,17.012,17.012,17.011,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.001,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.011,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.012,17.010,17.011,17.012,17.012,17.011,17.012,17.012,17.012,17.012,17.011,281.306,281.302,281.292,6.048
2023-09-16,6.381,6.001,6.001,6.000,6.354,6.166,6.035,6.300,6.001,6.001,6.000,6.000,6.193,6.746,6.001,6.001,6.001,6.001,6.001,6.001,6.000,6.001,6.001,6.001,6.166,6.001,6.002,6.001,6.001,6.001,6.001,6.001,6.001,6.001,6.001,6.520,6.087,6.001,6.001,6.002,6.001,6.001,6.300,6.001,6.001,169.614,161.573,161.554,3.714
2023-10-16,9.824,8.616,8.742,15.159,12.010,9.824,12.010,10.000,8.616,8.369,11.063,8.870,11.063,10.293,8.827,8.616,8.533,8.658,8.742,8.913,9.097,8.999,9.198,8.574,9.299,9.716,8.410,8.574,8.492,8.492,12.008,69.754,8.956,8.533,8.533,9.932,8.870,35.643,8.700,8.329,8.492,8.410,12.010,8.870,8.492,154.729,114.272,109.403,7.762
2023-11-16,17.107,11.000,70.991,77.149,113.576,46.556,38.908,14.000,11.000,12.875,42.310,12.559,14.000,14.000,11.875,14.000,11.000,27.279,14.000,14.000,12.559,14.000,13.199,18.315,13.532,21.288,12.559,11.159,9.856,14.000,16.001,45.076,14.000,12.251,12.251,14.000,14.000,53.427,27.024,14.000,9.856,11.000,46.556,14.000,11.000,252.630,75.970,59.690,18.429
2023-12-16,27.000,9.001,128.135,157.612,189.063,86.860,31.676,9.001,9.000,12.000,30.046,9.002,16.000,29.031,9.001,31.442,16.859,128.125,13.000,27.000,11.380,12.000,31.824,28.520,19.369,29.019,32.145,9.609,9.001,11.380,16.249,134.355,9.000,102.490,9.002,19.542,29.492,112.439,29.054,12.162,28.189,9.002,128.125,27.000,9.001,340.369,71.728,23.911,37.643
2023-07-31,69.571,69.565,69.563,69.563,69.565,69.584,69.560,69.573,69.563,69.558,69.560,69.580,69.571,69.683,69.567,69.554,69.569,69.560,69.563,69.560,69.567,69.560,69.565,69.558,69.556,69.560,69.554,69.558,69.567,69.558,69.556,69.554,69.567,69.556,69.558,69.592,69.598,69.565,69.556,69.554,69.560,69.556,926.649,926.632,926.625,199.147,199.143,199.142,465.310
