Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,290.066,181.670,181.670,181.670,159.667
2023-05-16,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,529.511,224.618,224.618,224.618,235.738
2023-06-16,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,474.877,281.270,281.270,281.270,168.833
2023-07-16,382.339,384.569,378.763,384.328,374.885,397.066,405.645,395.720,389.813,398.814,391.963,406.168,383.947,419.970,378.502,394.374,388.568,395.358,394.555,393.751,396.664,378.642,375.207,404.018,401.265,390.938,400.602,413.260,401.205,396.544,397.689,398.814,381.656,398.935,395.981,405.766,376.995,381.857,398.131,405.726,391.400,393.108,405.726,395.358,378.642,622.369,606.467,580.825,65.190
2023-08-16,33.627,33.687,33.604,33.697,33.941,33.479,33.492,33.299,33.346,33.500,33.414,33.459,33.723,33.984,33.880,33.355,33.735,33.589,33.595,33.473,33.213,33.864,33.957,32.972,33.498,33.377,33.209,33.027,33.240,33.333,33.286,33.138,33.797,33.013,33.315,33.321,34.130,33.725,33.315,33.040,33.479,33.327,33.880,33.479,33.138,199.015,196.658,194.656,17.024
2023-09-16,14.179,13.734,13.932,13.892,14.716,14.063,13.863,13.990,13.554,13.823,13.438,13.971,14.073,15.129,14.232,13.130,13.659,13.966,13.912,13.789,14.000,14.121,14.554,12.004,13.882,13.418,13.073,12.005,13.005,13.473,13.151,13.083,14.289,13.037,13.295,13.639,15.559,13.724,13.197,12.276,13.729,13.367,14.289,13.789,13.037,185.805,179.296,169.515,7.690
2023-10-16,20.501,20.277,20.365,21.048,20.961,20.506,20.779,20.654,20.139,20.343,20.731,20.422,20.462,20.752,20.412,20.376,20.170,20.370,20.422,20.391,20.386,20.482,20.467,16.081,20.381,20.662,19.264,17.695,20.010,20.095,21.057,20.570,20.812,17.323,20.076,20.299,20.821,20.338,20.056,17.323,20.271,20.030,20.812,20.386,19.264,200.021,195.930,185.142,10.405
2023-11-16,22.018,19.096,61.893,110.557,69.897,22.027,30.527,22.001,20.566,19.938,36.771,19.449,20.386,22.007,19.538,33.138,17.823,52.386,19.983,20.161,19.893,20.027,20.792,32.633,19.361,69.725,17.062,17.344,17.250,20.117,61.856,71.766,23.543,16.969,17.920,19.184,22.002,60.570,19.361,17.062,18.513,16.969,61.893,20.386,17.250,340.696,112.216,94.952,18.167
2023-12-16,30.644,18.076,81.651,176.098,174.357,62.686,76.535,24.647,31.300,19.443,58.560,17.717,24.155,27.138,19.701,62.190,18.076,231.215,24.031,24.713,22.015,22.015,40.214,78.435,24.239,86.131,31.994,16.370,16.615,27.763,75.844,146.455,31.212,86.071,16.864,24.223,39.647,103.595,30.770,22.546,23.970,15.654,103.595,30.644,17.717,260.539,77.070,44.558,39.762
2023-07-31,382.339,384.569,378.763,384.328,374.885,397.066,405.645,395.720,389.813,398.814,391.963,406.168,383.947,419.970,378.502,394.374,388.568,395.358,394.555,393.751,396.664,378.642,375.207,404.018,401.265,390.938,400.602,413.260,401.205,396.544,397.689,398.814,381.656,398.935,395.981,405.766,376.995,381.857,398.131,405.726,391.400,393.108,1700.180,1689.812,1673.096,270.115,268.468,265.812,629.429
