Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,165.853,129.284,129.284,129.284,128.286
2023-05-16,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,162.184,153.521,153.521,153.521,105.643
2023-06-16,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,95.910,123.603,123.603,123.603,77.595
2023-07-16,75.788,75.764,75.732,75.764,75.707,75.739,75.788,75.739,75.743,75.792,75.750,75.771,75.718,75.781,75.675,75.778,75.682,75.809,75.761,75.829,75.747,75.764,75.704,75.815,75.826,75.764,75.795,75.819,75.852,75.757,75.747,75.798,75.739,75.771,75.792,75.767,75.771,75.747,75.785,75.754,75.788,75.795,75.815,75.767,75.718,114.541,114.469,114.394,66.190
2023-08-16,64.588,64.604,64.666,64.599,64.756,64.656,64.737,64.661,65.002,64.518,64.625,64.572,64.671,64.661,64.746,64.545,64.780,64.604,64.702,64.630,64.625,64.614,64.756,64.495,64.682,64.566,64.523,64.490,64.842,64.593,64.572,64.484,64.692,64.583,64.550,64.588,64.676,64.630,64.545,64.556,64.572,64.561,64.756,64.614,64.523,108.530,108.292,108.139,59.667
2023-09-16,63.501,63.010,63.002,63.005,64.002,63.977,65.937,64.003,64.000,63.017,63.903,63.069,63.003,63.008,63.853,63.016,63.324,63.095,64.007,63.005,63.095,63.652,63.551,63.017,63.273,63.014,63.019,63.018,63.903,63.012,63.012,63.017,63.006,63.017,63.095,63.197,63.044,63.015,63.017,63.018,63.010,63.013,64.000,63.019,63.006,113.995,112.247,112.224,56.143
2023-10-16,81.296,63.672,66.916,67.914,65.122,65.029,72.001,70.002,64.962,63.000,85.452,63.468,63.004,63.085,64.002,63.003,63.000,63.380,68.152,63.004,63.990,64.002,63.730,63.000,63.292,65.214,63.000,63.000,64.001,63.262,67.962,64.000,63.468,63.000,63.875,67.202,63.114,83.268,63.004,63.005,63.144,63.001,70.002,63.730,63.000,118.983,108.323,107.083,58.833
2023-11-16,85.493,57.000,180.290,82.136,105.957,131.294,68.903,68.496,57.014,73.441,73.852,56.029,53.221,59.007,57.016,52.551,54.283,75.094,96.541,84.629,65.592,58.017,82.066,57.010,57.016,59.808,59.006,54.409,59.006,68.973,65.652,69.242,56.408,69.027,57.012,68.170,55.002,98.745,69.202,57.009,55.001,53.221,96.541,65.592,54.409,145.071,98.564,81.760,66.548
2023-12-16,90.902,70.210,277.860,199.367,219.563,117.732,86.068,59.783,120.605,62.089,68.847,46.093,43.540,84.804,68.609,52.775,85.163,282.367,91.996,110.025,68.120,59.417,123.469,154.596,123.186,87.050,198.249,80.785,68.202,59.361,67.284,125.966,47.866,176.484,48.199,207.263,64.485,163.948,61.018,68.772,68.179,41.228,199.367,84.804,48.199,194.957,82.928,47.133,102.262
2023-07-31,75.788,75.764,75.732,75.764,75.707,75.739,75.788,75.739,75.743,75.792,75.750,75.771,75.718,75.781,75.675,75.778,75.682,75.809,75.761,75.829,75.747,75.764,75.704,75.815,75.826,75.764,75.795,75.819,75.852,75.757,75.747,75.798,75.739,75.771,75.792,75.767,75.771,75.747,75.785,75.754,75.788,75.795,499.762,499.714,499.665,132.312,132.300,132.287,377.714
