Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,402.400,116.742,116.742,116.742,344.690
2023-05-16,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,351.905,122.890,122.890,122.890,286.357
2023-06-16,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,207.543,102.178,102.178,102.178,203.119
2023-07-16,171.859,171.625,171.507,171.644,171.527,171.839,171.761,171.820,173.120,171.995,171.800,171.937,175.174,172.000,171.566,171.820,171.995,173.189,171.781,171.917,171.820,171.703,172.000,172.012,171.937,171.820,171.917,171.976,173.815,171.781,171.586,171.878,171.742,171.761,171.820,172.012,172.773,171.742,171.820,172.000,171.859,171.898,172.773,171.859,171.625,113.064,112.466,112.313,152.810
2023-08-16,144.462,144.417,144.688,144.507,145.276,144.643,144.371,145.140,155.311,143.375,144.145,143.692,147.740,143.692,146.520,143.194,145.230,145.095,145.140,144.959,144.733,143.692,144.914,143.421,145.230,143.783,143.013,143.239,144.371,143.421,144.145,143.239,144.326,143.466,143.738,145.321,145.637,144.281,143.873,143.239,144.326,143.783,145.321,144.371,143.239,107.474,106.772,105.935,135.214
2023-09-16,150.425,149.698,150.003,149.793,150.425,150.003,157.006,150.061,156.025,148.786,150.002,149.603,150.002,149.122,150.002,148.690,149.825,149.888,153.739,149.952,150.002,150.089,150.564,148.979,149.825,149.347,148.209,148.786,149.571,149.025,149.347,149.507,149.379,148.498,150.003,150.002,149.983,149.219,149.251,148.113,149.793,148.979,150.425,149.825,148.786,107.684,107.255,106.511,139.690
2023-10-16,199.771,148.453,175.414,162.505,148.568,148.585,172.847,161.790,148.659,148.016,210.649,148.084,148.211,148.945,148.602,148.014,148.000,148.062,160.669,148.221,175.793,148.350,148.116,148.016,148.018,148.919,148.012,148.014,177.521,148.221,189.943,188.739,148.416,148.012,148.138,179.391,148.073,204.353,148.051,148.180,148.201,148.022,188.739,148.416,148.014,120.710,94.921,94.664,156.357
2023-11-16,200.025,143.263,439.858,186.979,278.854,278.753,164.770,158.838,144.100,176.457,173.180,142.404,141.769,162.352,145.397,140.885,140.802,181.325,203.716,190.426,162.209,147.038,183.478,147.037,142.058,147.039,162.859,144.888,147.019,170.693,146.160,174.902,143.376,174.234,142.634,162.005,141.827,268.857,176.057,145.016,142.920,142.346,203.716,162.005,142.058,120.119,95.524,83.763,169.595
2023-12-16,245.657,184.350,575.398,303.205,511.679,249.275,229.207,164.037,255.605,174.398,164.909,151.710,152.531,232.932,181.382,159.157,202.050,460.942,253.934,289.919,179.064,174.066,292.613,300.490,268.326,214.478,415.086,218.419,181.089,154.331,167.866,293.311,152.207,338.801,151.764,444.010,192.429,364.366,170.277,196.556,185.009,151.343,415.086,214.478,152.531,170.067,87.875,62.494,244.071
2023-07-31,171.859,171.625,171.507,171.644,171.527,171.839,171.761,171.820,173.120,171.995,171.800,171.937,175.174,172.000,171.566,171.820,171.995,173.189,171.781,171.917,171.820,171.703,172.000,172.012,171.937,171.820,171.917,171.976,173.815,171.781,171.586,171.878,171.742,171.761,171.820,172.012,172.773,171.742,171.820,172.000,171.859,171.898,1134.621,1133.707,1133.473,114.959,114.867,114.843,986.976
