Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,1273.119,136.104,136.104,136.104,935.405
2023-05-16,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,996.540,139.441,139.441,139.441,714.667
2023-06-16,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,504.096,113.359,113.359,113.359,444.690
2023-07-16,376.002,376.000,375.864,376.001,375.895,376.002,376.001,376.001,376.004,376.003,376.001,376.005,376.010,376.004,375.959,376.001,376.003,376.008,376.001,376.003,376.001,376.001,376.003,376.005,376.002,376.001,376.002,376.003,376.007,376.001,375.784,376.002,376.002,376.001,376.001,376.004,376.004,376.000,376.002,376.002,376.003,376.003,376.005,376.002,376.000,123.695,123.695,123.694,303.976
2023-08-16,304.416,303.860,303.901,303.921,304.088,304.002,304.261,303.881,305.988,303.698,303.678,303.941,305.004,303.881,304.123,303.373,304.175,304.503,304.071,304.157,303.921,303.799,303.962,303.718,304.641,303.596,303.414,303.495,304.865,303.556,303.718,303.515,303.901,303.576,303.576,304.002,304.088,303.779,303.596,303.373,304.382,303.718,304.503,303.901,303.515,116.593,116.363,116.215,261.167
2023-09-16,309.530,309.081,309.401,309.108,309.741,309.307,312.590,309.484,309.993,308.792,310.243,309.118,309.385,309.049,309.302,308.420,309.244,309.255,309.396,309.181,309.155,310.033,309.229,308.792,309.318,308.947,308.358,308.575,309.443,308.792,308.916,308.730,309.118,308.668,309.271,309.365,309.255,309.012,308.730,308.389,309.139,308.947,309.741,309.181,308.668,115.339,115.131,114.940,268.548
2023-10-16,376.559,338.925,375.001,372.473,345.512,347.129,375.267,369.150,347.881,336.145,405.880,339.039,340.864,341.207,346.782,335.579,339.324,340.293,370.480,346.320,366.610,344.763,340.864,335.862,340.236,366.532,335.579,335.636,372.442,339.381,376.216,376.635,366.219,336.145,339.210,372.529,339.153,379.006,336.768,335.918,338.925,336.145,376.216,344.763,335.918,120.297,110.240,107.412,312.738
2023-11-16,646.687,317.703,1608.956,520.848,979.192,967.540,471.641,342.701,318.480,543.349,537.015,317.945,317.710,343.617,318.403,317.799,317.515,495.485,563.748,500.368,345.595,341.527,508.173,339.564,340.639,341.818,346.336,317.812,338.949,471.641,346.183,524.500,339.380,466.698,317.850,349.568,317.645,817.501,391.794,341.471,317.723,317.639,646.687,345.595,317.710,153.503,82.033,75.414,421.286
2023-12-16,798.047,463.443,2654.387,1586.854,2293.728,1031.565,734.422,331.744,830.239,625.329,448.373,290.281,299.540,663.486,449.961,411.536,661.311,2099.901,949.451,1072.855,442.801,366.226,1401.903,1360.466,956.134,672.109,1435.309,602.778,432.547,351.640,412.464,1221.467,302.172,2102.257,290.507,2153.879,507.763,1654.584,410.334,508.604,457.397,289.340,2099.901,661.311,302.172,245.111,77.191,35.271,856.714
2023-07-31,376.002,376.000,375.864,376.001,375.895,376.002,376.001,376.001,376.004,376.003,376.001,376.005,376.010,376.004,375.959,376.001,376.003,376.008,376.001,376.003,376.001,376.001,376.003,376.005,376.002,376.001,376.002,376.003,376.007,376.001,375.784,376.002,376.002,376.001,376.001,376.004,376.004,376.000,376.002,376.002,376.003,376.003,3149.760,3149.757,3149.755,131.309,131.309,131.309,2398.738
