Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,359.587,359.587,359.587,23.738
2023-05-16,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,78.178,387.202,387.202,387.202,20.190
2023-06-16,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,38.305,326.331,326.331,326.331,11.738
2023-07-16,11.192,11.291,11.217,11.242,11.217,11.316,11.217,11.242,11.217,11.217,11.217,11.242,11.242,11.619,11.242,11.192,11.266,11.242,11.266,11.242,11.391,11.217,11.341,11.192,11.217,11.217,11.217,11.291,11.242,11.291,11.217,11.242,11.266,11.217,11.266,11.242,11.619,11.192,11.242,11.266,11.217,11.192,11.316,11.242,11.192,252.810,251.140,250.031,4.476
2023-08-16,4.001,4.003,4.001,4.002,4.003,4.003,4.002,4.003,4.002,4.001,4.002,4.001,4.002,4.003,4.002,4.001,4.003,4.002,4.003,4.002,4.003,4.001,4.003,4.001,4.003,4.001,4.001,4.003,4.002,4.002,4.001,4.001,4.003,4.001,4.003,4.002,4.001,4.000,4.001,4.001,4.002,4.001,4.003,4.002,4.001,218.349,218.295,218.243,1.833
2023-09-16,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,262.505,262.502,262.502,1.143
2023-10-16,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,3.311,7.000,7.000,7.000,7.000,7.000,3.311,7.000,7.000,7.000,7.000,7.000,3.311,7.000,3.311,3.311,7.000,7.000,3.311,7.000,7.000,7.000,3.311,7.000,7.000,7.000,3.311,3.311,7.000,3.311,3.311,7.000,7.000,3.311,402.740,402.740,190.489,1.738
2023-11-16,13.340,13.340,13.340,20.000,13.340,13.340,13.340,13.340,13.340,5.000,13.340,5.000,13.340,13.340,13.340,13.340,5.000,13.340,13.340,13.340,5.000,13.340,13.340,48.454,5.000,13.340,5.000,5.000,13.340,13.340,13.340,5.000,13.340,5.000,5.000,5.000,13.340,5.000,5.000,13.340,5.000,5.000,13.340,13.340,5.000,304.497,304.497,114.131,4.381
2023-12-16,8.000,8.000,8.000,27.677,43.747,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,9.105,8.000,8.000,8.000,72.245,8.000,8.000,8.000,8.000,8.000,60.945,8.000,8.000,8.000,8.000,8.000,8.000,8.000,59.712,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,27.677,8.000,8.000,304.305,87.958,87.958,9.095
2023-07-31,11.192,11.291,11.217,11.242,11.217,11.316,11.217,11.242,11.217,11.217,11.217,11.242,11.242,11.619,11.242,11.192,11.266,11.242,11.266,11.242,11.391,11.217,11.341,11.192,11.217,11.217,11.217,11.291,11.242,11.291,11.217,11.242,11.266,11.217,11.266,11.242,11.619,11.192,11.242,11.266,11.217,11.192,213.158,213.084,213.034,354.420,354.296,354.213,60.143
