Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,174.504,146.349,146.349,146.349,119.238
2023-05-16,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,218.005,213.880,213.880,213.880,101.929
2023-06-16,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,80.681,155.798,155.798,155.798,51.786
2023-07-16,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.001,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,110.761,110.761,110.761,22.571
2023-08-16,17.002,17.002,17.002,17.001,17.001,17.001,17.482,17.002,18.003,17.002,17.001,17.001,17.001,17.002,17.087,17.002,18.001,17.001,17.001,17.087,17.002,17.002,18.001,17.002,18.003,17.002,17.002,17.002,18.002,17.002,17.002,17.002,18.000,17.002,17.002,17.002,18.000,17.002,17.002,17.002,17.001,17.002,18.001,17.002,17.001,118.133,111.576,111.569,15.238
2023-09-16,15.000,14.463,14.276,14.842,15.000,15.002,16.000,15.001,15.001,14.092,15.000,15.000,14.986,14.230,15.000,13.000,15.002,14.842,15.002,15.000,15.000,15.001,15.000,14.046,15.002,14.416,14.138,14.184,15.002,14.092,14.092,14.369,15.000,13.000,14.746,14.699,15.000,14.230,14.001,14.001,14.986,14.323,15.002,14.986,14.046,110.929,110.810,103.864,13.524
2023-10-16,24.451,15.710,18.000,17.017,18.263,16.223,24.499,22.218,16.000,14.647,72.697,16.000,15.608,16.000,16.716,14.527,16.000,15.915,18.156,16.000,16.101,16.000,16.000,14.768,16.000,17.000,15.000,15.000,17.000,15.000,18.454,17.000,16.000,14.409,15.710,17.718,15.306,50.001,15.000,15.000,15.812,15.000,22.218,16.000,15.000,122.620,88.306,82.786,18.119
2023-11-16,50.243,14.306,187.912,44.602,106.473,96.577,30.704,29.560,15.000,38.276,37.730,13.000,13.001,15.972,16.111,13.001,13.000,38.011,70.420,51.618,23.750,18.002,38.213,19.989,17.377,16.946,18.918,13.000,18.001,33.089,18.002,33.569,15.000,33.311,15.812,27.007,13.000,72.277,27.007,18.327,13.001,13.447,70.420,19.989,13.001,212.170,60.225,39.169,33.190
2023-12-16,56.350,30.095,233.360,216.446,224.952,65.065,54.376,22.038,76.890,37.004,29.353,13.012,13.009,51.133,29.735,17.010,54.145,347.958,66.967,77.201,30.074,17.013,125.531,190.050,118.367,45.500,172.828,41.718,28.607,19.010,20.370,134.848,14.436,149.183,13.008,222.145,28.636,128.882,19.002,28.579,29.592,12.742,216.446,45.500,14.436,277.072,58.245,18.479,78.119
2023-07-31,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.001,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,498.190,498.190,498.190,168.579,168.579,168.579,295.524
