Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,859.988,131.334,131.334,131.334,654.810
2023-05-16,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,650.219,126.391,126.391,126.391,514.452
2023-06-16,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,317.096,98.281,98.281,98.281,322.643
2023-07-16,276.038,275.996,275.996,276.038,275.925,276.081,276.095,275.996,276.123,276.165,276.024,276.165,276.066,276.137,275.939,276.052,276.010,276.306,276.024,276.095,276.123,276.038,276.066,276.292,276.109,276.024,276.095,276.151,276.306,276.109,275.982,276.137,276.024,276.109,276.095,276.222,276.066,276.010,276.109,276.109,276.095,276.081,276.165,276.095,275.996,118.164,118.133,118.091,233.714
2023-08-16,246.540,246.543,246.536,246.543,246.533,246.556,246.567,246.546,246.827,246.556,246.533,246.560,246.671,246.577,246.553,246.509,246.590,246.664,246.560,246.617,246.560,246.543,246.583,246.583,246.684,246.523,246.526,246.546,246.694,246.536,246.516,246.536,246.563,246.540,246.540,246.600,246.597,246.550,246.543,246.536,246.567,246.556,246.664,246.556,246.533,119.851,119.798,119.787,205.810
2023-09-16,228.995,228.924,228.930,228.942,230.135,230.066,231.279,228.992,231.563,228.885,228.983,228.944,230.192,228.930,230.100,228.854,230.020,229.852,230.066,229.268,228.983,228.992,229.735,228.897,230.123,228.897,228.854,228.875,230.284,228.894,228.891,228.875,228.968,228.881,228.927,228.971,229.502,228.915,228.891,228.866,228.939,228.909,230.135,228.968,228.875,114.022,113.444,113.398,201.833
2023-10-16,273.011,264.408,265.411,264.779,268.269,266.304,274.772,273.003,273.013,262.892,290.152,264.445,265.337,263.665,266.416,262.680,265.039,265.002,273.004,264.668,265.076,265.225,265.746,262.963,265.411,264.742,262.610,262.821,272.125,263.665,273.014,264.705,264.742,262.857,264.891,266.118,264.853,273.012,263.183,262.927,264.259,263.146,273.012,265.002,262.892,118.175,114.708,113.794,231.024
2023-11-16,428.029,265.210,1193.298,322.563,609.678,586.444,303.695,288.250,266.731,297.757,424.110,265.308,265.125,285.349,266.046,264.400,265.083,307.072,413.411,300.662,268.897,266.239,313.708,265.630,265.922,266.853,266.839,264.557,268.155,303.905,288.239,315.875,265.280,266.568,265.407,288.403,265.083,616.949,268.897,264.643,265.097,264.572,428.029,268.897,265.083,140.436,88.225,86.974,304.786
2023-12-16,690.622,377.383,1807.290,828.172,1442.158,1134.946,576.152,298.774,683.569,439.283,434.907,295.079,294.775,440.478,320.033,297.061,431.015,923.827,824.303,827.816,339.884,298.414,823.826,584.104,605.569,395.945,545.128,321.074,306.317,298.967,300.543,700.120,296.084,1037.734,296.077,931.597,298.927,1335.405,321.797,303.812,312.427,292.994,1037.734,434.907,296.084,191.397,80.213,54.609,542.190
2023-07-31,276.038,275.996,275.996,276.038,275.925,276.081,276.095,275.996,276.123,276.165,276.024,276.165,276.066,276.137,275.939,276.052,276.010,276.306,276.024,276.095,276.123,276.038,276.066,276.292,276.109,276.024,276.095,276.151,276.306,276.109,275.982,276.137,276.024,276.109,276.095,276.222,276.066,276.010,276.109,276.109,276.095,276.081,2103.468,2103.398,2103.299,121.896,121.892,121.887,1725.619
