Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,529.589,206.276,206.276,206.276,256.738
2023-05-16,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,950.916,222.251,222.251,222.251,427.857
2023-06-16,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,892.250,238.585,238.585,238.585,373.976
2023-07-16,788.430,791.180,783.392,792.139,778.613,823.197,819.432,803.802,793.450,808.231,802.307,814.025,789.814,828.881,778.631,804.928,795.627,817.956,804.097,809.320,811.774,784.001,780.421,819.395,819.949,797.657,819.635,834.269,814.764,814.191,809.394,810.279,781.971,805.112,805.703,830.431,773.778,784.869,811.995,829.305,796.550,798.801,823.197,805.112,781.971,458.059,447.996,435.119,179.714
2023-08-16,105.059,114.627,106.764,108.850,121.770,111.448,99.521,99.344,105.964,104.783,106.484,100.852,111.777,122.846,121.683,109.077,119.906,110.334,109.971,108.226,102.957,121.596,122.279,96.777,110.296,106.187,103.557,108.245,102.975,106.373,100.336,101.514,121.198,103.048,105.649,103.211,122.084,121.004,108.642,99.574,103.466,105.705,121.683,106.764,100.336,222.010,194.791,183.063,54.810
2023-09-16,36.791,36.725,37.893,36.985,37.754,39.447,36.940,37.527,36.834,36.906,36.270,38.211,38.142,41.303,37.626,36.336,36.817,36.492,36.866,36.690,40.868,36.937,38.391,36.190,36.525,36.637,35.674,36.219,36.427,36.527,36.611,36.456,39.630,36.672,36.821,36.537,45.056,36.783,36.465,36.045,37.153,36.851,39.447,36.821,36.270,162.588,151.764,149.495,24.262
2023-10-16,42.477,40.662,43.048,55.574,45.363,45.088,44.788,43.377,41.289,41.019,43.352,44.512,43.681,45.786,43.365,41.879,39.956,38.281,41.651,42.154,44.976,40.219,43.200,36.345,39.564,40.396,36.030,37.035,37.199,37.612,47.637,41.651,45.038,38.281,41.425,42.477,46.307,40.219,38.534,36.019,43.365,38.196,45.363,41.879,37.199,184.260,170.109,151.098,24.619
2023-11-16,44.784,43.121,72.793,149.450,84.325,45.694,68.900,45.487,44.683,43.046,70.937,44.177,44.987,45.843,43.397,73.883,42.200,80.242,43.976,44.607,44.632,44.329,44.278,67.014,43.146,116.139,41.257,42.226,41.894,43.397,123.631,108.946,45.592,42.508,42.790,43.548,45.624,90.564,42.584,41.690,43.096,41.512,90.564,44.632,42.200,269.192,132.665,125.436,33.643
2023-12-16,46.903,34.000,109.452,220.730,216.279,90.071,98.364,44.236,48.493,37.154,88.984,34.000,44.908,50.016,34.001,93.670,34.001,240.575,42.542,46.037,40.428,44.596,58.000,96.027,35.579,101.023,42.706,31.761,33.170,46.122,93.112,213.995,44.953,104.114,32.947,40.917,47.842,215.781,44.038,44.175,41.001,30.770,213.995,46.037,34.000,390.773,84.067,62.087,54.762
2023-07-31,788.430,791.180,783.392,792.139,778.613,823.197,819.432,803.802,793.450,808.231,802.307,814.025,789.814,828.881,778.631,804.928,795.627,817.956,804.097,809.320,811.774,784.001,780.421,819.395,819.949,797.657,819.635,834.269,814.764,814.191,809.394,810.279,781.971,805.112,805.703,830.431,773.778,784.869,811.995,829.305,796.550,798.801,3195.952,3177.867,3154.726,258.095,256.634,254.766,1238.286
