Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,326.020,159.479,159.479,159.479,204.429
2023-05-16,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,560.294,213.001,213.001,213.001,263.048
2023-06-16,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,436.671,260.551,260.551,260.551,167.595
2023-07-16,235.889,233.554,232.655,234.061,231.083,240.820,240.171,239.699,238.333,238.968,236.313,241.664,235.759,243.172,231.624,236.118,234.224,240.008,235.123,236.819,238.040,232.688,229.427,240.544,238.529,235.416,238.838,240.593,240.902,236.819,236.965,238.415,233.963,238.610,237.715,245.246,232.524,233.309,237.894,240.317,236.379,237.438,240.820,237.438,232.655,421.787,415.863,407.486,57.095
2023-08-16,26.096,26.001,24.392,26.002,26.000,26.001,22.967,24.146,20.533,21.673,22.442,26.002,26.002,26.048,26.028,22.280,26.000,24.502,26.002,25.602,21.626,25.804,26.248,20.012,26.001,22.753,20.699,21.127,20.204,23.053,22.720,20.882,26.000,20.323,22.071,26.016,26.408,24.392,21.673,20.248,25.316,23.105,26.028,24.392,20.533,186.547,174.823,147.164,13.952
2023-09-16,16.812,16.402,16.293,16.438,18.032,16.580,16.516,16.438,16.087,16.110,16.249,16.839,16.997,17.248,16.594,16.058,16.387,16.488,16.459,16.322,16.387,16.438,16.936,16.013,16.665,16.198,16.035,16.080,15.967,16.271,16.161,16.058,16.394,16.110,16.139,16.832,16.881,16.169,16.213,15.835,16.264,16.205,16.881,16.387,16.058,194.779,189.083,185.282,8.667
2023-10-16,21.030,20.164,15.917,21.512,21.099,21.032,21.120,21.035,14.769,15.021,21.082,21.024,21.071,21.050,21.009,15.656,15.851,17.556,21.013,21.026,15.982,21.035,21.004,14.684,21.015,21.030,14.942,21.123,14.598,16.985,21.068,37.008,21.037,14.769,15.399,21.035,21.037,25.598,16.772,14.262,15.463,15.021,21.120,21.015,14.769,145.892,145.171,102.025,14.476
2023-11-16,23.016,21.810,122.149,124.149,126.848,50.484,43.329,23.023,21.351,21.181,50.030,21.867,23.013,23.021,23.008,23.023,21.238,23.566,23.019,23.016,23.003,23.023,23.015,48.545,21.752,48.288,21.295,21.752,21.238,23.011,23.098,102.853,23.010,21.408,21.925,23.004,23.006,121.498,31.000,23.003,21.069,17.965,102.853,23.015,21.238,369.530,82.688,76.304,27.833
2023-12-16,32.344,14.000,182.147,209.080,249.034,138.395,47.368,15.212,14.795,15.538,57.151,13.001,26.245,30.724,14.000,48.681,25.753,167.956,25.740,39.753,17.455,25.134,58.188,41.949,26.976,47.955,58.099,16.556,13.000,26.057,26.046,209.319,21.894,149.072,13.001,29.502,58.761,156.126,48.024,26.525,36.068,13.001,167.956,30.724,14.000,306.169,56.007,25.521,54.857
2023-07-31,235.889,233.554,232.655,234.061,231.083,240.820,240.171,239.699,238.333,238.968,236.313,241.664,235.759,243.172,231.624,236.118,234.224,240.008,235.123,236.819,238.040,232.688,229.427,240.544,238.529,235.416,238.838,240.593,240.902,236.819,236.965,238.415,233.963,238.610,237.715,245.246,232.524,233.309,237.894,240.317,236.379,237.438,1563.805,1560.423,1555.640,225.929,225.440,224.749,692.167
