Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,454.169,153.881,153.881,153.881,295.143
2023-05-16,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,844.529,191.627,191.627,191.627,440.714
2023-06-16,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,808.687,235.279,235.279,235.279,343.714
2023-07-16,767.112,765.761,762.373,770.050,751.803,794.943,800.647,792.220,785.037,792.906,781.456,798.202,767.670,799.510,755.298,785.380,769.492,789.861,780.063,783.558,792.992,762.888,735.593,805.857,795.286,779.591,798.052,811.689,804.077,785.080,790.462,794.643,766.512,799.146,791.277,813.576,747.493,766.147,793.399,809.888,781.649,786.366,804.077,786.366,762.373,588.144,575.190,557.640,136.714
2023-08-16,65.577,66.666,64.370,66.155,66.016,64.959,64.423,63.094,61.991,64.137,64.253,65.422,64.853,66.188,66.429,63.836,65.668,65.470,64.948,65.076,62.100,65.893,67.422,61.487,65.641,63.878,62.905,63.362,62.491,63.973,64.073,62.910,65.839,61.590,63.256,65.145,68.672,65.706,63.162,62.486,65.374,63.899,66.188,64.853,62.486,193.855,189.945,183.014,34.143
2023-09-16,25.800,25.298,25.383,25.339,26.271,25.409,25.000,25.121,25.000,25.000,25.001,25.965,25.907,26.919,25.797,24.193,25.260,25.703,25.444,25.154,25.000,25.557,27.066,21.955,25.298,25.001,22.683,21.998,21.980,25.162,24.624,22.945,25.462,22.423,23.791,25.378,26.969,25.141,24.023,22.265,25.048,25.000,25.965,25.154,22.423,160.137,155.135,138.295,16.214
2023-10-16,44.539,44.129,44.185,45.739,44.978,44.374,44.468,44.198,43.380,42.649,44.177,44.685,44.734,45.368,44.468,42.141,44.050,44.451,44.302,44.098,44.055,44.404,45.345,36.342,44.267,44.028,39.957,38.427,36.546,44.024,44.246,44.055,44.463,38.858,41.638,44.246,45.283,44.391,41.743,38.213,43.847,43.000,44.978,44.185,38.858,177.213,174.089,153.100,25.381
2023-11-16,70.545,68.167,83.908,176.148,104.973,74.814,74.715,69.489,67.820,67.366,74.220,69.783,71.923,72.318,69.072,69.170,67.579,72.663,68.971,68.703,68.569,69.661,72.268,72.737,68.730,77.793,66.221,66.301,65.982,68.891,75.979,107.141,70.988,66.327,66.779,68.596,72.712,129.370,68.248,66.327,67.553,67.259,83.908,69.489,66.327,182.127,150.829,143.966,46.071
2023-12-16,70.451,69.425,249.185,384.803,374.746,208.235,99.527,69.742,69.671,69.501,82.841,69.568,70.311,70.864,69.539,93.287,69.656,270.019,70.094,70.502,69.749,69.792,177.852,102.139,70.638,200.019,71.849,69.133,69.133,70.145,79.814,341.193,70.195,215.576,69.100,70.388,90.831,248.287,71.866,69.982,70.948,69.181,249.185,70.638,69.425,284.705,80.707,79.322,87.524
2023-07-31,767.112,765.761,762.373,770.050,751.803,794.943,800.647,792.220,785.037,792.906,781.456,798.202,767.670,799.510,755.298,785.380,769.492,789.861,780.063,783.558,792.992,762.888,735.593,805.857,795.286,779.591,798.052,811.689,804.077,785.080,790.462,794.643,766.512,799.146,791.277,813.576,747.493,766.147,793.399,809.888,781.649,786.366,2911.462,2893.751,2869.758,239.373,237.917,235.944,1216.286
