Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,288.745,140.038,140.038,140.038,206.190
2023-05-16,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,496.344,205.081,205.081,205.081,242.024
2023-06-16,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,212.904,156.932,156.932,156.932,135.667
2023-07-16,60.333,60.333,60.333,60.333,60.333,60.326,60.326,60.333,60.333,60.326,60.333,60.340,60.340,60.333,60.333,60.320,60.347,60.333,60.333,60.333,60.326,60.333,60.354,60.326,60.326,60.333,60.333,60.326,60.340,60.326,60.326,60.333,60.333,60.326,60.333,60.326,60.340,60.333,60.326,60.333,60.333,60.326,60.340,60.333,60.326,136.545,136.530,136.515,44.190
2023-08-16,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.000,15.001,15.001,15.001,15.001,15.001,15.000,15.001,15.126,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,15.001,130.443,130.442,130.440,11.500
2023-09-16,9.001,9.001,9.001,9.001,9.001,9.001,9.138,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.000,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.090,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.001,137.473,137.470,137.466,6.548
2023-10-16,19.912,19.689,19.709,19.805,20.124,19.709,24.862,20.879,19.757,19.602,20.573,19.796,19.796,19.709,19.825,19.554,19.912,19.747,19.825,19.699,19.747,19.776,19.786,19.651,20.114,19.757,19.670,19.651,19.805,19.670,19.699,19.738,19.805,19.622,19.689,19.689,19.728,19.922,19.641,19.612,19.718,19.670,20.114,19.747,19.641,131.996,129.592,128.894,15.238
2023-11-16,81.761,42.415,284.049,74.709,145.810,81.761,81.040,74.249,42.347,43.653,99.592,42.961,42.619,46.244,43.306,41.274,43.375,47.355,52.248,43.237,43.030,43.584,45.309,41.942,44.914,43.863,42.077,41.875,44.653,44.135,48.820,75.371,45.975,41.808,42.551,49.691,42.144,146.767,41.875,41.808,42.347,41.875,81.761,43.863,41.875,186.729,100.177,95.635,43.786
2023-12-16,199.502,71.620,473.541,230.802,378.304,349.500,157.516,92.578,92.578,100.892,170.909,38.898,38.780,69.928,42.434,36.313,69.256,197.681,158.261,155.091,67.867,43.174,109.997,74.421,91.643,62.016,71.280,39.849,49.423,59.949,63.037,192.695,42.971,201.618,38.193,194.737,38.466,366.282,46.634,39.412,39.491,36.763,230.802,71.620,38.780,219.166,68.009,36.825,105.310
2023-07-31,60.333,60.333,60.333,60.333,60.333,60.326,60.326,60.333,60.333,60.326,60.333,60.340,60.340,60.333,60.333,60.320,60.347,60.333,60.333,60.333,60.326,60.333,60.354,60.326,60.326,60.333,60.333,60.326,60.340,60.326,60.326,60.333,60.333,60.326,60.333,60.326,60.340,60.333,60.326,60.333,60.333,60.326,1058.333,1058.326,1058.319,168.505,168.504,168.503,628.071
