Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,152.339,203.248,203.248,203.248,74.952
2023-05-16,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,250.721,255.156,255.156,255.156,98.262
2023-06-16,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,150.887,248.422,248.422,248.422,60.738
2023-07-16,41.448,41.382,41.370,41.394,41.382,41.524,41.406,41.394,41.394,41.400,41.388,41.512,41.430,41.454,41.388,41.382,41.448,41.524,41.400,41.400,41.382,41.388,41.442,41.394,41.412,41.376,41.394,41.382,41.388,41.376,41.364,41.388,41.388,41.406,41.388,41.524,41.530,41.382,41.382,41.406,41.388,41.388,41.512,41.394,41.382,220.978,220.348,220.285,18.786
2023-08-16,6.160,6.047,6.024,6.031,6.084,6.167,6.092,6.039,6.062,6.000,6.152,6.099,6.236,6.099,6.062,6.000,6.137,6.152,6.054,6.099,6.069,6.016,6.039,6.001,6.039,6.024,6.001,6.000,6.024,6.000,6.039,6.000,6.054,6.062,6.001,6.598,6.167,6.047,6.009,6.001,6.031,6.016,6.160,6.047,6.000,147.836,145.116,144.011,4.167
2023-09-16,6.002,6.000,6.000,6.001,6.002,6.002,6.001,6.000,6.000,6.000,6.003,6.001,6.004,6.002,6.000,6.001,6.000,6.001,6.000,6.005,6.001,6.000,6.000,6.001,6.000,6.000,6.001,6.001,6.000,6.001,6.000,6.001,6.000,6.000,6.001,6.004,6.002,6.000,6.000,6.001,6.000,6.000,6.002,6.001,6.000,166.941,166.904,166.895,3.595
2023-10-16,7.000,7.000,7.000,17.412,8.201,8.015,7.000,7.000,7.000,7.000,10.000,7.000,9.200,7.000,8.015,7.000,7.000,7.000,7.000,8.787,8.392,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,13.456,23.674,7.000,7.000,7.000,8.392,8.392,18.564,7.000,7.000,7.000,7.000,10.000,7.000,7.000,156.136,109.295,109.294,6.405
2023-11-16,13.000,10.000,106.842,29.371,30.023,13.642,13.000,11.792,9.991,13.048,16.372,11.792,13.000,11.792,10.000,10.000,10.000,14.745,9.991,14.276,10.804,9.991,10.804,14.626,10.000,13.000,10.000,12.871,10.804,13.000,13.000,23.548,10.000,10.000,10.000,13.000,13.642,28.964,21.391,11.792,9.991,10.000,23.548,12.871,10.000,185.210,101.230,78.652,12.714
2023-12-16,16.236,12.310,161.150,61.923,78.673,16.653,16.236,12.550,12.074,15.477,19.256,12.074,16.000,16.000,12.550,16.000,16.402,43.249,11.793,18.489,12.550,12.074,14.197,17.340,14.197,17.516,54.767,12.074,12.550,13.246,16.000,74.936,12.074,38.413,11.496,18.205,16.738,103.442,29.519,12.074,16.000,11.496,61.923,16.000,12.074,289.942,74.918,56.535,21.357
2023-07-31,41.448,41.382,41.370,41.394,41.382,41.524,41.406,41.394,41.394,41.400,41.388,41.512,41.430,41.454,41.388,41.382,41.448,41.524,41.400,41.400,41.382,41.388,41.442,41.394,41.412,41.376,41.394,41.382,41.388,41.376,41.364,41.388,41.388,41.406,41.388,41.524,41.530,41.382,41.382,41.406,41.388,41.388,595.459,595.341,595.329,235.603,235.557,235.552,252.738
