Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,18.214,143.525,143.525,143.525,12.690
2023-05-16,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,242.025,242.025,242.025,21.333
2023-06-16,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,42.058,294.406,294.406,294.406,14.286
2023-07-16,12.729,12.649,12.646,12.646,12.646,12.670,12.642,12.653,12.649,12.638,12.642,12.667,12.660,12.735,12.646,12.642,12.649,12.656,12.646,12.646,12.642,12.642,12.646,12.649,12.642,12.642,12.638,12.642,12.642,12.649,12.642,12.638,12.646,12.638,12.642,12.660,12.656,12.642,12.638,12.642,12.642,12.642,12.660,12.646,12.638,220.626,220.380,220.255,5.738
2023-08-16,5.112,4.008,4.010,4.008,4.005,4.388,4.003,4.297,4.008,4.010,4.008,4.029,4.206,4.388,4.008,4.010,4.007,4.003,4.002,4.003,4.008,4.009,4.009,4.000,4.162,4.010,4.011,4.010,4.010,4.008,4.011,4.010,4.009,4.010,4.004,4.365,4.003,4.010,4.010,4.009,4.008,4.009,4.297,4.009,4.003,176.917,165.096,164.817,2.429
2023-09-16,3.302,2.088,2.000,3.000,4.155,3.000,3.181,3.000,2.000,2.042,2.536,2.941,3.001,3.000,2.000,2.000,2.088,2.536,2.378,2.646,2.482,2.591,2.000,2.278,3.000,2.000,2.001,2.000,2.001,2.000,2.000,2.000,2.000,2.042,2.378,3.002,2.229,2.001,2.278,2.000,2.088,2.000,3.001,2.229,2.000,175.033,130.016,116.667,1.714
2023-10-16,2.000,2.000,2.000,4.184,3.096,2.002,3.106,3.001,1.075,1.832,3.002,2.002,2.000,2.002,1.832,2.001,1.403,2.001,2.001,3.017,2.000,2.002,1.000,2.000,2.000,1.075,1.075,1.403,1.075,1.403,2.002,3.071,2.000,1.832,2.001,2.001,2.000,3.002,2.000,1.075,1.832,1.000,3.017,2.000,1.075,186.351,123.551,66.388,1.619
2023-11-16,2.004,1.000,6.258,9.044,5.762,3.021,2.456,2.010,1.001,1.001,3.034,1.000,2.011,2.011,1.000,2.003,1.000,2.003,1.001,2.003,1.000,1.599,1.001,2.003,1.001,2.001,1.000,1.000,1.000,2.011,2.001,4.059,2.004,1.001,1.000,2.000,2.000,5.660,2.000,1.000,1.001,1.000,4.059,2.000,1.000,215.791,106.340,53.167,1.881
2023-12-16,2.002,1.001,10.403,4.000,5.837,3.001,2.013,1.001,1.002,1.004,3.008,1.001,2.001,2.008,1.004,2.000,1.001,4.001,1.003,2.000,1.000,2.000,1.003,2.006,2.000,2.001,3.334,1.000,1.003,2.008,2.007,8.135,1.001,6.458,1.001,2.004,2.000,9.195,6.296,1.004,1.001,1.000,6.296,2.000,1.001,264.417,84.019,42.023,2.381
2023-07-31,12.729,12.649,12.646,12.646,12.646,12.670,12.642,12.653,12.649,12.638,12.642,12.667,12.660,12.735,12.646,12.642,12.649,12.656,12.646,12.646,12.642,12.642,12.646,12.649,12.642,12.642,12.638,12.642,12.642,12.649,12.642,12.638,12.646,12.638,12.642,12.660,12.656,12.642,12.638,12.642,12.642,12.642,124.564,124.550,124.542,230.470,230.444,230.431,54.048
