Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,30.859,151.766,151.766,151.766,20.333
2023-05-16,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,104.564,201.177,201.177,201.177,51.976
2023-06-16,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,128.313,221.502,221.502,221.502,57.929
2023-07-16,66.253,66.376,66.176,66.376,66.083,66.731,66.731,66.654,66.500,66.592,66.423,72.233,66.361,67.392,66.160,66.376,66.392,68.050,66.392,66.500,66.531,66.207,67.054,66.623,66.638,66.315,66.515,66.762,66.669,66.654,66.700,66.500,66.330,66.515,66.500,68.066,66.515,66.238,66.484,66.669,66.592,66.438,67.054,66.515,66.238,222.629,220.841,219.919,30.119
2023-08-16,19.214,19.247,19.099,19.148,19.539,19.458,19.132,19.132,19.033,12.997,19.066,21.293,19.328,19.843,19.361,17.156,19.263,19.985,19.230,19.181,19.132,19.181,19.827,19.033,19.344,19.115,12.997,19.148,14.053,19.214,19.115,14.053,19.247,19.033,15.527,20.952,19.490,19.099,19.049,12.972,19.230,19.066,19.827,19.148,14.053,216.294,208.889,153.304,9.167
2023-09-16,7.483,7.457,7.299,7.430,7.806,7.779,7.617,7.536,7.273,7.273,7.351,9.836,7.644,8.083,7.536,7.221,7.483,8.251,7.536,7.430,7.457,7.378,7.861,7.273,7.779,7.351,7.221,7.430,7.247,7.404,7.457,7.221,7.404,7.644,7.273,10.484,7.617,7.247,7.273,7.195,7.590,7.299,7.861,7.457,7.247,195.362,185.315,180.101,4.024
2023-10-16,5.006,5.012,5.001,11.950,5.017,5.014,5.001,5.011,5.000,5.002,6.090,5.008,5.013,5.016,5.008,5.004,5.006,5.017,5.008,5.016,5.013,5.008,5.013,5.002,5.015,5.005,5.000,5.006,5.001,5.003,5.017,10.921,5.012,5.016,5.001,6.253,5.008,10.707,5.008,5.000,5.010,5.000,6.090,5.008,5.001,174.002,143.090,142.884,3.500
2023-11-16,3.768,4.000,6.781,10.819,6.147,6.197,6.410,4.001,3.184,3.230,6.528,4.000,4.000,3.983,3.465,4.000,3.369,5.000,3.613,4.315,3.664,3.716,3.664,4.000,3.874,4.000,3.184,3.417,3.230,4.000,6.382,9.503,4.118,4.001,3.230,4.070,3.821,10.929,5.000,3.095,3.465,3.140,6.528,4.000,3.230,182.794,112.007,90.426,3.571
2023-12-16,4.003,3.676,9.170,9.001,7.007,7.004,6.255,3.489,3.033,3.001,8.006,3.676,4.002,4.004,3.000,4.000,3.000,7.005,3.000,5.003,4.006,3.370,3.676,4.006,3.489,4.745,5.002,3.000,3.000,5.001,7.001,9.032,4.307,5.960,3.001,4.005,4.006,10.060,7.008,3.001,3.000,3.001,8.006,4.005,3.000,207.573,103.841,77.780,3.857
2023-07-31,66.253,66.376,66.176,66.376,66.083,66.731,66.731,66.654,66.500,66.592,66.423,72.233,66.361,67.392,66.160,66.376,66.392,68.050,66.392,66.500,66.531,66.207,67.054,66.623,66.638,66.315,66.515,66.762,66.669,66.654,66.700,66.500,66.330,66.515,66.500,68.066,66.515,66.238,66.484,66.669,66.592,66.438,330.790,330.251,329.974,206.283,205.947,205.774,160.357
