Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2023-04-16,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,459.611,128.068,128.068,128.068,358.881
2023-05-16,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,686.578,184.257,184.257,184.257,372.619
2023-06-16,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,404.546,218.336,218.336,218.336,185.286
2023-07-16,119.437,119.346,119.255,119.164,119.194,119.406,119.194,119.133,119.406,119.042,119.224,119.376,119.558,119.619,119.315,119.103,119.498,119.710,119.224,119.133,119.315,119.285,119.315,118.921,119.133,119.224,119.012,119.012,119.164,118.982,119.194,119.012,119.285,119.164,119.103,119.224,120.962,119.255,119.012,118.951,119.103,119.133,119.498,119.224,119.012,211.857,211.373,210.996,56.405
2023-08-16,46.159,46.120,46.124,46.096,46.124,46.147,46.120,46.120,46.182,46.092,46.132,46.100,46.186,46.147,46.147,46.076,46.147,46.120,46.116,46.080,46.155,46.128,46.143,46.064,46.096,46.116,46.052,46.064,46.108,46.084,46.116,46.068,46.120,46.132,46.096,46.190,46.251,46.116,46.080,46.052,46.080,46.084,46.159,46.120,46.068,223.607,223.417,223.167,20.643
2023-09-16,32.150,32.119,32.123,32.119,32.123,32.146,32.146,32.195,32.176,32.104,32.165,32.104,32.165,32.131,32.138,32.092,32.123,32.173,32.119,32.085,32.161,32.131,32.138,32.088,32.104,32.119,32.073,32.085,32.119,32.104,32.112,32.088,32.119,32.127,32.339,32.169,32.187,32.116,32.092,32.069,32.127,32.092,32.173,32.123,32.088,181.375,181.097,180.901,17.738
2023-10-16,39.302,37.248,38.409,45.100,37.921,38.213,38.902,44.013,38.311,37.000,45.100,37.058,40.242,37.727,37.631,37.000,37.153,38.902,38.213,37.000,38.606,37.727,37.921,37.000,37.000,37.824,37.000,37.000,38.507,37.343,40.242,123.035,38.704,37.439,39.202,38.704,38.507,44.663,37.000,37.000,37.824,37.000,44.013,37.921,37.000,137.745,118.680,115.798,31.952
2023-11-16,93.149,51.003,705.047,213.222,466.664,173.000,51.910,74.674,51.006,143.252,172.068,51.004,51.007,51.006,51.005,51.006,51.003,81.636,57.805,67.004,51.007,51.006,67.009,67.013,51.003,51.007,51.003,51.006,51.005,72.240,51.005,180.812,51.005,67.013,51.005,51.006,51.006,212.570,151.190,51.004,51.003,51.004,180.812,51.007,51.003,210.363,59.343,59.339,85.952
2023-12-16,141.447,44.077,919.129,461.259,851.125,243.294,141.451,75.753,112.967,148.171,141.452,39.002,45.829,106.919,50.007,190.954,99.641,803.498,141.389,197.331,50.004,45.829,196.294,251.599,113.401,105.406,359.821,74.444,50.004,50.006,45.375,651.143,39.120,701.335,39.001,300.975,106.994,721.763,151.561,49.462,106.450,39.003,701.335,113.401,44.077,340.021,54.979,21.369,206.262
2023-07-31,119.437,119.346,119.255,119.164,119.194,119.406,119.194,119.133,119.406,119.042,119.224,119.376,119.558,119.619,119.315,119.103,119.498,119.710,119.224,119.133,119.315,119.285,119.315,118.921,119.133,119.224,119.012,119.012,119.164,118.982,119.194,119.012,119.285,119.164,119.103,119.224,120.962,119.255,119.012,118.951,119.103,119.133,1670.233,1669.959,1669.747,171.624,171.596,171.575,973.190
