Date,FNF,Qsim,QsimBC
1979-10-16,31.190,31.021,37.991
1979-11-16,66.400,33.699,104.026
1979-12-16,93.680,66.092,144.561
1980-01-16,1207.960,1145.556,978.416
1980-02-16,716.760,856.960,718.148
1980-03-16,402.850,555.853,441.876
1980-04-16,407.070,272.338,266.067
1980-05-16,486.610,348.346,328.030
1980-06-16,299.270,303.939,210.274
1980-07-16,126.700,238.534,134.591
1980-08-16,19.440,77.424,36.097
1980-09-16,13.150,39.504,19.369
1980-10-16,19.230,27.373,21.547
1980-11-16,18.300,19.454,30.089
1980-12-16,42.280,18.124,24.104
1981-01-16,92.000,31.103,40.914
1981-02-16,136.210,124.560,106.945
1981-03-16,267.730,317.632,285.132
1981-04-16,291.950,287.897,318.340
1981-05-16,215.610,268.839,255.230
1981-06-16,44.600,125.175,78.764
1981-07-16,0.000,62.480,13.586
1981-08-16,0.000,38.335,2.773
1981-09-16,0.080,25.637,4.279
1981-10-16,42.270,19.889,7.619
1981-11-16,531.390,372.626,553.897
1981-12-16,838.290,940.998,1062.455
1982-01-16,529.490,684.591,518.827
1982-02-16,896.770,888.690,722.183
1982-03-16,687.810,729.105,662.544
1982-04-16,1130.490,1046.590,1180.911
1982-05-16,841.900,657.041,811.226
1982-06-16,387.340,482.740,564.197
1982-07-16,135.900,248.041,137.051
1982-08-16,41.100,93.767,41.170
1982-09-16,61.140,48.193,25.616
1982-10-16,168.870,54.908,167.435
1982-11-16,277.900,192.675,283.920
1982-12-16,565.140,734.651,770.701
1983-01-16,454.160,554.520,462.632
1983-02-16,695.710,740.382,684.732
1983-03-16,1167.210,1158.440,1109.828
1983-04-16,605.280,542.273,568.460
1983-05-16,982.720,657.045,811.334
1983-06-16,942.210,733.915,991.902
1983-07-16,382.050,472.650,343.892
1983-08-16,89.930,155.668,77.852
1983-09-16,50.586,65.522,68.455
1983-10-16,48.560,42.447,96.649
1983-11-16,721.590,477.023,680.267
1983-12-16,946.810,906.895,911.184
1984-01-16,379.420,455.535,412.826
1984-02-16,287.510,302.054,249.725
1984-03-16,379.850,346.050,292.381
1984-04-16,318.790,273.615,271.243
1984-05-16,492.750,426.217,522.191
1984-06-16,237.260,404.466,368.622
1984-07-16,49.790,164.660,81.607
1984-08-16,21.720,60.785,20.039
1984-09-16,17.090,35.448,12.961
1984-10-16,35.670,25.858,18.621
1984-11-16,188.030,69.622,153.111
1984-12-16,101.650,141.857,189.941
1985-01-16,69.560,102.263,101.592
1985-02-16,140.650,171.459,140.859
1985-03-16,199.930,239.025,185.631
1985-04-16,434.560,353.779,407.451
1985-05-16,282.860,353.278,343.247
1985-06-16,78.530,140.801,84.573
1985-07-16,13.630,66.327,14.248
1985-08-16,4.850,39.432,2.989
1985-09-16,24.310,26.273,4.465
1985-10-16,20.954,20.670,9.584
1985-11-16,69.387,20.964,45.446
1985-12-16,153.923,85.303,151.629
1986-01-16,357.806,304.638,270.714
