Date,FNF,Qsim,QsimBC
1979-10-16,1.230,6.885,2.656
1979-11-16,5.330,5.266,4.379
1979-12-16,11.710,5.443,10.642
1980-01-16,210.940,197.863,142.298
1980-02-16,193.520,191.412,159.637
1980-03-16,103.230,159.186,117.477
1980-04-16,52.790,74.534,39.866
1980-05-16,40.710,49.413,24.566
1980-06-16,15.280,27.592,14.614
1980-07-16,4.350,16.646,3.481
1980-08-16,0.000,11.360,1.959
1980-09-16,0.000,8.009,1.295
1980-10-16,0.000,6.276,1.673
1980-11-16,1.690,4.726,4.192
1980-12-16,4.270,3.904,3.887
1981-01-16,16.440,3.352,3.736
1981-02-16,13.270,17.151,13.831
1981-03-16,51.820,58.260,33.124
1981-04-16,27.990,62.320,34.649
1981-05-16,13.830,34.190,15.586
1981-06-16,0.000,18.953,5.047
1981-07-16,0.000,12.707,1.777
1981-08-16,0.000,8.854,1.041
1981-09-16,0.000,6.339,0.565
1981-10-16,1.680,5.030,0.660
1981-11-16,38.880,25.768,49.025
1981-12-16,88.160,125.409,128.676
1982-01-16,145.060,202.698,197.470
1982-02-16,167.480,245.783,196.398
1982-03-16,189.800,219.976,180.258
1982-04-16,238.500,294.509,278.001
1982-05-16,87.500,110.802,110.706
1982-06-16,23.740,39.614,25.996
1982-07-16,8.230,21.228,6.052
1982-08-16,3.350,13.769,3.505
1982-09-16,4.370,9.444,2.196
1982-10-16,12.250,7.856,3.719
1982-11-16,50.270,26.835,40.742
1982-12-16,149.010,163.795,180.256
1983-01-16,145.630,169.318,113.265
1983-02-16,193.840,240.379,189.566
1983-03-16,328.760,355.441,337.797
1983-04-16,134.680,165.634,125.687
1983-05-16,138.410,143.019,133.462
1983-06-16,66.540,66.218,61.502
1983-07-16,23.210,29.690,16.660
1983-08-16,6.610,16.231,4.367
1983-09-16,4.080,10.779,3.028
1983-10-16,3.750,8.177,4.363
1983-11-16,102.690,56.803,106.409
1983-12-16,200.530,212.748,222.278
1984-01-16,67.580,133.576,107.022
1984-02-16,58.210,81.609,51.012
1984-03-16,67.020,96.805,60.521
1984-04-16,39.340,66.372,37.485
1984-05-16,26.300,51.912,41.448
