Date,FNF,Qsim,QsimBC
1979-10-16,4.840,6.965,7.344
1979-11-16,5.230,7.042,5.844
1979-12-16,5.260,10.781,8.161
1980-01-16,34.270,57.028,38.360
1980-02-16,21.850,61.711,60.195
1980-03-16,18.720,58.775,33.103
1980-04-16,48.180,55.473,30.417
1980-05-16,89.960,121.364,83.491
1980-06-16,81.150,104.919,97.181
1980-07-16,51.090,67.207,71.983
1980-08-16,12.950,19.474,19.814
1980-09-16,7.400,10.785,11.730
1980-10-16,5.730,8.153,8.832
1980-11-16,4.530,6.583,5.785
1980-12-16,5.030,7.486,5.464
1981-01-16,4.820,11.018,7.241
1981-02-16,7.730,11.574,6.937
1981-03-16,9.100,23.144,11.552
1981-04-16,29.440,53.380,29.157
1981-05-16,42.220,66.029,50.409
1981-06-16,22.010,31.097,32.645
1981-07-16,6.050,15.631,8.951
1981-08-16,4.340,9.259,4.811
1981-09-16,2.670,5.923,2.970
1981-10-16,3.750,4.402,2.839
1981-11-16,16.770,9.952,9.692
1981-12-16,26.840,32.712,24.982
1982-01-16,13.730,33.333,16.560
1982-02-16,46.240,45.614,26.857
1982-03-16,24.100,54.699,32.079
1982-04-16,67.060,77.751,43.163
1982-05-16,113.500,188.133,132.525
1982-06-16,97.430,127.305,116.528
1982-07-16,48.820,46.648,48.094
1982-08-16,15.980,18.397,18.830
1982-09-16,11.970,10.585,11.037
1982-10-16,19.660,13.650,12.104
1982-11-16,18.950,32.323,43.471
1982-12-16,17.900,28.811,20.436
1983-01-16,16.580,26.076,14.191
1983-02-16,18.820,26.017,14.098
1983-03-16,33.050,39.032,21.135
1983-04-16,29.990,44.956,23.577
1983-05-16,113.780,135.828,99.302
1983-06-16,171.600,270.631,232.025
1983-07-16,89.800,101.856,84.064
1983-08-16,32.550,25.859,25.591
1983-09-16,16.760,15.962,20.320
1983-10-16,11.240,14.149,20.379
1983-11-16,29.900,18.329,15.516
1983-12-16,31.230,34.594,28.966
1984-01-16,20.630,33.434,14.769
1984-02-16,13.630,22.684,11.938
1984-03-16,23.140,30.211,14.093
1984-04-16,34.970,61.185,35.562
1984-05-16,94.290,144.429,111.862
1984-06-16,60.920,70.469,74.360
1984-07-16,23.920,23.961,26.352
1984-08-16,21.440,13.290,9.417
1984-09-16,17.080,8.469,6.415
1984-10-16,7.350,6.345,5.845
1984-11-16,9.440,7.718,5.907
1984-12-16,8.350,11.498,9.528
1985-01-16,7.170,10.295,7.004
1985-02-16,7.200,8.850,5.900
1985-03-16,10.830,13.130,8.101
1985-04-16,44.450,61.812,35.300
1985-05-16,51.220,89.656,65.282
1985-06-16,25.770,25.892,18.192
1985-07-16,8.710,13.806,5.744
1985-08-16,6.020,8.379,3.657
1985-09-16,5.710,5.809,2.686
1985-10-16,5.950,6.472,6.428
1985-11-16,5.770,7.736,6.396
1985-12-16,9.180,8.656,5.503
1986-01-16,12.350,11.322,7.488
1986-02-16,52.690,39.574,19.469
1986-03-16,63.840,78.522,49.753
1986-04-16,64.680,122.134,77.293
1986-05-16,98.100,137.645,110.912
1986-06-16,81.470,49.503,58.945
1986-07-16,26.940,18.297,11.899
1986-08-16,10.200,10.512,5.959
1986-09-16,7.370,6.851,3.822
1986-10-16,7.370,5.545,3.887
1986-11-16,4.200,5.043,5.034
1986-12-16,3.680,4.699,4.460
1987-01-16,3.560,4.201,3.280
1987-02-16,5.900,4.273,4.355
1987-03-16,7.370,10.271,7.754
1987-04-16,26.590,43.277,22.198
1987-05-16,33.330,37.159,30.123
1987-06-16,11.100,21.496,15.623
1987-07-16,5.430,13.616,5.746
1987-08-16,3.250,8.595,3.823
1987-09-16,2.070,5.632,2.336
1987-10-16,2.930,4.173,2.474
1987-11-16,3.760,3.141,2.499
1987-12-16,4.930,3.509,3.415
1988-01-16,4.590,4.287,3.407
1988-02-16,5.185,5.001,5.670
1988-03-16,9.720,29.826,14.034
1988-04-16,16.640,39.358,18.810
1988-05-16,21.610,25.792,21.732
1988-06-16,12.200,16.183,8.993
1988-07-16,5.690,11.703,4.973
1988-08-16,3.810,7.727,3.030
1988-09-16,1.540,5.192,1.899
1988-10-16,1.910,3.945,2.282
1988-11-16,3.030,2.962,2.298
1988-12-16,3.260,3.207,3.369
1989-01-16,2.960,3.783,3.190
1989-02-16,5.650,4.100,3.027
1989-03-16,26.980,32.519,16.456
1989-04-16,47.920,86.622,46.703
1989-05-16,50.370,88.330,62.011
1989-06-16,42.750,36.918,37.435
1989-07-16,11.180,18.374,12.821
1989-08-16,5.980,10.550,6.064
1989-09-16,4.710,6.710,3.638
1989-10-16,4.840,6.009,5.661
1989-11-16,4.550,8.188,6.988
1989-12-16,3.880,11.403,9.352
1990-01-16,4.480,12.184,8.535
1990-02-16,5.890,10.274,6.660
1990-03-16,13.520,17.464,9.382
1990-04-16,28.390,54.407,29.730
1990-05-16,23.710,32.531,23.516
1990-06-16,15.220,19.872,12.197
1990-07-16,6.080,14.146,5.951
1990-08-16,3.850,9.862,5.418
1990-09-16,2.810,6.933,4.551
1990-10-16,2.290,5.446,3.804
1990-11-16,2.200,4.341,3.759
1990-12-16,2.210,3.961,3.596
1991-01-16,3.010,3.789,3.192
1991-02-16,2.620,4.133,4.346
1991-03-16,7.090,8.107,5.817
1991-04-16,16.010,41.788,22.548
1991-05-16,38.660,65.817,50.006
1991-06-16,33.190,40.552,53.209
1991-07-16,8.330,18.402,13.089
1991-08-16,4.710,10.892,6.822
1991-09-16,3.540,7.098,4.889
1991-10-16,3.880,5.489,3.777
1991-11-16,5.760,5.544,5.213
1991-12-16,5.280,9.369,5.712
1992-01-16,4.370,9.975,6.863
1992-02-16,5.830,9.834,6.442
1992-03-16,9.170,21.026,9.909
1992-04-16,26.010,55.756,32.084
1992-05-16,23.390,32.418,23.683
1992-06-16,8.290,15.284,10.483
1992-07-16,4.680,10.302,4.350
1992-08-16,3.020,7.734,3.047
1992-09-16,2.140,5.728,2.563
1992-10-16,2.450,4.683,3.627
1992-11-16,2.540,4.419,4.079
1992-12-16,3.620,5.768,5.178
1993-01-16,6.740,6.415,4.727
1993-02-16,6.480,6.729,5.681
1993-03-16,33.660,51.252,28.940
1993-04-16,43.210,106.123,65.362
1993-05-16,107.200,180.680,122.014
1993-06-16,76.880,75.937,72.197
1993-07-16,31.490,27.022,27.883
1993-08-16,9.420,13.641,9.840
1993-09-16,5.990,8.207,6.145
1993-10-16,4.350,5.894,5.448
1993-11-16,4.100,4.516,4.247
1993-12-16,4.410,4.180,3.598
1994-01-16,4.200,4.402,3.628
1994-02-16,4.200,4.866,5.571
1994-03-16,9.370,14.996,9.167
1994-04-16,23.710,46.339,25.064
1994-05-16,33.800,50.018,38.684
1994-06-16,18.200,28.181,30.542
1994-07-16,5.310,15.142,7.735
1994-08-16,3.030,9.009,3.880
1994-09-16,2.200,5.771,2.688
1994-10-16,3.710,4.433,2.884
1994-11-16,5.360,4.724,4.533
1994-12-16,5.590,7.236,5.295
1995-01-16,14.740,15.905,9.680
1995-02-16,14.150,24.141,13.521
1995-03-16,47.340,73.540,36.870
1995-04-16,43.140,65.578,37.310
1995-05-16,111.900,132.520,90.545
1995-06-16,144.400,190.704,169.129
1995-07-16,105.200,138.454,122.066
1995-08-16,30.430,29.041,36.555
1995-09-16,11.450,13.417,17.015
1995-10-16,7.330,8.720,10.523
1995-11-16,2.500,5.963,5.478
1995-12-16,10.200,5.943,5.248
1996-01-16,9.260,13.019,8.588
1996-02-16,32.020,37.989,18.592
1996-03-16,32.550,53.447,30.784
1996-04-16,55.860,82.302,43.772
1996-05-16,111.600,148.168,112.575
1996-06-16,75.490,92.084,82.605
1996-07-16,25.020,30.494,31.462
1996-08-16,8.720,15.191,12.285
1996-09-16,7.140,9.294,8.274
1996-10-16,5.240,6.745,7.075
1996-11-16,10.300,5.825,5.328
1996-12-16,20.200,20.376,13.059
1997-01-16,97.320,131.818,119.936
1997-02-16,18.170,51.229,48.914
1997-03-16,31.890,76.753,56.364
1997-04-16,61.090,115.368,70.420
1997-05-16,110.800,90.848,66.354
1997-06-16,55.700,32.253,31.774
1997-07-16,14.100,17.723,10.844
1997-08-16,9.400,11.050,6.906
1997-09-16,5.360,7.262,5.002
1997-10-16,3.590,5.543,4.057
1997-11-16,4.460,4.459,4.083
1997-12-16,4.460,4.383,3.806
1998-01-16,8.400,6.044,4.523
1998-02-16,8.000,12.366,7.393
1998-03-16,37.720,38.096,19.386
1998-04-16,31.970,60.454,34.610
1998-05-16,58.970,127.546,90.400
1998-06-16,99.950,127.958,118.362
1998-07-16,67.870,51.725,50.762
1998-08-16,17.930,17.958,17.939
1998-09-16,9.160,10.240,11.060
1998-10-16,6.340,8.942,11.195
1998-11-16,6.790,8.906,8.951
1998-12-16,6.600,11.918,10.349
1999-01-16,8.400,13.998,9.548
1999-02-16,13.220,21.124,10.577
1999-03-16,16.050,39.282,23.292
1999-04-16,31.430,55.351,29.927
1999-05-16,100.100,134.460,96.212
1999-06-16,91.360,86.340,79.541
1999-07-16,29.640,24.990,26.214
1999-08-16,9.710,12.760,8.829
1999-09-16,5.550,7.841,5.743
1999-10-16,4.740,5.800,5.240
1999-11-16,5.120,4.403,3.776
1999-12-16,5.000,5.282,4.833
2000-01-16,7.580,6.596,4.812
2000-02-16,10.720,11.654,6.965
2000-03-16,14.350,21.994,10.107
2000-04-16,36.470,99.311,61.149
2000-05-16,66.310,84.436,57.998
2000-06-16,36.820,34.893,35.950
2000-07-16,10.520,16.598,9.401
2000-08-16,6.530,9.911,5.176
2000-09-16,3.830,6.465,3.562
2000-10-16,3.660,5.121,3.735
2000-11-16,3.170,4.348,3.762
2000-12-16,3.440,5.516,5.030
2001-01-16,3.190,7.091,6.247
2001-02-16,3.390,6.570,5.833
2001-03-16,12.000,13.464,8.498
2001-04-16,24.880,56.950,32.762
2001-05-16,57.960,69.621,50.996
2001-06-16,13.590,26.065,19.763
2001-07-16,5.720,13.853,5.929
2001-08-16,3.340,8.437,3.752
2001-09-16,1.900,5.490,2.186
2001-10-16,2.780,4.070,2.378
2001-11-16,3.780,3.151,2.504
2001-12-16,5.070,4.469,4.020
2002-01-16,7.650,11.391,7.708
2002-02-16,6.340,14.293,7.910
2002-03-16,11.340,22.190,10.349
2002-04-16,39.030,64.046,36.568
2002-05-16,54.130,81.906,58.051
2002-06-16,36.520,35.437,37.153
2002-07-16,8.970,15.642,8.727
2002-08-16,4.810,9.027,3.854
2002-09-16,3.530,5.750,2.489
2002-10-16,3.600,4.237,2.772
2002-11-16,6.380,3.544,3.141
2002-12-16,5.580,5.941,5.246
2003-01-16,10.000,11.132,7.239
2003-02-16,8.050,24.726,14.062
2003-03-16,14.090,40.481,26.987
2003-04-16,21.150,46.392,25.733
2003-05-16,66.470,69.558,50.980
2003-06-16,65.660,78.619,78.084
2003-07-16,13.000,20.655,24.499
2003-08-16,7.200,11.168,8.525
2003-09-16,4.480,7.299,5.384
2003-10-16,3.810,5.674,4.840
2003-11-16,3.670,4.285,3.739
2003-12-16,5.440,4.996,4.590
2004-01-16,6.200,7.928,6.376
2004-02-16,8.410,10.975,6.731
2004-03-16,29.300,40.415,24.055
2004-04-16,36.610,104.487,63.824
2004-05-16,50.990,52.266,38.848
2004-06-16,26.630,20.322,12.511
2004-07-16,7.670,12.394,5.339
2004-08-16,4.860,7.843,3.079
2004-09-16,2.760,5.220,1.881
2004-10-16,6.760,3.963,2.144
2004-11-16,5.260,5.412,5.076
2004-12-16,5.590,10.854,8.445
2005-01-16,6.990,11.749,8.405
2005-02-16,8.050,15.381,7.946
2005-03-16,19.640,39.378,23.413
2005-04-16,34.640,50.259,27.170
2005-05-16,123.900,136.733,103.578
2005-06-16,83.940,112.026,98.777
2005-07-16,35.390,41.613,47.767
2005-08-16,8.830,15.578,13.676
2005-09-16,5.640,8.951,7.376
2005-10-16,5.780,6.311,5.921
2005-11-16,4.940,4.652,4.383
2005-12-16,29.570,10.709,6.745
2006-01-16,27.560,59.119,55.382
2006-02-16,18.390,36.726,18.719
2006-03-16,23.350,43.033,27.394
2006-04-16,43.950,60.534,33.426
2006-05-16,136.900,191.794,129.070
2006-06-16,101.200,103.124,83.876
2006-07-16,31.070,25.381,26.735
2006-08-16,10.480,12.783,8.854
2006-09-16,6.520,7.792,5.625
2006-10-16,5.360,5.664,4.689
