Date,FNF,Qsim,QsimBC
1979-10-16,4.560,4.982,6.761
1979-11-16,4.920,4.767,6.128
1979-12-16,4.550,4.971,5.581
1980-01-16,14.030,12.079,8.505
1980-02-16,10.980,16.255,14.584
1980-03-16,8.720,17.288,11.160
1980-04-16,14.870,21.111,3.113
1980-05-16,30.010,74.038,20.545
1980-06-16,31.780,87.357,36.113
1980-07-16,40.020,108.078,57.109
1980-08-16,14.990,30.352,23.178
1980-09-16,8.680,9.591,11.906
1980-10-16,6.720,6.638,8.632
1980-11-16,5.800,5.033,6.377
1980-12-16,6.090,4.719,4.853
1981-01-16,5.620,5.215,5.850
1981-02-16,7.390,5.156,5.425
1981-03-16,6.650,9.455,7.297
1981-04-16,6.400,20.401,2.666
1981-05-16,6.760,51.579,9.308
1981-06-16,10.740,35.599,12.077
1981-07-16,2.800,11.444,4.236
1981-08-16,1.330,6.032,2.456
1981-09-16,1.930,3.665,1.809
1981-10-16,4.230,2.725,2.101
1981-11-16,6.210,3.630,4.986
1981-12-16,6.420,8.265,9.427
1982-01-16,5.840,9.188,8.094
1982-02-16,12.310,8.757,8.294
1982-03-16,7.560,17.354,11.225
1982-04-16,17.320,26.180,6.316
1982-05-16,28.530,73.147,20.068
1982-06-16,42.980,112.828,51.015
1982-07-16,37.840,65.818,37.526
1982-08-16,18.780,33.505,28.061
1982-09-16,15.820,11.289,19.360
1982-10-16,17.350,13.101,24.756
1982-11-16,15.580,16.359,23.656
1982-12-16,15.140,13.396,22.100
1983-01-16,5.980,11.211,8.569
1983-02-16,10.970,9.307,9.087
1983-03-16,20.310,14.956,10.372
1983-04-16,16.190,17.016,2.062
1983-05-16,38.510,81.846,27.806
1983-06-16,74.180,174.982,87.398
1983-07-16,52.010,86.717,47.687
1983-08-16,36.840,26.667,16.855
1983-09-16,18.340,10.694,14.354
1983-10-16,15.780,8.351,10.834
1983-11-16,16.210,7.662,9.034
1983-12-16,20.780,10.912,11.812
1984-01-16,11.650,12.529,9.216
1984-02-16,8.370,8.710,8.271
1984-03-16,10.310,11.389,7.572
1984-04-16,10.010,32.702,10.994
1984-05-16,21.440,79.477,25.744
1984-06-16,28.830,76.021,30.989
1984-07-16,20.620,28.417,17.457
1984-08-16,9.890,9.140,6.485
1984-09-16,6.950,5.188,5.159
1984-10-16,6.800,3.901,5.264
1984-11-16,7.670,4.388,5.812
1984-12-16,6.480,5.129,6.100
1985-01-16,5.660,4.519,5.511
1985-02-16,6.450,3.563,4.512
1985-03-16,9.160,4.112,2.785
1985-04-16,11.190,24.758,5.310
1985-05-16,11.700,67.317,15.892
1985-06-16,14.570,25.361,6.285
1985-07-16,5.070,9.493,2.199
1985-08-16,3.660,5.564,1.700
1985-09-16,4.880,3.862,1.996
1985-10-16,6.550,4.416,6.300
1985-11-16,4.750,5.156,6.772
1985-12-16,7.412,5.268,6.394
1986-01-16,5.851,5.413,6.013
1986-02-16,20.420,10.329,10.786
1986-03-16,22.820,29.048,19.555
1986-04-16,19.790,49.306,15.220
1986-05-16,33.440,104.850,40.676
1986-06-16,49.480,105.976,43.878
1986-07-16,25.450,26.593,11.502
1986-08-16,12.030,8.603,4.010
1986-09-16,6.650,4.839,3.921
1986-10-16,7.280,3.863,4.870
1986-11-16,5.880,3.363,4.821
1986-12-16,5.520,2.913,3.882
1987-01-16,5.510,2.492,3.906
1987-02-16,7.740,2.104,3.932
1987-03-16,4.150,3.703,2.590
1987-04-16,4.990,12.170,1.244
1987-05-16,7.800,32.048,4.264
1987-06-16,4.380,14.329,2.442
1987-07-16,1.180,7.949,1.624
