Date,FNF,Qsim,QsimBC
1979-10-16,148.610,72.047,203.514
1979-11-16,144.290,159.839,265.726
1979-12-16,196.280,262.138,351.587
1980-01-16,1447.380,1634.320,1130.163
1980-02-16,1158.060,1481.801,1188.421
1980-03-16,650.490,913.473,745.043
1980-04-16,579.840,450.447,500.336
1980-05-16,565.170,303.362,418.212
1980-06-16,282.350,150.130,203.706
1980-07-16,158.490,102.271,133.522
1980-08-16,72.130,63.359,115.593
1980-09-16,129.820,40.554,99.476
1980-10-16,93.730,31.328,100.511
1980-11-16,90.880,24.237,104.286
1980-12-16,233.630,135.431,188.554
1981-01-16,262.910,222.050,231.209
1981-02-16,362.230,478.882,392.678
1981-03-16,406.730,675.800,577.477
1981-04-16,385.540,468.751,518.084
1981-05-16,280.560,237.728,383.322
1981-06-16,118.650,120.681,160.898
1981-07-16,88.890,69.868,95.047
1981-08-16,76.160,45.724,77.877
1981-09-16,77.720,32.063,78.161
1981-10-16,147.000,40.330,123.789
1981-11-16,1240.390,1360.958,1318.900
1981-12-16,1326.310,1522.673,1536.697
1982-01-16,654.970,708.601,628.090
1982-02-16,1146.290,1249.250,996.686
1982-03-16,883.280,1026.618,779.871
1982-04-16,1689.180,1750.250,1733.697
1982-05-16,998.500,635.340,906.130
1982-06-16,441.830,194.550,278.739
1982-07-16,220.920,116.545,193.578
1982-08-16,125.890,68.444,127.386
1982-09-16,123.410,43.061,105.799
1982-10-16,213.240,53.668,155.325
1982-11-16,349.740,277.432,346.784
1982-12-16,633.160,802.891,711.208
1983-01-16,712.600,877.627,677.368
1983-02-16,1196.480,1392.433,1138.801
1983-03-16,2028.930,2372.528,1987.597
1983-04-16,1024.040,1092.591,911.652
1983-05-16,1426.710,1249.002,1322.308
1983-06-16,1121.710,706.357,959.492
1983-07-16,367.980,229.106,355.245
1983-08-16,197.330,119.769,171.927
1983-09-16,145.980,65.153,158.454
1983-10-16,156.100,45.486,147.230
1983-11-16,747.030,770.852,838.315
1983-12-16,1397.880,1492.553,1478.573
1984-01-16,595.060,657.354,567.837
1984-02-16,494.770,551.656,448.642
1984-03-16,710.730,816.045,669.166
1984-04-16,512.920,522.529,554.689
1984-05-16,510.640,384.395,536.745
1984-06-16,278.060,182.108,221.514
1984-07-16,154.280,111.074,171.209
1984-08-16,98.070,61.888,108.196
1984-09-16,111.310,41.571,102.238
1984-10-16,130.680,31.915,102.592
1984-11-16,324.120,270.105,350.088
1984-12-16,194.810,258.764,332.748
1985-01-16,157.980,157.601,173.524
1985-02-16,239.270,280.835,221.596
1985-03-16,328.800,360.623,331.566
1985-04-16,559.820,557.483,564.740
1985-05-16,290.170,228.366,331.000
1985-06-16,131.520,113.094,139.115
1985-07-16,101.550,64.309,88.573
1985-08-16,83.720,41.439,72.687
1985-09-16,99.130,30.932,68.490
1985-10-16,92.590,24.487,73.504
1985-11-16,139.581,26.939,105.597
1985-12-16,198.717,228.023,232.762
1986-01-16,517.788,518.848,448.097
1986-02-16,2677.100,2682.175,2443.147
1986-03-16,1489.440,1572.135,1323.207
1986-04-16,584.061,592.262,587.516
1986-05-16,445.865,399.796,575.768
1986-06-16,223.909,206.467,374.418
1986-07-16,132.610,110.252,168.947
1986-08-16,100.536,60.574,99.203
1986-09-16,157.899,39.485,96.697
1986-10-16,121.703,44.707,145.807
1986-11-16,104.251,37.321,139.088
1986-12-16,119.888,39.862,110.040
1987-01-16,171.685,116.628,124.062
1987-02-16,312.597,398.962,312.305
1987-03-16,582.860,597.950,465.728
1987-04-16,298.867,318.380,321.558
1987-05-16,190.240,175.039,219.923
1987-06-16,107.223,82.791,107.739
1987-07-16,79.786,51.450,76.868
1987-08-16,73.376,35.239,65.972
1987-09-16,64.623,25.198,55.963
1987-10-16,64.069,20.167,56.028
1987-11-16,85.493,15.897,66.924
1987-12-16,352.855,352.911,380.469
1988-01-16,289.595,341.310,310.594
1988-02-16,185.080,315.718,239.488
1988-03-16,250.878,240.190,283.363
1988-04-16,238.061,206.677,259.449
1988-05-16,220.487,179.600,218.690
1988-06-16,138.903,122.422,167.077
1988-07-16,92.768,77.446,105.079
1988-08-16,74.867,44.315,77.823
1988-09-16,55.690,29.274,65.205
1988-10-16,58.048,22.291,63.749
1988-11-16,242.706,202.038,340.698
1988-12-16,120.443,137.528,196.842
1989-01-16,141.536,186.972,184.085
1989-02-16,204.879,249.399,212.225
1989-03-16,1516.550,1709.879,1500.876
1989-04-16,682.637,604.619,586.648
1989-05-16,308.510,241.124,400.331
1989-06-16,161.767,131.907,186.984
1989-07-16,80.020,80.509,115.149
1989-08-16,78.199,47.567,83.799
1989-09-16,91.913,32.294,78.438
1989-10-16,152.176,92.955,275.122
1989-11-16,132.162,79.763,165.982
1989-12-16,68.082,98.497,155.263
1990-01-16,250.376,301.200,283.731
1990-02-16,171.719,212.688,192.715
1990-03-16,397.661,518.866,411.778
1990-04-16,317.709,315.947,308.542
1990-05-16,216.607,206.505,290.468
1990-06-16,212.010,227.373,425.518
1990-07-16,95.470,86.423,132.114
1990-08-16,70.970,51.706,94.439
1990-09-16,86.066,34.514,91.829
1990-10-16,40.225,26.363,91.375
1990-11-16,66.032,19.934,80.989
1990-12-16,61.803,17.005,76.458
1991-01-16,69.429,16.504,93.337
1991-02-16,96.989,33.330,38.743
1991-03-16,538.962,700.178,599.705
1991-04-16,397.277,582.949,583.135
1991-05-16,363.595,302.555,444.415
1991-06-16,186.385,139.918,191.687
1991-07-16,104.134,78.821,112.490
1991-08-16,73.344,48.493,92.358
1991-09-16,58.389,32.775,81.638
1991-10-16,60.416,26.105,89.423
1991-11-16,71.610,21.791,87.636
1991-12-16,89.476,33.377,92.612
1992-01-16,100.830,129.202,154.120
1992-02-16,385.735,652.709,526.724
1992-03-16,342.576,481.548,362.918
1992-04-16,370.287,328.953,323.998
1992-05-16,171.780,158.558,204.351
1992-06-16,96.952,82.108,107.398
1992-07-16,86.471,51.761,79.795
1992-08-16,65.894,35.440,67.169
1992-09-16,55.513,24.919,56.291
1992-10-16,72.954,19.831,53.614
1992-11-16,67.000,23.171,101.477
1992-12-16,230.858,209.987,223.399
1993-01-16,672.220,880.691,713.676
1993-02-16,565.937,624.147,474.784
1993-03-16,1361.130,1404.814,1126.765
1993-04-16,950.481,1279.526,1229.689
1993-05-16,905.081,826.349,1112.214
1993-06-16,520.639,418.110,811.808
1993-07-16,166.619,146.677,279.982
1993-08-16,107.333,79.777,140.505
1993-09-16,93.236,47.619,125.061
1993-10-16,99.448,37.121,123.526
1993-11-16,95.624,28.852,112.034
1993-12-16,153.724,146.267,201.066
1994-01-16,152.398,139.983,164.567
1994-02-16,226.422,299.618,236.892
1994-03-16,329.761,576.064,445.547
1994-04-16,271.277,293.307,307.930
1994-05-16,250.107,226.735,308.295
1994-06-16,107.576,115.179,143.518
1994-07-16,76.951,65.812,92.463
1994-08-16,65.957,42.228,75.317
1994-09-16,62.073,29.381,65.573
1994-10-16,60.231,23.121,69.616
1994-11-16,103.701,21.331,82.061
1994-12-16,204.036,249.448,233.742
1995-01-16,1520.720,1926.507,1709.492
1995-02-16,606.254,824.007,756.414
1995-03-16,2282.680,2674.832,2287.453
1995-04-16,1337.530,1371.265,1393.302
1995-05-16,1682.170,1690.358,1930.862
1995-06-16,869.994,618.170,971.333
1995-07-16,353.759,237.919,369.049
1995-08-16,153.155,102.762,157.078
1995-09-16,105.283,59.398,140.240
1995-10-16,104.412,41.604,131.000
1995-11-16,107.618,30.136,121.909
1995-12-16,351.054,257.398,269.980
1996-01-16,460.223,523.594,496.843
1996-02-16,1279.220,1691.937,1399.959
1996-03-16,857.386,1156.438,949.803
1996-04-16,882.222,1012.447,930.283
1996-05-16,1018.200,838.064,1122.091
1996-06-16,337.321,235.447,448.809
1996-07-16,170.330,111.571,172.772
1996-08-16,110.920,64.492,120.774
1996-09-16,103.962,43.980,113.745
1996-10-16,105.277,33.262,112.715
1996-11-16,222.976,105.543,167.684
1996-12-16,1506.300,1357.663,1351.716
1997-01-16,2539.490,2905.626,2410.417
1997-02-16,530.446,732.628,656.568
1997-03-16,532.058,590.286,445.051
1997-04-16,496.537,411.168,402.965
1997-05-16,325.351,217.697,293.216
1997-06-16,187.088,119.834,148.861
1997-07-16,116.110,75.614,100.024
1997-08-16,100.942,49.241,92.760
1997-09-16,91.791,33.731,83.361
1997-10-16,103.433,31.112,98.811
1997-11-16,192.235,159.517,256.994
1997-12-16,232.756,318.885,364.405
1998-01-16,970.336,1234.800,878.177
1998-02-16,1116.980,1499.650,1204.148
1998-03-16,981.205,1166.357,894.865
1998-04-16,886.443,883.387,809.348
1998-05-16,1081.940,1118.780,1375.091
1998-06-16,976.941,741.032,1176.775
1998-07-16,369.715,254.771,394.044
1998-08-16,161.161,112.269,176.971
1998-09-16,125.966,64.925,157.434
1998-10-16,128.687,45.095,147.805
1998-11-16,338.904,141.327,209.614
1998-12-16,419.991,601.186,530.074
1999-01-16,567.844,512.485,425.576
1999-02-16,952.118,1118.201,923.078
1999-03-16,810.591,1113.256,874.306
1999-04-16,682.722,771.979,685.813
1999-05-16,694.638,536.116,699.087
1999-06-16,319.434,202.314,343.575
1999-07-16,145.839,105.787,147.733
1999-08-16,116.811,59.868,95.787
1999-09-16,100.153,38.571,93.223
1999-10-16,97.779,30.074,97.925
1999-11-16,150.969,40.183,140.546
1999-12-16,122.886,59.279,120.541
2000-01-16,432.282,320.140,279.984
2000-02-16,978.003,1226.875,1072.401
2000-03-16,761.355,1134.376,880.554
2000-04-16,698.406,854.005,797.541
2000-05-16,488.078,357.223,490.906
2000-06-16,207.806,153.607,213.678
2000-07-16,131.317,82.157,114.875
2000-08-16,93.920,49.983,93.371
2000-09-16,82.166,34.293,90.142
2000-10-16,110.612,27.210,91.602
2000-11-16,96.402,23.440,103.758
2000-12-16,122.721,47.326,113.956
2001-01-16,137.807,101.099,113.834
2001-02-16,211.544,248.005,204.180
2001-03-16,396.483,520.543,419.807
2001-04-16,338.608,398.263,390.067
2001-05-16,296.999,233.401,358.632
2001-06-16,107.057,96.518,117.235
2001-07-16,85.965,56.934,84.990
2001-08-16,70.958,38.223,71.279
2001-09-16,65.448,27.008,61.497
