Date,FNF,Qsim,QsimBC
1979-10-16,32.264,54.982,45.295
1979-11-16,28.065,34.519,36.456
1979-12-16,29.100,33.371,44.405
1980-01-16,308.426,277.580,284.938
1980-02-16,270.480,252.191,266.244
1980-03-16,190.328,171.979,182.838
1980-04-16,290.091,99.060,128.275
1980-05-16,523.142,214.617,180.061
1980-06-16,713.844,397.460,213.489
1980-07-16,454.872,1012.730,489.870
1980-08-16,118.224,474.249,144.120
1980-09-16,32.748,120.506,58.289
1980-10-16,18.380,50.807,39.209
1980-11-16,17.879,30.723,35.912
1980-12-16,25.194,25.399,38.542
1981-01-16,27.469,22.885,34.505
1981-02-16,46.394,30.595,40.062
1981-03-16,69.202,75.146,83.261
1981-04-16,200.248,113.756,148.915
1981-05-16,342.658,395.780,523.945
1981-06-16,213.210,411.709,241.601
1981-07-16,40.459,155.140,71.036
1981-08-16,14.934,108.996,47.362
1981-09-16,12.278,70.713,39.281
1981-10-16,18.429,34.912,28.486
1981-11-16,57.174,27.943,29.241
1981-12-16,54.905,44.986,67.587
1982-01-16,100.212,90.007,114.687
1982-02-16,130.266,141.633,176.998
1982-03-16,177.148,188.280,195.385
1982-04-16,528.055,412.602,589.296
1982-05-16,699.263,483.706,583.637
1982-06-16,600.419,704.175,712.247
1982-07-16,369.040,514.233,207.633
1982-08-16,133.406,321.973,127.755
1982-09-16,184.570,150.062,59.271
1982-10-16,125.825,136.818,116.503
1982-11-16,141.292,130.211,203.160
1982-12-16,203.575,206.605,202.704
1983-01-16,195.052,185.956,182.886
1983-02-16,224.451,209.318,190.545
1983-03-16,329.398,319.596,373.035
1983-04-16,209.055,146.276,205.630
1983-05-16,662.900,276.908,296.605
1983-06-16,1155.140,885.838,881.397
1983-07-16,671.664,1198.241,699.032
1983-08-16,277.537,661.060,192.875
1983-09-16,90.814,206.542,197.964
1983-10-16,51.273,83.296,76.034
1983-11-16,116.776,74.845,99.359
1983-12-16,176.752,180.289,186.204
1984-01-16,105.090,130.137,150.392
1984-02-16,93.756,88.833,87.124
1984-03-16,148.048,129.042,160.182
1984-04-16,205.891,118.169,161.018
1984-05-16,511.422,433.109,560.563
1984-06-16,252.364,658.069,634.752
1984-07-16,165.801,250.907,101.212
1984-08-16,75.806,109.685,44.684
1984-09-16,31.532,62.189,36.138
1984-10-16,28.562,32.171,25.570
1984-11-16,44.615,22.864,23.982
1984-12-16,41.691,25.006,37.078
1985-01-16,42.356,23.367,32.414
1985-02-16,49.619,24.211,33.704
1985-03-16,77.914,45.904,54.960
1985-04-16,267.439,123.404,169.426
1985-05-16,354.695,519.714,676.133
1985-06-16,206.230,357.667,168.062
1985-07-16,77.269,154.856,64.033
1985-08-16,22.735,71.794,38.185
1985-09-16,22.923,41.595,20.850
1985-10-16,23.491,23.683,16.864
1985-11-16,38.174,20.189,20.554
1985-12-16,67.020,32.726,40.970
1986-01-16,95.057,82.157,103.700
1986-02-16,385.981,382.066,371.540
1986-03-16,369.694,285.808,312.679
1986-04-16,371.664,187.806,247.972
1986-05-16,735.795,367.028,429.868
1986-06-16,702.458,1009.713,1234.830
1986-07-16,267.471,654.786,299.247
1986-08-16,96.326,146.958,73.706
1986-09-16,36.508,59.461,32.044
1986-10-16,30.500,35.225,27.847
1986-11-16,18.900,29.695,35.491
1986-12-16,16.400,24.468,37.095
1987-01-16,19.600,20.301,28.225
1987-02-16,34.300,29.754,40.047
1987-03-16,56.400,57.473,71.369
1987-04-16,181.300,131.659,200.390
1987-05-16,230.800,394.525,520.552
1987-06-16,113.900,108.492,59.062
1987-07-16,35.000,79.282,31.765
1987-08-16,14.500,62.182,24.050
1987-09-16,12.660,35.722,17.376
1987-10-16,13.527,21.398,14.318
1987-11-16,20.920,17.079,18.180
1987-12-16,23.796,22.239,31.557
1988-01-16,60.968,40.933,55.682
1988-02-16,40.118,44.011,51.591
1988-03-16,79.543,82.142,97.799
1988-04-16,151.832,186.843,249.596
1988-05-16,224.311,237.090,228.659
1988-06-16,130.612,339.844,160.805
1988-07-16,31.995,152.340,63.451
1988-08-16,23.718,66.670,29.022
1988-09-16,18.607,40.533,20.517
1988-10-16,9.290,23.702,17.478
1988-11-16,17.354,16.244,17.813
1988-12-16,24.217,15.022,14.348
1989-01-16,26.172,14.981,19.784
1989-02-16,40.785,16.506,25.055
1989-03-16,112.472,95.928,116.761
1989-04-16,250.407,268.609,369.911
1989-05-16,232.682,287.071,321.660
1989-06-16,130.116,356.825,176.847
1989-07-16,25.670,146.340,55.901
1989-08-16,12.385,56.028,22.234
1989-09-16,15.844,31.793,12.415
1989-10-16,18.954,25.765,19.025
1989-11-16,15.904,24.052,26.843
1989-12-16,13.395,27.625,39.446
1990-01-16,21.297,29.293,48.314
1990-02-16,26.962,25.958,36.253
1990-03-16,70.398,64.189,77.920
1990-04-16,168.588,221.932,302.856
1990-05-16,181.018,246.552,231.565
1990-06-16,114.248,198.436,109.877
1990-07-16,32.055,109.962,42.512
1990-08-16,12.202,52.015,20.690
1990-09-16,9.009,33.349,15.706
1990-10-16,10.445,21.003,14.036
1990-11-16,8.505,14.736,15.842
1990-12-16,9.602,12.186,12.841
1991-01-16,10.749,10.622,11.126
1991-02-16,9.265,10.283,22.430
1991-03-16,124.239,85.405,96.238
1991-04-16,127.606,146.562,207.336
1991-05-16,305.060,209.426,179.607
1991-06-16,337.709,549.785,314.025
1991-07-16,85.933,227.225,88.371
1991-08-16,15.622,69.754,35.666
1991-09-16,16.199,38.078,18.943
1991-10-16,14.240,24.730,18.420
1991-11-16,21.971,17.649,18.883
1991-12-16,15.219,19.529,24.346
1992-01-16,20.694,19.693,26.707
1992-02-16,50.480,41.660,49.391
1992-03-16,59.386,89.675,104.864
1992-04-16,190.380,244.019,342.699
1992-05-16,223.060,443.274,570.857
1992-06-16,61.947,126.501,69.128
1992-07-16,24.284,75.742,31.606
