Date,FNF,Qsim,QsimBC
1979-10-16,18.185,41.925,32.386
1979-11-16,18.191,30.626,25.201
1979-12-16,17.943,27.499,31.543
1980-01-16,138.623,237.093,115.559
1980-02-16,159.033,275.354,143.086
1980-03-16,130.700,205.954,119.220
1980-04-16,204.072,258.691,185.621
1980-05-16,284.376,350.614,272.859
1980-06-16,274.923,278.673,229.195
1980-07-16,198.878,397.643,244.826
1980-08-16,69.894,211.191,78.515
1980-09-16,35.094,79.463,55.494
1980-10-16,27.101,45.572,42.076
1980-11-16,24.322,31.186,28.396
1980-12-16,28.610,25.134,25.928
1981-01-16,25.843,20.827,22.259
1981-02-16,32.239,20.188,20.040
1981-03-16,43.185,49.147,29.278
1981-04-16,67.534,95.278,49.057
1981-05-16,90.787,138.899,87.888
1981-06-16,65.684,158.501,67.321
1981-07-16,25.480,91.862,30.159
1981-08-16,15.618,59.340,27.720
1981-09-16,12.254,41.216,16.649
1981-10-16,14.040,28.731,14.988
1981-11-16,18.456,20.965,14.454
1981-12-16,21.463,18.158,13.716
1982-01-16,33.811,18.838,19.800
1982-02-16,49.500,31.886,23.498
1982-03-16,71.368,68.877,38.096
1982-04-16,202.876,183.283,131.468
1982-05-16,253.013,246.193,161.170
1982-06-16,194.865,238.354,143.720
1982-07-16,124.608,182.095,73.413
1982-08-16,58.083,126.960,69.224
1982-09-16,60.584,61.383,36.551
1982-10-16,45.091,58.711,49.554
1982-11-16,55.225,48.441,68.294
1982-12-16,73.679,69.620,48.090
1983-01-16,80.980,98.823,68.511
1983-02-16,121.218,151.922,100.323
1983-03-16,227.410,339.107,206.363
1983-04-16,182.141,242.472,143.685
1983-05-16,465.938,440.059,425.789
1983-06-16,567.208,691.636,606.120
1983-07-16,285.287,438.019,266.596
1983-08-16,152.620,210.909,70.914
1983-09-16,61.129,85.315,63.218
1983-10-16,46.690,55.318,44.680
1983-11-16,66.042,43.695,47.403
1983-12-16,93.679,95.844,80.401
1984-01-16,68.847,112.683,73.057
1984-02-16,54.154,92.367,47.350
1984-03-16,77.234,126.455,63.821
1984-04-16,87.742,142.613,67.237
1984-05-16,159.370,149.139,92.426
1984-06-16,90.537,224.048,116.285
1984-07-16,72.440,119.109,37.982
1984-08-16,45.652,60.213,23.702
1984-09-16,26.888,41.535,16.177
1984-10-16,26.311,31.064,17.706
1984-11-16,33.600,24.522,18.623
1984-12-16,35.455,25.633,28.759
1985-01-16,36.705,28.071,27.703
1985-02-16,36.964,35.262,26.572
1985-03-16,48.869,77.180,40.786
1985-04-16,133.569,164.828,79.183
1985-05-16,147.366,218.973,161.221
1985-06-16,100.242,189.495,88.684
1985-07-16,38.500,103.501,32.680
1985-08-16,23.340,53.209,14.940
1985-09-16,16.796,36.031,11.468
1985-10-16,16.082,27.065,12.772
1985-11-16,21.247,20.832,12.984
1985-12-16,31.716,24.893,24.743
1986-01-16,39.805,54.507,40.614
1986-02-16,143.610,286.749,164.607
1986-03-16,196.178,302.550,158.868
1986-04-16,198.642,274.239,202.999
1986-05-16,283.900,360.887,283.604
1986-06-16,250.417,389.699,345.801
1986-07-16,107.524,279.817,124.333
1986-08-16,46.110,89.602,44.119
1986-09-16,24.270,48.139,26.399
1986-10-16,32.274,34.665,23.708
1986-11-16,23.378,26.975,22.198
1986-12-16,22.665,23.610,23.607
1987-01-16,23.824,20.680,22.218
1987-02-16,27.319,27.301,20.649
1987-03-16,37.016,61.315,36.126
1987-04-16,55.361,113.242,57.022
1987-05-16,72.773,163.550,121.798
1987-06-16,58.005,99.995,31.161
1987-07-16,26.498,68.421,19.965
1987-08-16,13.408,48.446,13.660
1987-09-16,10.150,33.413,10.685
1987-10-16,11.792,25.548,10.122
1987-11-16,13.448,19.796,11.476
1987-12-16,15.198,18.573,15.773
1988-01-16,21.493,22.923,24.208
1988-02-16,18.597,40.836,31.429
1988-03-16,28.410,66.025,38.141
1988-04-16,39.113,96.974,54.801
1988-05-16,57.438,108.609,71.063
1988-06-16,41.521,133.605,49.252
1988-07-16,19.775,104.265,35.605
1988-08-16,13.676,55.820,22.640
1988-09-16,10.957,37.304,14.928
