Date,FNF,Qsim,QsimBC
1979-10-16,7.151,13.910,7.592
1979-11-16,7.448,12.051,10.673
1979-12-16,7.141,11.784,15.446
1980-01-16,143.236,88.985,74.938
1980-02-16,130.130,137.407,121.155
1980-03-16,92.711,104.735,100.785
1980-04-16,96.136,57.472,57.449
1980-05-16,126.584,87.248,88.858
1980-06-16,153.646,132.508,84.787
1980-07-16,89.099,207.046,157.091
1980-08-16,23.028,79.405,35.425
1980-09-16,8.220,26.778,20.009
1980-10-16,5.649,16.868,14.091
1980-11-16,5.482,12.000,10.618
1980-12-16,8.769,10.265,14.758
1981-01-16,8.957,9.062,14.602
1981-02-16,16.753,10.192,12.978
1981-03-16,25.450,22.595,28.105
1981-04-16,51.139,37.891,37.191
1981-05-16,71.564,84.394,76.519
1981-06-16,38.902,66.408,40.236
1981-07-16,10.487,24.497,9.754
1981-08-16,3.469,14.920,3.216
1981-09-16,1.781,10.262,2.033
1981-10-16,4.550,8.041,2.550
1981-11-16,11.770,6.618,4.493
1981-12-16,14.712,8.100,8.798
1982-01-16,32.625,21.372,22.274
1982-02-16,40.340,32.535,31.824
1982-03-16,63.190,71.295,65.337
1982-04-16,190.850,176.926,185.253
1982-05-16,173.102,136.680,151.703
1982-06-16,118.808,136.197,117.092
1982-07-16,65.601,70.785,43.557
1982-08-16,22.751,29.541,19.802
1982-09-16,33.339,19.762,8.098
1982-10-16,34.695,27.146,32.743
1982-11-16,51.521,34.968,68.550
1982-12-16,86.740,71.141,74.898
1983-01-16,95.073,99.693,140.079
1983-02-16,119.054,133.803,124.130
1983-03-16,172.703,197.087,167.508
1983-04-16,99.696,92.172,104.353
1983-05-16,202.682,124.376,139.106
1983-06-16,284.412,247.914,306.334
1983-07-16,162.216,233.863,178.743
1983-08-16,68.524,107.942,40.998
1983-09-16,24.689,35.708,39.863
1983-10-16,16.415,23.325,31.728
1983-11-16,43.581,25.205,49.914
1983-12-16,68.724,63.979,75.684
1984-01-16,45.273,58.934,55.257
1984-02-16,38.462,44.521,41.043
1984-03-16,47.544,55.420,48.749
1984-04-16,53.941,50.289,54.370
1984-05-16,110.326,104.811,103.415
1984-06-16,48.524,108.672,68.194
1984-07-16,27.771,33.374,16.431
1984-08-16,11.417,19.070,7.594
1984-09-16,4.866,12.839,3.798
1984-10-16,7.734,9.983,4.702
1984-11-16,15.402,8.462,7.020
1984-12-16,15.037,11.264,14.939
1985-01-16,17.790,14.127,18.967
1985-02-16,21.271,16.140,17.304
1985-03-16,28.856,25.240,30.125
1985-04-16,73.622,52.780,54.387
1985-05-16,90.412,124.473,141.704
1985-06-16,43.897,89.923,54.586
1985-07-16,9.969,30.995,15.370
1985-08-16,3.197,17.429,4.743
1985-09-16,5.197,11.792,3.079
1985-10-16,5.857,9.406,4.222
1985-11-16,10.630,7.602,5.539
1985-12-16,22.699,13.905,16.815
