Date,FNF,Qsim,QsimBC
1979-10-16,10.089,11.679,11.364
1979-11-16,17.149,11.111,19.412
1979-12-16,18.809,16.016,29.083
1980-01-16,243.378,238.088,158.867
1980-02-16,156.679,208.033,133.817
1980-03-16,96.375,162.028,139.360
1980-04-16,134.049,85.772,91.047
1980-05-16,201.723,137.669,154.940
1980-06-16,177.159,154.608,177.504
1980-07-16,70.288,75.647,89.914
1980-08-16,7.416,26.333,17.297
1980-09-16,2.648,14.953,5.808
1980-10-16,1.839,10.606,9.996
1980-11-16,3.624,7.621,14.366
1980-12-16,6.421,6.624,9.205
1981-01-16,15.196,8.139,12.358
1981-02-16,26.497,24.227,22.168
1981-03-16,43.914,59.058,52.298
1981-04-16,110.676,101.644,118.262
1981-05-16,125.783,109.967,139.389
1981-06-16,34.018,44.721,36.140
1981-07-16,0.965,23.974,5.806
1981-08-16,0.379,14.900,2.162
1981-09-16,0.350,10.035,1.799
1981-10-16,6.020,7.704,2.194
1981-11-16,76.794,41.866,60.858
1981-12-16,128.089,121.361,128.624
1982-01-16,89.265,172.450,107.997
1982-02-16,202.484,240.267,168.125
1982-03-16,149.102,183.948,160.163
1982-04-16,292.511,275.999,315.962
1982-05-16,306.367,264.040,366.303
1982-06-16,191.932,183.521,247.870
1982-07-16,66.494,60.047,60.443
1982-08-16,18.139,25.834,8.874
1982-09-16,20.264,15.150,5.856
1982-10-16,66.087,18.136,38.205
1982-11-16,62.554,58.971,107.245
1982-12-16,103.191,162.468,169.561
1983-01-16,92.294,139.768,73.854
1983-02-16,135.022,190.585,125.482
1983-03-16,247.557,287.336,262.128
1983-04-16,137.117,138.755,150.925
1983-05-16,315.407,188.780,249.162
1983-06-16,400.945,329.573,450.025
1983-07-16,222.956,193.882,183.265
1983-08-16,41.404,46.384,25.761
1983-09-16,23.857,23.784,21.620
1983-10-16,16.670,18.342,66.838
1983-11-16,161.577,90.252,117.529
1983-12-16,194.151,222.869,222.215
1984-01-16,90.964,143.854,81.503
1984-02-16,63.124,65.661,62.143
1984-03-16,90.224,87.684,66.182
1984-04-16,94.713,77.695,83.668
1984-05-16,228.586,174.027,223.225
1984-06-16,109.725,180.474,205.522
1984-07-16,22.786,46.360,34.351
1984-08-16,4.926,22.179,7.110
1984-09-16,2.740,13.517,4.343
1984-10-16,8.901,9.839,6.343
1984-11-16,34.784,13.068,27.444
1984-12-16,20.928,32.828,65.063
1985-01-16,19.408,32.002,41.768
1985-02-16,27.986,33.512,32.935
1985-03-16,46.476,57.491,51.589
1985-04-16,138.419,109.192,125.821
1985-05-16,141.660,163.279,222.653
1985-06-16,34.321,47.373,54.186
1985-07-16,4.124,24.406,6.828
1985-08-16,2.171,15.038,2.245
1985-09-16,4.872,10.220,1.883
1985-10-16,6.002,8.457,3.666
1985-11-16,14.137,7.596,14.093
1985-12-16,29.275,18.489,30.176
1986-01-16,70.831,68.218,65.340
1986-02-16,340.205,371.994,324.111
1986-03-16,237.479,252.215,203.237
1986-04-16,142.872,133.324,137.883
1986-05-16,207.460,198.227,274.944
1986-06-16,147.827,117.202,107.154
1986-07-16,24.115,33.947,17.133
1986-08-16,6.385,18.682,4.359
1986-09-16,5.725,11.941,3.659
1986-10-16,7.980,9.082,4.363
1986-11-16,4.003,6.924,8.371
1986-12-16,4.799,5.795,8.430
1987-01-16,7.861,4.949,5.980
1987-02-16,18.562,9.327,8.985
1987-03-16,37.923,40.941,40.544
1987-04-16,84.995,79.425,86.479
1987-05-16,79.668,51.315,60.066
1987-06-16,11.143,28.045,13.512
1987-07-16,3.452,17.724,2.097
1987-08-16,1.454,11.869,0.000
1987-09-16,1.436,8.303,0.000
1987-10-16,1.916,6.501,0.198
1987-11-16,5.549,4.938,2.876
1987-12-16,10.310,4.580,3.360
1988-01-16,17.570,8.232,13.286
1988-02-16,19.195,13.313,18.116
1988-03-16,41.048,42.334,39.475
1988-04-16,65.979,57.330,56.567
1988-05-16,67.393,47.727,50.755
1988-06-16,21.987,26.966,8.551
1988-07-16,1.948,17.355,1.327
1988-08-16,0.000,11.511,0.000
