Date,FNF,Qsim,QsimBC
1979-10-16,9.560,9.122,17.666
1979-11-16,8.810,8.024,22.296
1979-12-16,20.750,8.708,29.822
1980-01-16,265.570,313.571,246.679
1980-02-16,258.490,304.589,222.378
1980-03-16,155.800,248.050,166.064
1980-04-16,172.480,104.553,115.281
1980-05-16,285.790,164.037,139.846
1980-06-16,288.820,216.594,128.794
1980-07-16,136.630,366.350,248.510
1980-08-16,30.610,160.871,51.789
1980-09-16,12.200,35.079,29.187
1980-10-16,9.810,12.168,29.391
1980-11-16,5.700,6.398,17.767
1980-12-16,9.630,5.420,21.029
1981-01-16,21.420,5.507,14.835
1981-02-16,26.870,25.299,30.699
1981-03-16,52.240,86.357,59.287
1981-04-16,121.990,133.510,138.074
1981-05-16,158.820,205.322,228.811
1981-06-16,68.890,174.875,95.275
1981-07-16,16.000,31.783,22.700
1981-08-16,4.610,16.019,12.214
1981-09-16,5.030,8.057,7.303
1981-10-16,5.740,3.494,4.986
1981-11-16,50.150,19.556,29.287
1981-12-16,63.600,73.797,85.076
1982-01-16,135.060,179.711,105.899
1982-02-16,202.630,308.084,238.026
1982-03-16,189.420,269.399,171.832
1982-04-16,428.810,413.366,350.105
1982-05-16,418.280,295.462,337.219
1982-06-16,262.960,287.410,271.326
1982-07-16,123.120,213.175,106.601
1982-08-16,36.490,130.411,34.513
1982-09-16,30.930,26.147,17.445
1982-10-16,51.320,21.764,43.630
1982-11-16,84.140,59.874,154.717
1982-12-16,150.310,196.640,193.205
1983-01-16,185.590,197.846,104.689
1983-02-16,231.920,316.123,253.922
1983-03-16,369.720,427.836,375.461
1983-04-16,197.450,203.867,190.509
1983-05-16,382.290,257.745,317.577
1983-06-16,656.050,449.059,566.832
1983-07-16,351.670,388.818,250.027
1983-08-16,97.050,183.919,54.463
1983-09-16,29.030,33.512,20.393
1983-10-16,28.440,18.327,40.005
1983-11-16,114.310,44.237,74.690
1983-12-16,203.840,237.520,230.241
1984-01-16,93.220,212.387,186.041
1984-02-16,80.790,78.452,62.553
1984-03-16,97.380,99.472,67.562
1984-04-16,128.910,88.754,90.176
1984-05-16,264.660,212.180,262.166
1984-06-16,114.350,233.345,155.896
1984-07-16,46.670,142.843,48.875
1984-08-16,8.030,20.947,13.237
1984-09-16,0.000,9.659,9.767
1984-10-16,8.420,5.111,10.774
1984-11-16,28.110,5.562,13.186
1984-12-16,21.370,13.285,48.598
1985-01-16,18.890,16.784,33.534
1985-02-16,33.260,21.291,24.967
1985-03-16,58.960,61.877,50.639
1985-04-16,147.010,140.548,138.812
1985-05-16,170.940,225.509,281.931
1985-06-16,56.690,88.989,38.384
1985-07-16,12.160,20.266,16.812
1985-08-16,4.830,9.544,8.266
1985-09-16,6.360,5.281,5.526
1985-10-16,11.594,3.284,4.318
1985-11-16,16.267,4.147,10.568
1985-12-16,33.621,12.886,44.509
1986-01-16,44.882,56.428,62.962
1986-02-16,362.110,432.894,333.907
1986-03-16,287.398,395.960,348.696
1986-04-16,191.449,188.082,173.392
1986-05-16,315.612,241.077,305.256
1986-06-16,227.696,360.177,474.521
1986-07-16,50.525,203.986,100.109
1986-08-16,12.165,26.205,16.527
1986-09-16,5.036,10.004,12.234
1986-10-16,6.715,8.137,15.355
1986-11-16,2.552,6.944,21.694
1986-12-16,4.646,5.850,21.645
1987-01-16,5.897,5.460,15.879
1987-02-16,18.392,8.321,16.527
1987-03-16,36.302,49.435,48.806
1987-04-16,94.972,102.638,115.694
1987-05-16,94.672,151.882,132.393
1987-06-16,25.016,27.281,21.092
1987-07-16,6.033,13.529,11.691
1987-08-16,2.555,6.560,4.515
1987-09-16,0.000,3.677,2.057
1987-10-16,4.160,2.326,1.697
1987-11-16,15.028,1.960,5.128
1987-12-16,12.877,3.280,9.846
1988-01-16,27.550,8.934,19.941
1988-02-16,24.188,21.063,26.344
1988-03-16,48.461,44.669,41.036
1988-04-16,92.724,95.699,104.893
1988-05-16,106.668,113.092,89.174
1988-06-16,54.885,109.238,53.160
1988-07-16,19.307,30.622,20.572
1988-08-16,6.318,8.805,7.387
1988-09-16,3.184,4.521,4.869
1988-10-16,1.220,2.949,3.855
1988-11-16,4.901,2.072,6.131
1988-12-16,9.678,2.388,7.885
1989-01-16,12.134,5.136,14.433
1989-02-16,22.710,12.577,20.829
1989-03-16,95.563,170.570,116.208
1989-04-16,160.188,165.201,152.954
