Date,FNF,Qsim,QsimBC
1979-10-16,50.940,28.694,80.299
1979-11-16,59.580,96.166,88.070
1979-12-16,60.130,110.255,89.049
1980-01-16,166.950,324.579,171.792
1980-02-16,231.730,344.479,244.552
1980-03-16,148.490,180.473,118.940
1980-04-16,104.900,113.060,94.470
1980-05-16,86.660,80.803,79.038
1980-06-16,64.220,54.353,68.111
1980-07-16,58.500,44.822,73.546
1980-08-16,53.230,27.313,64.593
1980-09-16,49.290,18.716,63.665
1980-10-16,50.000,15.337,63.079
1980-11-16,47.220,12.391,55.550
1980-12-16,71.040,81.345,78.626
1981-01-16,80.310,157.230,121.396
1981-02-16,97.530,210.574,135.852
1981-03-16,139.200,228.834,153.293
1981-04-16,89.440,113.834,98.773
1981-05-16,70.850,83.373,85.908
1981-06-16,55.230,55.520,72.584
1981-07-16,50.810,34.879,62.936
1981-08-16,46.300,24.329,62.717
1981-09-16,44.370,17.526,58.189
1981-10-16,56.510,16.301,64.244
1981-11-16,174.320,397.341,228.318
1981-12-16,202.450,354.028,208.905
1982-01-16,107.270,118.766,87.720
1982-02-16,167.880,235.483,146.705
1982-03-16,180.580,237.276,156.590
1982-04-16,250.070,346.855,286.266
1982-05-16,140.670,123.011,116.325
1982-06-16,90.770,66.014,77.066
1982-07-16,75.000,46.749,73.241
1982-08-16,64.600,31.366,73.244
1982-09-16,62.590,20.451,70.192
1982-10-16,70.450,29.605,80.685
1982-11-16,73.580,107.061,90.316
1982-12-16,154.820,309.320,189.112
1983-01-16,302.110,360.834,230.660
1983-02-16,280.060,409.471,254.253
1983-03-16,420.780,626.494,432.509
1983-04-16,223.810,239.821,161.721
1983-05-16,198.080,204.831,189.603
1983-06-16,129.310,124.206,127.610
1983-07-16,105.070,77.745,103.589
1983-08-16,90.320,45.296,89.579
1983-09-16,80.250,24.211,75.442
1983-10-16,79.870,17.926,72.160
1983-11-16,130.220,219.734,106.637
1983-12-16,237.100,346.399,201.216
1984-01-16,131.010,129.201,91.275
1984-02-16,111.090,112.781,88.064
1984-03-16,162.900,176.857,103.739
1984-04-16,113.280,108.464,89.686
1984-05-16,102.500,88.043,88.230
1984-06-16,82.360,57.587,73.052
1984-07-16,75.690,39.197,65.508
1984-08-16,71.140,25.720,63.465
1984-09-16,66.900,17.474,57.126
1984-10-16,69.540,13.931,56.432
1984-11-16,106.990,226.621,132.744
1984-12-16,89.700,117.061,90.237
1985-01-16,75.130,59.967,66.789
1985-02-16,68.420,59.484,52.206
1985-03-16,79.910,75.397,69.287
1985-04-16,86.230,86.979,73.106
1985-05-16,68.860,55.224,55.653
1985-06-16,59.820,32.863,43.199
1985-07-16,58.110,24.134,44.290
1985-08-16,56.480,17.510,37.954
1985-09-16,56.670,14.193,42.953
1985-10-16,57.160,12.585,50.349
1985-11-16,55.260,13.208,57.359
1985-12-16,66.740,71.205,72.374
1986-01-16,127.730,326.786,175.533
1986-02-16,365.970,613.750,499.685
1986-03-16,204.470,284.575,191.238
1986-04-16,101.960,95.017,82.397
1986-05-16,87.860,80.002,78.592
1986-06-16,70.490,60.634,75.185
1986-07-16,64.114,33.784,60.634
1986-08-16,59.705,22.462,57.358
1986-09-16,58.162,16.432,53.855
1986-10-16,58.530,16.807,66.202
1986-11-16,55.470,14.666,59.427
1986-12-16,58.780,16.269,53.455
1987-01-16,67.810,60.747,66.992
1987-02-16,87.770,185.740,118.614
1987-03-16,148.860,310.717,221.280
1987-04-16,74.360,97.285,86.645
1987-05-16,64.540,65.085,68.655
1987-06-16,52.800,37.909,55.153
1987-07-16,51.840,27.780,52.347
1987-08-16,38.578,20.761,55.044
1987-09-16,46.496,15.564,50.752
1987-10-16,48.403,12.190,49.818
1987-11-16,48.058,9.697,44.060
1987-12-16,109.873,189.402,124.370
1988-01-16,92.238,110.669,83.316
1988-02-16,68.579,106.049,76.702
1988-03-16,67.908,124.030,84.360
1988-04-16,65.089,104.032,89.279
1988-05-16,68.288,101.177,103.352
1988-06-16,54.053,70.521,81.103
1988-07-16,46.984,41.604,70.594
1988-08-16,43.965,25.821,63.804
1988-09-16,40.937,18.170,59.569
1988-10-16,41.657,14.212,57.026
1988-11-16,57.474,42.885,69.716
1988-12-16,48.806,50.268,66.915
