Date,FNF,Qsim,QsimBC
1979-10-16,203.630,46.798,203.816
1979-11-16,213.540,122.027,199.409
1979-12-16,234.480,137.830,235.816
1980-01-16,798.560,578.384,580.745
1980-02-16,685.010,601.995,625.978
1980-03-16,580.990,456.475,458.670
1980-04-16,391.220,244.516,282.640
1980-05-16,348.660,229.474,253.007
1980-06-16,192.110,126.217,200.113
1980-07-16,154.580,80.313,171.699
1980-08-16,128.700,46.858,158.620
1980-09-16,150.430,30.599,156.229
1980-10-16,173.310,24.242,171.985
1980-11-16,132.270,18.957,149.662
1980-12-16,191.590,84.661,200.999
1981-01-16,229.710,151.768,226.944
1981-02-16,249.700,223.567,249.334
1981-03-16,262.940,304.028,313.715
1981-04-16,250.400,196.066,276.052
1981-05-16,196.230,172.499,225.658
1981-06-16,164.290,90.014,175.451
1981-07-16,142.810,51.711,144.544
1981-08-16,132.050,33.046,129.702
1981-09-16,148.600,23.100,136.075
1981-10-16,164.220,23.835,157.946
1981-11-16,432.830,508.497,627.957
1981-12-16,565.670,587.891,603.041
1982-01-16,416.760,324.819,382.758
1982-02-16,624.510,509.009,545.177
1982-03-16,568.290,505.844,555.319
1982-04-16,758.730,671.677,728.129
1982-05-16,390.120,342.574,349.004
1982-06-16,239.030,148.127,203.700
1982-07-16,178.510,80.186,169.780
1982-08-16,162.400,47.990,158.903
1982-09-16,154.970,31.259,157.065
1982-10-16,178.720,28.971,186.126
1982-11-16,180.520,95.390,204.114
1982-12-16,357.550,317.832,299.609
1983-01-16,436.380,427.232,443.153
1983-02-16,683.780,637.881,645.335
1983-03-16,996.260,1049.369,941.928
1983-04-16,554.720,493.521,500.279
1983-05-16,457.300,481.774,502.856
1983-06-16,313.740,377.368,405.715
1983-07-16,198.150,135.647,207.342
1983-08-16,170.870,68.475,174.976
1983-09-16,171.570,39.939,190.463
1983-10-16,182.260,29.354,188.377
1983-11-16,269.450,235.613,314.738
1983-12-16,548.690,490.649,425.727
1984-01-16,383.530,268.415,305.360
1984-02-16,309.280,247.650,261.184
1984-03-16,424.550,343.791,373.360
1984-04-16,337.750,251.851,294.962
1984-05-16,347.820,307.290,346.185
1984-06-16,239.420,206.269,265.074
1984-07-16,165.560,86.677,177.217
1984-08-16,158.910,44.554,147.721
1984-09-16,167.260,29.564,152.759
1984-10-16,194.390,23.418,153.436
1984-11-16,278.550,208.162,287.040
1984-12-16,250.140,144.790,244.717
1985-01-16,214.430,83.399,199.923
1985-02-16,217.300,103.308,190.502
1985-03-16,251.970,133.554,197.226
1985-04-16,279.800,192.595,260.045
1985-05-16,194.100,166.158,208.332
1985-06-16,175.230,73.466,163.666
1985-07-16,150.060,42.380,131.708
1985-08-16,140.440,28.343,123.621
1985-09-16,157.190,32.910,165.279
1985-10-16,178.602,18.650,147.325
1985-11-16,162.216,20.814,161.568
1985-12-16,213.636,107.185,206.729
1986-01-16,325.717,298.899,382.128
1986-02-16,1152.130,870.000,743.062
1986-03-16,444.631,717.122,728.698
1986-04-16,344.289,337.736,424.399
1986-05-16,284.538,294.251,342.931
1986-06-16,172.142,181.615,241.509
1986-07-16,170.286,75.371,166.136
1986-08-16,139.245,41.954,142.865
1986-09-16,156.222,28.623,150.501
1986-10-16,180.654,24.047,162.350
1986-11-16,165.292,21.777,162.793
1986-12-16,178.744,27.436,162.012
1987-01-16,205.102,92.058,203.629
1987-02-16,246.248,193.172,239.209
1987-03-16,372.951,327.531,343.965
1987-04-16,216.190,142.771,234.036
1987-05-16,190.314,108.120,180.254
1987-06-16,167.329,55.651,152.149
1987-07-16,161.826,36.483,125.787
1987-08-16,113.735,25.824,116.067
1987-09-16,146.000,18.576,124.555
1987-10-16,148.364,14.885,134.791
1987-11-16,152.340,11.841,122.383
1987-12-16,244.904,131.467,225.996
1988-01-16,249.385,145.260,221.187
1988-02-16,211.076,99.284,186.329
1988-03-16,225.906,94.099,167.506
1988-04-16,189.705,116.658,186.387
1988-05-16,207.069,145.648,193.669
1988-06-16,187.204,93.695,176.336
1988-07-16,140.899,47.364,139.526
1988-08-16,142.641,27.714,120.665
1988-09-16,128.450,18.596,124.897
1988-10-16,134.773,14.664,132.669
1988-11-16,182.702,62.140,186.941
1988-12-16,155.068,44.981,174.835
1989-01-16,160.679,70.381,178.526
1989-02-16,187.416,82.026,173.930
1989-03-16,631.751,565.559,570.556
1989-04-16,358.396,308.398,384.957
1989-05-16,223.115,209.232,241.702
1989-06-16,159.604,101.689,187.930
1989-07-16,133.533,57.830,151.262
1989-08-16,139.652,33.709,132.457
1989-09-16,136.860,23.170,136.499
1989-10-16,173.367,58.971,211.455
1989-11-16,151.575,33.918,176.771
1989-12-16,160.901,32.972,169.455
1990-01-16,203.421,144.902,223.138
1990-02-16,148.432,75.704,174.836
1990-03-16,262.797,193.086,247.814
1990-04-16,174.332,118.643,197.445
1990-05-16,181.430,161.598,206.987
1990-06-16,195.399,114.282,190.464
1990-07-16,132.542,51.250,142.941
1990-08-16,129.462,31.332,128.807
1990-09-16,127.344,21.232,130.659
1990-10-16,134.831,16.744,143.673
1990-11-16,131.547,13.029,131.347
1990-12-16,130.070,11.207,142.981
1991-01-16,149.374,9.980,142.709
1991-02-16,136.668,13.265,26.846
1991-03-16,230.113,225.483,262.818
1991-04-16,203.163,133.685,217.354
1991-05-16,229.468,117.137,185.333
1991-06-16,151.571,112.129,191.921
1991-07-16,123.464,52.609,147.988
1991-08-16,117.408,30.148,128.547
1991-09-16,119.629,20.028,128.738
1991-10-16,142.075,15.626,142.125
1991-11-16,132.641,12.025,128.468
1991-12-16,140.756,11.435,151.591
1992-01-16,154.130,21.766,197.325
1992-02-16,217.256,227.566,250.842
1992-03-16,192.502,167.521,243.921
1992-04-16,187.676,135.367,220.583
1992-05-16,148.368,63.891,150.393
1992-06-16,143.846,33.797,116.955
1992-07-16,133.606,23.217,103.651
1992-08-16,113.946,16.437,85.767
1992-09-16,128.737,11.876,74.683
1992-10-16,131.965,11.567,102.152
1992-11-16,131.848,18.277,146.694
1992-12-16,173.804,136.074,234.257
1993-01-16,270.817,256.754,298.883
1993-02-16,330.381,228.158,249.765
1993-03-16,762.273,637.085,603.037
1993-04-16,491.049,510.020,571.921
1993-05-16,320.437,368.154,390.938
1993-06-16,289.229,265.531,291.754
1993-07-16,153.106,99.121,187.651
1993-08-16,128.460,53.171,166.923
1993-09-16,134.799,33.153,168.404
