Date,FNF,Qsim,QsimBC
1979-10-16,378.810,127.294,423.396
1979-11-16,497.350,439.416,615.590
1979-12-16,689.560,664.750,741.635
1980-01-16,1776.000,2297.542,1884.215
1980-02-16,2261.730,2255.605,2254.171
1980-03-16,1519.710,1631.042,1352.261
1980-04-16,783.000,759.670,666.858
1980-05-16,592.410,602.191,545.343
1980-06-16,362.220,365.445,364.875
1980-07-16,308.910,269.083,317.801
1980-08-16,256.690,168.381,290.457
1980-09-16,309.300,111.548,294.993
1980-10-16,299.460,88.672,323.951
1980-11-16,277.830,69.839,274.382
1980-12-16,509.440,316.031,530.308
1981-01-16,968.660,721.140,655.913
1981-02-16,908.400,1256.732,1043.337
1981-03-16,1227.460,1432.422,1272.292
1981-04-16,660.990,824.220,746.920
1981-05-16,467.520,548.458,523.367
1981-06-16,312.110,342.376,357.243
1981-07-16,272.580,210.377,273.304
1981-08-16,243.440,138.670,256.007
1981-09-16,244.190,98.071,263.377
1981-10-16,323.560,89.176,326.397
1981-11-16,1546.410,1935.662,1800.498
1981-12-16,2103.980,2619.144,2513.056
1982-01-16,1293.070,1441.986,1256.895
1982-02-16,1736.930,1776.245,1429.909
1982-03-16,1687.470,1717.803,1512.347
1982-04-16,2208.070,2332.455,2175.247
1982-05-16,929.070,902.157,834.495
1982-06-16,533.870,437.841,421.264
1982-07-16,376.020,283.866,340.499
1982-08-16,313.080,182.266,302.637
1982-09-16,309.700,121.068,312.207
1982-10-16,382.990,104.246,370.390
1982-11-16,541.980,273.311,559.152
1982-12-16,1366.790,1876.946,1741.986
1983-01-16,1914.910,2020.453,1689.149
1983-02-16,2925.200,2930.170,2615.451
1983-03-16,4677.270,4652.071,4764.049
1983-04-16,1816.540,1716.459,1753.798
1983-05-16,1530.080,1444.271,1636.415
1983-06-16,852.680,929.209,810.461
1983-07-16,474.660,442.492,420.073
1983-08-16,341.100,256.326,336.544
1983-09-16,356.130,151.694,353.731
1983-10-16,376.960,114.998,380.429
1983-11-16,986.690,1060.761,1126.400
1983-12-16,2569.420,2759.466,2421.865
1984-01-16,1029.120,1191.844,1062.183
1984-02-16,823.650,805.377,751.250
1984-03-16,1068.550,1107.515,925.272
1984-04-16,726.450,745.967,634.468
1984-05-16,614.560,682.762,662.815
1984-06-16,440.940,489.195,489.762
1984-07-16,314.430,275.187,328.045
1984-08-16,276.500,158.981,283.228
1984-09-16,292.750,107.973,284.494
1984-10-16,371.560,87.102,311.090
1984-11-16,962.990,845.574,849.952
1984-12-16,661.040,917.836,997.993
1985-01-16,428.150,427.320,462.665
1985-02-16,496.830,436.111,385.951
1985-03-16,554.460,471.676,420.068
1985-04-16,555.160,585.285,506.142
1985-05-16,338.020,430.148,401.086
1985-06-16,329.300,238.614,283.836
1985-07-16,252.050,155.191,239.555
1985-08-16,244.920,108.953,203.582
1985-09-16,312.030,116.139,305.295
1985-10-16,330.200,82.727,300.019
1985-11-16,342.500,90.711,347.562
1985-12-16,550.930,532.391,669.336
1986-01-16,1099.700,1212.891,1074.571
1986-02-16,3670.840,4261.784,3941.987
1986-03-16,2287.960,2514.772,2326.955
1986-04-16,764.190,883.738,770.673
1986-05-16,622.520,684.672,666.143
1986-06-16,360.930,476.312,479.274
1986-07-16,337.600,246.518,306.414
1986-08-16,259.800,146.896,271.658
1986-09-16,317.700,102.910,264.828
1986-10-16,323.440,92.422,330.370
1986-11-16,275.297,85.647,339.005
1986-12-16,329.780,88.323,285.535
1987-01-16,462.612,304.737,438.535
1987-02-16,750.789,1066.003,918.823
1987-03-16,1336.800,1598.471,1347.094
1987-04-16,454.946,607.698,568.935
1987-05-16,373.110,399.437,350.584
1987-06-16,245.199,217.718,263.488
1987-07-16,269.860,152.647,227.759
1987-08-16,218.973,108.817,200.503
1987-09-16,239.027,81.059,212.118
1987-10-16,250.320,65.588,241.005
1987-11-16,279.169,52.293,225.463
1987-12-16,1015.090,735.290,747.738
1988-01-16,1045.160,1025.472,970.461
1988-02-16,472.607,609.359,543.659
1988-03-16,418.998,495.700,539.902
1988-04-16,425.844,404.625,325.535
1988-05-16,492.039,528.187,507.024
1988-06-16,353.997,397.872,414.832
1988-07-16,246.830,236.407,306.860
1988-08-16,200.532,141.061,260.176
1988-09-16,209.591,95.890,250.622
1988-10-16,231.474,74.990,288.206
1988-11-16,537.076,230.782,543.469
1988-12-16,396.672,380.256,647.853
1989-01-16,469.530,488.165,508.949
1989-02-16,384.194,434.173,418.905
1989-03-16,2241.820,2482.231,2281.848
1989-04-16,903.010,1092.260,1112.932
1989-05-16,455.212,617.880,601.783
1989-06-16,287.878,350.762,360.883
1989-07-16,228.630,216.293,289.926
1989-08-16,223.365,136.492,252.735
1989-09-16,263.580,97.421,251.137
1989-10-16,413.788,164.163,554.472
1989-11-16,261.772,225.757,539.859
1989-12-16,249.897,193.475,439.996
1990-01-16,679.843,695.139,627.927
1990-02-16,370.228,474.378,456.866
1990-03-16,616.022,832.565,691.025
1990-04-16,326.535,441.596,445.946
1990-05-16,662.798,526.103,487.894
1990-06-16,477.337,684.587,684.991
1990-07-16,257.138,261.436,315.588
1990-08-16,214.577,155.091,277.330
1990-09-16,207.783,104.663,279.585
1990-10-16,241.481,82.234,299.295
1990-11-16,244.491,64.870,264.753
1990-12-16,224.861,57.185,270.370
1991-01-16,246.854,52.902,237.310
1991-02-16,269.129,73.268,208.804
1991-03-16,980.911,1116.990,982.896
1991-04-16,516.123,765.273,716.131
1991-05-16,438.702,445.646,431.253
1991-06-16,262.704,321.198,347.744
1991-07-16,208.332,191.342,271.872
1991-08-16,188.515,122.417,242.593
1991-09-16,190.687,85.174,239.472
1991-10-16,237.538,67.804,263.427
1991-11-16,225.669,53.284,244.282
1991-12-16,269.301,50.486,239.046
1992-01-16,336.326,111.928,326.380
1992-02-16,1268.210,1239.175,994.577
1992-03-16,921.338,1122.054,1019.142
1992-04-16,634.544,712.065,601.136
1992-05-16,353.299,409.877,369.386
1992-06-16,264.763,212.589,248.972
1992-07-16,243.916,153.804,231.502
1992-08-16,190.353,110.353,222.220
1992-09-16,212.167,79.228,210.660
1992-10-16,258.728,65.482,240.803
1992-11-16,243.844,93.856,390.502
1992-12-16,650.446,545.845,671.177
1993-01-16,1572.790,1919.758,1684.640
1993-02-16,1410.430,1463.177,1320.369
1993-03-16,2166.980,2289.767,2147.336
1993-04-16,1339.100,1620.416,1395.213
1993-05-16,914.371,1018.402,993.525
1993-06-16,807.767,928.833,852.624
1993-07-16,318.500,380.932,400.968
1993-08-16,259.772,211.878,321.990
1993-09-16,248.712,134.778,345.150
1993-10-16,310.899,106.242,374.791
1993-11-16,255.647,83.450,322.825
1993-12-16,447.301,291.237,508.132
1994-01-16,458.246,429.976,463.099
1994-02-16,653.019,794.884,751.439
1994-03-16,536.988,774.390,628.256
1994-04-16,381.567,417.777,416.428
1994-05-16,374.154,418.282,368.207
1994-06-16,244.315,262.624,305.477
1994-07-16,185.258,168.772,250.992
1994-08-16,158.753,114.549,224.037
1994-09-16,219.611,81.858,230.965
1994-10-16,229.223,66.334,254.307
1994-11-16,267.206,53.763,244.037
1994-12-16,396.355,110.254,321.620
1995-01-16,3866.600,3868.901,2999.102
1995-02-16,1430.900,1787.108,1737.631
1995-03-16,3904.190,3812.423,3457.148
1995-04-16,1744.310,1665.230,1603.493
1995-05-16,1512.750,1559.015,1803.855
1995-06-16,693.104,752.820,808.628
1995-07-16,415.670,456.961,484.137
1995-08-16,332.533,253.413,339.533
1995-09-16,353.932,152.286,357.067
1995-10-16,307.099,111.591,377.459
1995-11-16,273.843,82.849,318.825
1995-12-16,785.567,632.811,685.954
1996-01-16,1046.360,1230.652,1115.319
1996-02-16,2277.100,2829.204,2852.875
1996-03-16,1527.290,1838.356,1739.595
1996-04-16,966.658,1063.157,1051.540
1996-05-16,1053.120,1258.199,1515.942
1996-06-16,481.277,607.975,598.233
1996-07-16,306.759,310.024,363.014
1996-08-16,283.992,185.262,313.712
1996-09-16,281.504,124.316,318.641
1996-10-16,330.225,97.626,367.525
1996-11-16,494.850,211.380,495.205
1996-12-16,2298.710,2181.870,2111.550
1997-01-16,3075.060,4069.432,4067.012
1997-02-16,1031.510,1358.966,1286.588
1997-03-16,707.694,759.096,554.770
1997-04-16,621.425,595.451,549.207
1997-05-16,463.764,511.643,475.971
1997-06-16,359.261,313.852,335.649
1997-07-16,275.689,214.684,274.546
1997-08-16,275.848,147.771,270.608
1997-09-16,296.370,105.506,279.932
1997-10-16,375.154,95.074,348.201
1997-11-16,613.585,456.211,612.477
1997-12-16,666.985,930.408,1022.854
1998-01-16,2620.560,2672.113,2136.429
1998-02-16,3960.470,4579.791,4159.804
1998-03-16,2099.630,2203.448,2085.264
1998-04-16,1541.140,1543.352,1213.145
1998-05-16,1650.220,1467.096,1562.752
1998-06-16,1321.960,1288.914,1182.760
1998-07-16,562.137,599.622,622.847
1998-08-16,383.762,290.379,386.415
1998-09-16,380.635,167.823,392.464
1998-10-16,425.749,123.114,382.001
1998-11-16,768.217,319.583,563.117
1998-12-16,941.706,1394.795,1356.368
1999-01-16,953.285,955.578,973.019
1999-02-16,1741.160,1929.241,2022.216
1999-03-16,1589.840,1722.957,1520.742
1999-04-16,1112.920,1099.129,1113.475
1999-05-16,799.475,755.860,736.661
1999-06-16,512.502,465.842,440.801
1999-07-16,354.344,251.931,307.661
1999-08-16,320.766,145.624,261.875
1999-09-16,335.226,101.040,263.544
1999-10-16,372.649,83.128,304.374
1999-11-16,425.842,79.637,307.493
1999-12-16,412.932,188.426,418.618
2000-01-16,1185.540,1182.562,1044.661
2000-02-16,2499.830,2368.097,2287.274
2000-03-16,1792.980,1959.378,1885.158
2000-04-16,1026.890,1017.388,861.340
2000-05-16,662.350,639.964,606.901
2000-06-16,439.310,366.652,362.378
2000-07-16,305.372,215.625,275.390
2000-08-16,298.500,140.340,258.206
2000-09-16,346.858,104.545,275.021
2000-10-16,375.393,82.670,299.432
2000-11-16,336.506,79.479,307.316
2000-12-16,407.725,122.097,332.904
2001-01-16,532.932,243.743,440.018
2001-02-16,923.725,781.647,727.700
2001-03-16,1067.450,1181.788,1066.319
2001-04-16,584.818,590.058,531.967
2001-05-16,460.966,454.209,450.177
2001-06-16,316.156,223.248,264.048
2001-07-16,273.271,148.927,220.418
2001-08-16,272.576,109.419,214.512
