Date,FNF,Qsim,QsimBC
1979-10-16,2.095,0.943,4.505
1979-11-16,3.225,0.857,8.164
1979-12-16,3.495,1.061,8.228
1980-01-16,75.420,83.558,68.192
1980-02-16,72.991,99.120,78.561
1980-03-16,53.213,67.083,51.687
1980-04-16,37.072,25.344,15.205
1980-05-16,35.891,29.249,25.402
1980-06-16,26.617,24.532,34.646
1980-07-16,11.907,8.557,17.459
1980-08-16,4.988,2.124,5.241
1980-09-16,2.773,1.159,3.356
1980-10-16,2.233,0.876,3.174
1980-11-16,3.124,0.672,5.181
1980-12-16,4.887,0.626,6.218
1981-01-16,6.097,0.656,5.616
1981-02-16,10.255,0.865,5.115
1981-03-16,16.808,4.125,6.674
1981-04-16,18.205,12.587,7.569
1981-05-16,11.639,7.973,5.888
1981-06-16,4.376,2.382,1.584
1981-07-16,1.648,1.042,0.375
1981-08-16,0.571,0.622,0.155
1981-09-16,0.399,0.440,0.067
1981-10-16,1.748,0.365,0.313
1981-11-16,2.965,0.293,1.115
1981-12-16,5.518,0.340,2.765
1982-01-16,16.417,1.092,7.972
1982-02-16,19.619,5.973,9.516
1982-03-16,34.037,29.521,22.728
1982-04-16,78.029,83.419,70.139
1982-05-16,39.805,33.839,34.160
1982-06-16,17.604,6.778,9.068
1982-07-16,6.912,2.328,4.359
1982-08-16,3.243,1.270,2.002
1982-09-16,4.366,0.952,2.140
1982-10-16,7.490,1.283,8.017
1982-11-16,20.010,1.956,23.311
1982-12-16,45.208,16.990,30.697
1983-01-16,59.547,57.502,29.466
1983-02-16,86.762,93.251,64.867
1983-03-16,121.434,138.462,76.657
1983-04-16,69.149,52.784,44.957
1983-05-16,85.451,55.709,72.054
1983-06-16,72.054,56.891,89.602
1983-07-16,29.181,15.453,25.572
1983-08-16,11.901,2.964,8.718
1983-09-16,6.827,1.602,6.671
1983-10-16,7.680,1.229,7.099
1983-11-16,19.830,1.325,12.996
1983-12-16,42.950,27.618,56.691
1984-01-16,25.570,34.842,31.591
1984-02-16,19.600,20.548,16.416
1984-03-16,22.190,23.597,18.710
1984-04-16,18.470,18.442,11.630
1984-05-16,17.000,14.511,12.421
1984-06-16,7.150,3.801,5.464
1984-07-16,3.250,1.557,1.937
1984-08-16,1.510,0.984,1.363
1984-09-16,1.340,0.703,0.560
1984-10-16,2.800,0.577,1.345
1984-11-16,8.460,0.485,2.210
1984-12-16,7.860,0.581,4.987
1985-01-16,10.440,1.150,8.572
1985-02-16,13.390,3.036,7.965
1985-03-16,16.680,10.619,12.557
1985-04-16,24.530,36.205,25.454
1985-05-16,15.390,22.145,18.971
1985-06-16,6.840,3.929,5.664
1985-07-16,2.840,1.563,2.034
1985-08-16,1.060,0.942,1.246
1985-09-16,1.740,0.686,0.483
1985-10-16,2.091,0.539,1.176
1985-11-16,5.407,0.444,2.108
1985-12-16,9.564,1.142,8.234
1986-01-16,12.359,9.045,15.125
1986-02-16,67.171,124.484,96.864
1986-03-16,73.177,113.337,66.227
1986-04-16,34.392,39.436,26.488
1986-05-16,22.505,28.062,23.130
1986-06-16,11.310,11.219,17.577
1986-07-16,4.124,2.439,4.845
1986-08-16,2.711,1.309,2.250
1986-09-16,2.335,0.891,1.197
1986-10-16,3.300,0.740,2.092
1986-11-16,3.700,0.597,3.231
1986-12-16,3.900,0.544,3.970
1987-01-16,5.200,0.523,3.867
1987-02-16,8.400,1.627,6.554
1987-03-16,12.300,9.151,10.976
1987-04-16,12.000,22.412,14.150
1987-05-16,5.800,9.028,8.600
1987-06-16,1.600,2.449,1.955
1987-07-16,0.300,1.223,0.776
1987-08-16,0.300,0.769,0.318
1987-09-16,0.262,0.544,0.196
1987-10-16,0.720,0.439,0.393
1987-11-16,2.656,0.361,1.391
1987-12-16,4.028,0.394,3.010
1988-01-16,11.399,1.231,10.551
1988-02-16,5.302,4.005,9.057
1988-03-16,6.647,10.356,13.427
1988-04-16,6.793,12.528,7.618
1988-05-16,6.002,8.817,7.926
1988-06-16,1.974,3.320,4.279
1988-07-16,0.175,1.421,1.637
1988-08-16,0.069,0.796,0.367
1988-09-16,0.718,0.545,0.202
1988-10-16,0.000,0.437,0.406
1988-11-16,1.982,0.350,1.275
1988-12-16,3.358,0.340,2.765
1989-01-16,4.078,0.600,5.552
1989-02-16,6.403,1.438,6.388
1989-03-16,16.695,21.923,17.343
1989-04-16,12.081,27.247,17.327
1989-05-16,7.067,8.940,8.347
1989-06-16,1.946,2.714,2.406
1989-07-16,0.460,1.230,0.793
1989-08-16,0.369,0.751,0.267
1989-09-16,0.240,0.537,0.168
1989-10-16,0.662,0.443,0.459
1989-11-16,1.097,0.359,1.421
1989-12-16,1.523,0.334,2.509
1990-01-16,3.103,0.348,2.190
1990-02-16,3.884,0.345,2.784
1990-03-16,8.146,2.269,3.941
1990-04-16,5.264,14.357,9.213
1990-05-16,3.997,4.379,3.488
1990-06-16,2.089,2.657,2.051
1990-07-16,0.040,1.065,0.503
1990-08-16,0.000,0.564,0.125
1990-09-16,0.000,0.383,0.051
1990-10-16,0.000,0.308,0.163
1990-11-16,0.488,0.244,0.914
1990-12-16,1.008,0.210,1.588
1991-01-16,1.720,0.181,1.233
1991-02-16,0.912,0.162,2.284
1991-03-16,22.312,7.458,10.641
1991-04-16,14.297,34.167,23.168
1991-05-16,11.330,20.678,17.222
1991-06-16,6.028,4.537,7.859
1991-07-16,1.444,1.617,2.982
1991-08-16,0.321,0.902,1.103
1991-09-16,0.298,0.609,0.407
1991-10-16,0.486,0.516,1.053
1991-11-16,1.654,0.419,2.055
1991-12-16,1.734,0.545,4.043
1992-01-16,2.650,0.565,4.381
1992-02-16,6.817,1.145,6.075
1992-03-16,6.889,10.172,12.255
1992-04-16,6.496,11.401,7.370
1992-05-16,2.676,3.611,3.144
1992-06-16,0.264,1.340,0.331
1992-07-16,0.781,0.795,0.047
1992-08-16,0.655,0.517,0.074
1992-09-16,0.165,0.370,0.000
1992-10-16,0.662,0.340,0.205
1992-11-16,2.055,0.464,2.210
1992-12-16,3.330,0.570,4.838
1993-01-16,24.302,20.425,28.929
1993-02-16,16.705,33.219,24.089
1993-03-16,30.078,53.738,44.715
1993-04-16,23.760,46.966,44.401
1993-05-16,21.757,36.251,37.617
1993-06-16,13.121,8.113,13.475
1993-07-16,3.029,2.503,5.233
