Date,FNF,Qsim,QsimBC
1979-10-16,25.050,12.451,17.705
1979-11-16,38.250,26.966,46.875
1979-12-16,40.670,76.722,66.554
1980-01-16,146.800,221.581,196.632
1980-02-16,226.800,246.449,219.370
1980-03-16,119.800,185.040,150.392
1980-04-16,98.850,95.790,75.933
1980-05-16,71.190,68.026,57.238
1980-06-16,34.210,42.373,23.740
1980-07-16,19.720,34.982,17.500
1980-08-16,14.310,23.466,15.825
1980-09-16,13.050,15.315,15.145
1980-10-16,16.470,11.502,16.133
1980-11-16,15.010,9.009,18.388
1980-12-16,37.250,22.160,33.883
1981-01-16,90.230,67.654,52.740
1981-02-16,101.100,151.418,131.544
1981-03-16,132.000,185.620,150.828
1981-04-16,78.470,118.572,104.344
1981-05-16,51.820,66.236,52.069
1981-06-16,22.760,48.380,31.668
1981-07-16,14.420,32.664,17.098
1981-08-16,11.300,20.729,13.610
1981-09-16,11.070,13.980,12.814
1981-10-16,21.170,10.924,15.305
1981-11-16,185.500,208.941,190.128
1981-12-16,225.100,312.998,359.671
1982-01-16,88.090,153.171,130.384
1982-02-16,154.300,178.229,155.519
1982-03-16,161.100,202.967,163.671
1982-04-16,234.400,275.124,336.890
1982-05-16,128.300,120.247,135.439
1982-06-16,50.170,55.685,33.781
1982-07-16,29.900,37.561,19.396
1982-08-16,18.530,26.939,17.593
1982-09-16,15.550,17.353,15.687
1982-10-16,36.960,12.770,19.001
1982-11-16,43.170,28.658,50.732
1982-12-16,144.600,226.569,225.813
1983-01-16,210.900,238.450,194.563
1983-02-16,277.400,331.704,324.386
1983-03-16,489.300,526.289,522.644
1983-04-16,197.900,199.875,189.892
1983-05-16,259.200,176.286,256.468
1983-06-16,183.900,111.548,146.583
1983-07-16,70.200,57.381,30.069
1983-08-16,28.400,35.924,20.579
1983-09-16,23.560,21.370,17.001
1983-10-16,27.060,16.078,45.249
1983-11-16,109.500,120.335,118.324
1983-12-16,232.800,303.416,225.244
1984-01-16,97.540,150.394,116.569
1984-02-16,74.270,83.438,53.646
1984-03-16,102.000,120.879,94.948
1984-04-16,78.270,94.222,69.507
1984-05-16,77.310,74.156,80.612
1984-06-16,33.890,49.842,33.048
1984-07-16,19.350,37.371,19.558
1984-08-16,15.210,23.726,16.457
1984-09-16,13.770,15.273,15.009
1984-10-16,18.940,11.642,16.489
1984-11-16,96.650,95.521,99.963
1984-12-16,55.470,134.417,124.819
1985-01-16,34.340,69.039,56.408
1985-02-16,34.780,49.406,32.198
1985-03-16,46.650,54.433,29.631
1985-04-16,79.720,59.388,49.339
1985-05-16,41.540,48.088,29.658
1985-06-16,19.600,30.831,15.358
1985-07-16,12.410,22.150,12.150
1985-08-16,12.600,15.094,10.815
1985-09-16,12.230,11.560,11.130
1985-10-16,15.270,10.879,15.277
1985-11-16,14.500,11.164,27.367
1985-12-16,28.100,38.985,52.793
1986-01-16,113.400,155.474,149.632
1986-02-16,377.400,493.492,403.065
1986-03-16,197.000,265.875,275.039
1986-04-16,78.300,109.369,94.110
1986-05-16,65.780,68.298,64.187
1986-06-16,30.440,49.485,33.166
1986-07-16,17.760,31.492,15.792
1986-08-16,14.030,19.370,12.614
1986-09-16,17.430,12.728,11.557
1986-10-16,16.870,12.053,17.118
1986-11-16,17.830,12.164,34.131
1986-12-16,19.310,12.401,23.972
1987-01-16,32.540,24.027,30.858
1987-02-16,73.290,115.077,95.910
1987-03-16,165.600,223.999,199.460
1987-04-16,74.640,96.858,78.352
1987-05-16,49.240,56.797,41.537
1987-06-16,18.740,36.042,18.427
1987-07-16,14.010,24.821,13.795
1987-08-16,12.060,17.137,12.244
1987-09-16,11.270,12.039,11.501
1987-10-16,11.570,9.244,12.839
1987-11-16,13.160,6.889,12.498
1987-12-16,124.800,68.755,58.165
1988-01-16,74.130,127.746,89.887
1988-02-16,54.200,96.399,82.618
1988-03-16,47.950,71.745,51.220
1988-04-16,56.880,51.071,33.249
1988-05-16,58.750,70.853,71.447
1988-06-16,33.020,59.117,47.409
1988-07-16,16.750,41.625,22.776
1988-08-16,13.740,24.559,16.588
1988-09-16,12.070,15.714,15.425
1988-10-16,12.390,11.473,16.059
