Date,FNF,Qsim,QsimBC
1979-10-16,272.580,81.975,322.536
1979-11-16,337.550,297.444,423.487
1979-12-16,346.890,405.855,458.999
1980-01-16,1241.230,1415.067,1168.610
1980-02-16,1401.920,1431.148,1508.814
1980-03-16,885.360,1036.622,875.995
1980-04-16,567.940,511.116,483.736
1980-05-16,426.510,415.473,415.707
1980-06-16,271.260,245.624,273.145
1980-07-16,236.060,176.442,255.954
1980-08-16,204.560,109.149,234.120
1980-09-16,221.720,70.746,229.267
1980-10-16,215.480,55.186,248.950
1980-11-16,218.010,42.763,224.781
1980-12-16,353.220,240.051,355.158
1981-01-16,480.760,477.808,440.179
1981-02-16,559.900,760.156,711.383
1981-03-16,768.730,911.259,834.474
1981-04-16,441.580,515.046,518.985
1981-05-16,315.560,370.453,374.162
1981-06-16,220.560,224.906,266.434
1981-07-16,186.940,135.799,220.075
1981-08-16,166.800,86.964,202.506
1981-09-16,179.700,59.657,201.535
1981-10-16,231.660,49.042,223.009
1981-11-16,1057.780,1369.481,1247.479
1981-12-16,1325.590,1572.561,1796.326
1982-01-16,736.000,803.610,733.876
1982-02-16,1155.590,1096.557,1167.762
1982-03-16,1126.230,1126.094,1057.817
1982-04-16,1575.800,1619.908,1585.259
1982-05-16,671.950,637.308,620.310
1982-06-16,373.290,296.447,310.419
1982-07-16,281.600,181.499,255.887
1982-08-16,248.040,116.505,245.566
1982-09-16,229.730,75.435,243.688
1982-10-16,290.930,62.776,272.472
1982-11-16,356.890,197.712,396.449
1982-12-16,822.480,1183.743,1025.366
1983-01-16,1124.800,1222.238,1036.485
1983-02-16,1690.910,1744.125,1628.905
1983-03-16,2735.030,2768.868,2813.762
1983-04-16,1139.700,1124.113,1179.137
1983-05-16,1031.620,962.549,1100.017
1983-06-16,644.340,667.519,639.679
1983-07-16,373.290,295.751,323.891
1983-08-16,297.880,164.556,267.593
1983-09-16,287.350,93.913,266.936
1983-10-16,299.450,69.158,290.926
1983-11-16,654.100,718.070,661.054
1983-12-16,1436.590,1489.565,1397.168
1984-01-16,691.310,690.597,699.038
1984-02-16,580.910,512.597,504.884
