Date,FNF,Qsim,QsimBC
1979-10-16,23.750,34.390,42.614
1979-11-16,29.120,22.876,36.046
1979-12-16,33.530,25.246,39.267
1980-01-16,326.840,409.810,289.968
1980-02-16,282.470,313.346,231.530
1980-03-16,215.780,231.641,188.511
1980-04-16,314.700,161.941,182.727
1980-05-16,527.540,298.973,315.915
1980-06-16,642.080,361.046,223.375
1980-07-16,426.460,762.354,489.333
1980-08-16,113.410,328.339,153.167
1980-09-16,37.000,87.198,67.159
1980-10-16,23.860,37.337,53.070
1980-11-16,19.300,23.709,38.720
1980-12-16,29.400,19.201,29.440
1981-01-16,36.490,17.488,22.671
1981-02-16,56.730,44.307,45.382
1981-03-16,87.270,109.495,95.321
1981-04-16,205.950,179.845,203.167
1981-05-16,317.700,327.151,377.998
1981-06-16,208.240,292.957,178.528
1981-07-16,51.380,95.400,55.385
1981-08-16,19.020,59.769,42.814
1981-09-16,12.700,34.926,19.479
1981-10-16,18.750,18.600,18.904
1981-11-16,70.400,30.907,47.492
1981-12-16,64.900,80.651,103.987
1982-01-16,119.240,162.016,134.900
1982-02-16,198.780,310.873,243.064
1982-03-16,231.450,299.581,223.812
1982-04-16,612.930,559.767,515.163
1982-05-16,725.350,482.421,607.725
1982-06-16,584.620,649.278,810.178
1982-07-16,371.470,504.740,323.239
1982-08-16,148.370,237.758,117.824
1982-09-16,169.790,86.233,48.086
1982-10-16,125.950,74.100,86.293
1982-11-16,145.530,116.195,217.200
1982-12-16,211.900,254.283,214.153
1983-01-16,227.000,216.495,159.660
1983-02-16,271.310,296.667,199.076
1983-03-16,427.870,486.524,457.168
1983-04-16,280.460,234.276,237.416
1983-05-16,727.500,422.514,541.642
1983-06-16,1166.100,874.386,971.893
1983-07-16,686.030,979.056,812.330
1983-08-16,280.290,492.814,271.175
1983-09-16,91.940,126.313,154.775
1983-10-16,53.060,57.522,73.488
1983-11-16,148.770,79.587,99.523
1983-12-16,226.650,299.819,221.138
1984-01-16,126.400,196.057,160.676
1984-02-16,107.450,105.200,79.483
1984-03-16,162.490,152.800,110.637
1984-04-16,203.010,151.529,157.083
1984-05-16,489.030,376.546,445.573
1984-06-16,266.160,524.656,591.245
1984-07-16,162.280,191.199,104.217
1984-08-16,67.460,67.642,45.763
1984-09-16,36.090,38.197,26.269
1984-10-16,31.070,21.963,22.877
1984-11-16,49.680,17.096,21.913
1984-12-16,40.980,31.287,50.087
1985-01-16,39.730,30.057,41.757
1985-02-16,55.840,34.689,42.086
1985-03-16,84.300,76.971,65.057
1985-04-16,253.710,210.940,222.362
1985-05-16,307.920,385.636,489.918
1985-06-16,168.990,227.873,136.775
1985-07-16,55.230,87.443,52.843
1985-08-16,22.110,43.235,21.660
1985-09-16,19.460,26.458,12.681
1985-10-16,23.900,17.071,13.097
1985-11-16,38.300,15.470,20.006
1985-12-16,67.700,51.921,71.271
1986-01-16,93.400,114.808,107.701
1986-02-16,472.400,584.882,442.594
1986-03-16,426.200,414.164,375.060
1986-04-16,361.400,262.346,280.424
1986-05-16,624.300,434.241,545.744
1986-06-16,593.400,807.210,1014.541
1986-07-16,222.200,338.223,239.299
1986-08-16,76.400,75.630,56.452
1986-09-16,31.800,37.191,21.367
1986-10-16,23.900,23.679,23.743
1986-11-16,14.200,18.634,25.145
1986-12-16,14.600,15.345,25.288
1987-01-16,20.700,13.611,21.007
1987-02-16,39.500,30.602,41.268
1987-03-16,65.800,96.185,83.145
1987-04-16,171.600,146.051,151.823
1987-05-16,228.500,270.100,296.749
1987-06-16,120.600,88.188,66.526
1987-07-16,33.200,51.142,30.414
1987-08-16,15.000,35.202,15.217
1987-09-16,10.031,22.938,10.073
1987-10-16,16.260,15.353,10.234
1987-11-16,24.276,11.897,14.147
1987-12-16,25.360,16.665,25.799
1988-01-16,59.390,45.527,56.201
1988-02-16,48.340,46.397,48.872
1988-03-16,91.370,97.665,81.089
1988-04-16,152.680,155.549,174.414
1988-05-16,219.540,233.862,242.564
1988-06-16,141.930,244.639,160.747
1988-07-16,48.574,91.670,54.711
1988-08-16,22.830,40.837,18.436
1988-09-16,11.592,25.443,11.539
1988-10-16,7.236,16.542,12.905
1988-11-16,13.851,11.889,14.200
1988-12-16,19.570,13.638,21.072
1989-01-16,22.310,18.777,24.746
1989-02-16,37.230,27.814,33.934
1989-03-16,132.575,226.904,182.525
1989-04-16,237.482,230.369,231.491
1989-05-16,240.200,209.999,200.008
1989-06-16,149.280,268.611,172.300
1989-07-16,41.154,132.008,71.612
1989-08-16,18.907,43.905,23.246
1989-09-16,19.370,24.176,10.428
1989-10-16,23.030,19.452,19.498
1989-11-16,22.088,23.547,38.435
1989-12-16,16.729,29.684,46.182
1990-01-16,24.927,39.095,51.469
1990-02-16,33.583,44.169,46.865
1990-03-16,85.112,123.814,102.109
1990-04-16,172.691,228.076,231.659
1990-05-16,165.351,245.419,277.996
1990-06-16,122.158,155.238,100.239
1990-07-16,54.021,67.491,46.346
1990-08-16,14.339,32.964,13.912
1990-09-16,8.487,21.070,8.432
1990-10-16,7.714,14.721,9.814
1990-11-16,5.665,10.787,13.753
1990-12-16,8.580,8.934,14.855
1991-01-16,9.904,7.980,12.280
1991-02-16,11.324,8.442,25.967
1991-03-16,117.514,156.577,128.425
1991-04-16,135.419,235.324,254.106
1991-05-16,277.408,243.517,253.245
1991-06-16,321.105,436.853,358.532
1991-07-16,102.000,165.568,90.427
1991-08-16,24.460,52.915,32.716
1991-09-16,13.000,28.886,17.430
1991-10-16,12.347,19.759,21.062
1991-11-16,19.244,14.872,19.807
1991-12-16,17.655,17.333,26.214
1992-01-16,20.970,22.508,34.157
1992-02-16,67.534,91.463,72.279
1992-03-16,76.810,170.851,144.482
1992-04-16,208.878,284.440,322.123
1992-05-16,237.788,331.757,428.501
1992-06-16,75.575,111.412,76.163
1992-07-16,46.206,47.994,26.674
1992-08-16,16.965,33.443,14.350
1992-09-16,8.550,20.533,7.793
1992-10-16,12.920,15.148,10.041
1992-11-16,16.620,14.527,19.557
1992-12-16,31.704,26.531,40.959
1993-01-16,189.311,245.591,186.040
1993-02-16,124.360,194.256,129.579
1993-03-16,242.534,360.507,317.150
1993-04-16,330.386,375.662,392.159
1993-05-16,700.630,663.037,1009.801
1993-06-16,599.100,590.902,672.777
1993-07-16,316.631,348.774,224.709
1993-08-16,82.430,103.086,74.675
1993-09-16,26.240,35.714,19.410
1993-10-16,19.395,22.684,23.736
1993-11-16,17.090,15.596,21.797
1993-12-16,21.176,13.657,19.594
1994-01-16,23.209,16.741,22.148
1994-02-16,41.890,30.947,39.723
1994-03-16,75.434,119.679,97.322
1994-04-16,149.690,135.955,145.326
1994-05-16,257.843,211.083,201.689
1994-06-16,159.005,195.783,121.294
1994-07-16,35.700,65.009,43.969
1994-08-16,14.466,35.030,15.111
1994-09-16,11.550,21.235,8.496
1994-10-16,42.915,17.462,15.816
1994-11-16,44.620,20.499,27.677
1994-12-16,48.120,35.491,56.629
1995-01-16,213.100,337.838,278.635
1995-02-16,121.590,176.225,114.360
1995-03-16,485.460,583.693,513.325
1995-04-16,349.993,306.634,333.285
1995-05-16,633.812,539.392,728.136
1995-06-16,880.942,525.421,584.884
1995-07-16,751.700,905.982,687.639
1995-08-16,239.190,411.996,157.754
1995-09-16,66.250,92.417,75.170
1995-10-16,23.697,39.256,54.898
1995-11-16,15.070,23.565,38.451
1995-12-16,50.192,22.420,33.555
1996-01-16,70.240,59.922,63.309
1996-02-16,229.481,309.580,211.177
1996-03-16,222.164,289.519,218.266
1996-04-16,333.373,307.128,351.684
1996-05-16,588.600,562.202,784.565
1996-06-16,412.003,522.290,519.105
1996-07-16,184.085,217.635,175.273
1996-08-16,55.413,61.532,38.773
1996-09-16,18.454,30.204,17.820
1996-10-16,17.910,20.259,22.580
1996-11-16,99.400,79.489,145.311
1996-12-16,212.542,367.936,278.143
1997-01-16,734.996,935.568,759.349
1997-02-16,180.913,220.498,142.199
1997-03-16,218.770,164.599,131.614
1997-04-16,302.456,234.320,237.858
1997-05-16,539.316,575.025,824.288
1997-06-16,279.683,397.484,315.404
1997-07-16,129.703,193.432,163.739
1997-08-16,44.360,74.450,62.436
1997-09-16,21.479,29.225,17.377
1997-10-16,17.927,18.230,17.950
1997-11-16,24.485,12.972,15.007
1997-12-16,35.665,12.783,17.002
1998-01-16,101.550,79.713,70.509
1998-02-16,210.410,360.485,318.826
1998-03-16,232.083,329.273,243.928
1998-04-16,288.075,309.927,362.465
1998-05-16,445.675,398.073,509.739
1998-06-16,886.311,515.817,373.477
1998-07-16,686.382,857.215,608.455
1998-08-16,159.130,295.017,130.099
1998-09-16,72.148,65.377,40.299
1998-10-16,35.703,37.314,53.013
1998-11-16,38.551,25.698,42.856
1998-12-16,49.954,30.384,46.861
1999-01-16,69.145,55.560,62.483
1999-02-16,111.330,180.629,122.370
1999-03-16,102.200,138.844,106.337
1999-04-16,182.060,152.412,160.730
1999-05-16,446.022,272.579,295.502
1999-06-16,337.292,381.029,266.758
1999-07-16,105.080,186.523,95.731
1999-08-16,32.371,49.567,25.044
1999-09-16,17.342,28.122,15.591
1999-10-16,11.717,18.711,19.415
1999-11-16,12.242,13.454,18.539
1999-12-16,15.723,12.007,16.405
